generation,leftchild,rightchild,abstime,betainit,betashift
4000,Nyctalus_leisleri,Nyctalus_azoreum,244.896,59009.4,0.000875543
4000,Vicugna_vicugna,Camelus_ferus,228.628,597567,0.00373761
4000,Tragelaphus_imberbis,Pseudoryx_nghetinhensis,237.131,373113,0.774495
4000,Cheirogaleus_sibreei,Lepilemur_mustelinus,228.416,29338.9,-0.00998936
4000,Leontopithecus_rosalia,Leontopithecus_chrysomelas,241.535,66680.7,0.00932727
4000,Colobus_satanas,Colobus_angolensis,243.86,112327,-0.0128066
4000,Aotus_trivirgatus,Nomascus_nasutus,188.83,247332,0.298175
4000,Oryctolagus_cuniculus,NA,244.497,16610.1,0.00332502
4000,Paraxerus_ochraceus,Paraxerus_vexillarius,238.909,28104.6,-0.00837937
4000,Dryomys_nitedula,NA,241.958,37497.4,0.00205069
4000,Laonastes_aenigmamus,NA,216.371,24031.3,0.00286495
4000,Thryonomys_swinderianus,NA,239.326,88403.3,-0.0113539
4000,Dactylomys_dactylinus,Dactylomys_boliviensis,239.728,5850.03,0.000355116
4000,Osgoodomys_banderanus,Peromyscus_hooperi,238.773,15878.4,0.000878108
4000,Brachytarsomys_albicauda,Eliurus_ellermani,231.804,26334.6,0.00370248
4000,Sigmodon_leucotis,Sigmodon_peruanus,237.581,35089.6,-0.0130266
4000,Juscelinomys_huanchacae,Rhipidomys_nitela,234.721,264361,-0.0094243
4000,Neacomys_spinosus,Neacomys_musseri,241.492,79654.7,0.014972
4000,Sigmodon_leucotis,Delomys_collinus,224.298,159255,0.00529876
4000,Soricomys_musseri,Chiruromys_vates,235.281,16299.1,0.0052957
4000,Otomys_denti,Oenomys_hypoxanthus,234.532,24403.3,0.011052
4000,Taeromys_celebensis,Paruromys_dominator,243.636,27645.2,-0.00651933
4000,Calomyscus_hotsoni,Calomyscus_bailwardi,213.089,603.289,-0.010949
4000,Chaetodipus_nelsoni,Chaetodipus_formosus,237.883,136375,0.0173181
4000,Elephantulus_intufi,Solenodon_paradoxus,156.696,140317,0.644663
4000,Rhyncholestes_raphanurus,Elephantulus_intufi,7.08368,178969,0.437611
4000,Ornithorhynchus_anatinus,NA,226.833,96925.3,0.157118
5000,Rhyncholestes_raphanurus,Ornithorhynchus_anatinus,0,1.54111,0.11594
5000,Rhyncholestes_raphanurus,Caenolestes_convelatus,183.162,48128.5,-0.0243803
5000,Marmosops_invictus,Marmosops_paulensis,235.175,131179,0.0143612
5000,Microgale_principula,Microgale_longicaudata,224.262,51191.6,0.00950859
5000,Talpa_levantis,Talpa_altaica,236.608,2703.24,-0.00680714
5000,Hylomys_megalotis,Erinaceus_roumanicus,209.701,51892.1,-0.0097443
5000,Sylvisorex_johnstoni,Sylvisorex_lunaris,234.127,6181.03,-0.0171711
5000,Crocidura_levicula,Crocidura_zarudnyi,236.695,8768.18,-0.0547863
