"Comb_sciname" "BodyMass"
"144" "Dierogekko_insularis" "1.4"
"145" "Dierogekko_poumensis" "1.1"
"146" "Paniegekko_madjo" "8.5"
"147" "Bavayia_exsuccida" "2"
"148" "Bavayia_geitaina" "7.5"
"149" "Bavayia_pulchella" "2.3"
"150" "Bavayia_sauvagii" "4.7"
"151" "Oedodera_marmorata" "4.5"
"152" "Pseudothecadactylus_australis" "35.7"
"153" "Pseudothecadactylus_cavaticus" "31.3"
"154" "Pseudothecadactylus_lindneri" "25.1"
"155" "Aprasia_aurita" "5.8"
"156" "Aprasia_rostrata" "6.9"
"157" "Aprasia_clairae" "4.4"
"158" "Aprasia_inaurita" "7.7"
"159" "Aprasia_striolata" "8.2"
"160" "Aprasia_parapulchella" "8"
"161" "Aprasia_pseudopulchella" "9.2"
"162" "Aprasia_litorea" "4.9"
"163" "Aprasia_haroldi" "5.8"
"164" "Aprasia_picturata" "8.2"
"165" "Aprasia_pulchella" "7.5"
"166" "Aprasia_repens" "10"
"167" "Aprasia_smithi" "7.1"
"168" "Delma_australis" "4.2"
"169" "Delma_torquata" "2.7"
"170" "Delma_borea" "4.9"
"171" "Delma_pax" "4.9"
"172" "Delma_tincta" "4.5"
"173" "Delma_plebeia" "6.6"
"174" "Delma_haroldi" "4.8"
"175" "Delma_nasuta" "5.9"
"176" "Delma_fraseri" "8"
"177" "Delma_grayii" "6.9"
"178" "Delma_petersoni" "7.1"
"179" "Delma_inornata" "7.5"
"180" "Delma_desmosa" "4.4"
"181" "Delma_elegans" "4.8"
"182" "Delma_impar" "5"
"183" "Delma_molleri" "5.8"
"184" "Delma_mitella" "13.1"
"185" "Delma_tealei" "4.2"
"186" "Delma_concinna" "5.9"
"187" "Delma_labialis" "6.1"
"188" "Lialis_burtonis" "22.8"
"189" "Lialis_jicari" "24.2"
"190" "Ophidiocephalus_taeniatus" "5.5"
"191" "Pletholax_gracilis" "4.4"
"192" "Paradelma_orientalis" "12.9"
"193" "Pygopus_lepidopodus" "20.1"
"194" "Pygopus_nigriceps" "15.5"
"195" "Pygopus_schraderi" "12.9"
"196" "Pygopus_robertsi" "15.2"
"197" "Pygopus_steelescotti" "11.7"
"198" "Carphodactylus_laevis" "33.9"
"199" "Nephrurus_amyae" "37"
"200" "Nephrurus_asper" "26.4"
"201" "Nephrurus_sheai" "28.8"
"202" "Nephrurus_deleani" "18.3"
"203" "Nephrurus_laevissimus" "15.4"
"204" "Nephrurus_vertebralis" "15.4"
"205" "Nephrurus_levis" "19.1"
"206" "Nephrurus_stellatus" "16.6"
"207" "Nephrurus_wheeleri" "18.7"
"208" "Underwoodisaurus_milii" "22.9"
"209" "Underwoodisaurus_seorsus" "18.3"
"210" "Uvidicolus_sphyrurus" "7.9"
"211" "Orraya_occultus" "21.9"
"212" "Phyllurus_amnicola" "24.3"
"213" "Phyllurus_championae" "11"
"214" "Phyllurus_caudiannulatus" "23.8"
"215" "Phyllurus_kabikabi" "11.2"
"216" "Phyllurus_gulbaru" "15.4"
"217" "Phyllurus_nepthys" "19.6"
"218" "Phyllurus_isis" "18.3"
"219" "Phyllurus_ossa" "13.9"
"220" "Phyllurus_platurus" "22.9"
"221" "Saltuarius_cornutus" "55.2"
"222" "Saltuarius_salebrosus" "43.1"
"223" "Saltuarius_eximius" "28"
"224" "Saltuarius_kateae" "22.9"
"225" "Saltuarius_moritzi" "22.5"
"226" "Saltuarius_wyberba" "22.4"
"227" "Saltuarius_swaini" "36.4"
"228" "Aeluroscalabotes_felinus" "39"
"229" "Coleonyx_brevis" "5.4"
"230" "Coleonyx_variegatus" "8.7"
"231" "Coleonyx_fasciatus" "6.4"
"232" "Coleonyx_elegans" "37"
"233" "Coleonyx_mitratus" "18.5"
"234" "Coleonyx_switaki" "12.5"
"235" "Coleonyx_gypsicolus" "14"
"236" "Coleonyx_reticulatus" "16.7"
"237" "Eublepharis_angramainyu" "114.9"
"238" "Eublepharis_macularius" "104.3"
"239" "Eublepharis_turcmenicus" "65.5"
"240" "Eublepharis_fuscus" "414"
"241" "Eublepharis_hardwickii" "29.5"
"242" "Hemitheconyx_caudicinctus" "94.4"
"243" "Hemitheconyx_taylori" "56.9"
"244" "Holodactylus_africanus" "12"
"245" "Holodactylus_cornii" "16.7"
"246" "Goniurosaurus_araneus" "48"
"247" "Goniurosaurus_liboensis" "28.1"
"248" "Goniurosaurus_luii" "39.9"
"249" "Goniurosaurus_catbaensis" "30.2"
"250" "Goniurosaurus_orientalis" "11.6"
"251" "Goniurosaurus_hainanensis" "19.6"
"252" "Goniurosaurus_lichtenfelderi" "23.9"
"253" "Goniurosaurus_toyamai" "11.6"
"254" "Goniurosaurus_bawanglingensis" "23.2"
"255" "Goniurosaurus_splendens" "8.7"
"256" "Goniurosaurus_huuliensis" "34.4"
"257" "Goniurosaurus_yingdeensis" "17.6"
"258" "Goniurosaurus_zhelongi" "16.4"
"259" "Goniurosaurus_yamashinae" "13.5"
"260" "Goniurosaurus_kuroiwae" "20.4"
"261" "Aristelliger_barbouri" "3.1"
"262" "Aristelliger_hechti" "17.6"
"263" "Aristelliger_cochranae" "6.1"
"264" "Aristelliger_lar" "80.1"
"265" "Aristelliger_georgeensis" "36.4"
"266" "Aristelliger_praesignis" "21.3"
"267" "Aristelliger_expectatus" "4.1"
"268" "Aristelliger_reyesi" "6.3"
"269" "Quedenfeldtia_moerens" "1.6"
"270" "Quedenfeldtia_trachyblepharus" "2.4"
"271" "Euleptes_europaea" "2.1"
"272" "Saurodactylus_fasciatus" "1.4"
"273" "Pristurus_abdelkuri" "1.3"
"274" "Pristurus_adrarensis" "0.8"
"275" "Pristurus_gallagheri" "1.6"
"276" "Pristurus_flavipunctatus" "1.6"
"277" "Pristurus_popovi" "1.3"
"278" "Pristurus_rupestris" "0.8"
"279" "Pristurus_carteri" "11.5"
"280" "Pristurus_collaris" "5.3"
"281" "Pristurus_crucifer" "1.6"
"282" "Pristurus_somalicus" "1.5"
"283" "Pristurus_minimus" "0.7"
"284" "Pristurus_ornithocephalus" "5.3"
"285" "Pristurus_guichardi" "1.3"
"286" "Pristurus_obsti" "1.3"
"287" "Pristurus_samhaensis" "1.4"
"288" "Pristurus_sokotranus" "1.6"
"289" "Pristurus_longipes" "1.6"
"290" "Pristurus_mazbah" "1.5"
"291" "Pristurus_phillipsii" "0.7"
"292" "Pristurus_saada" "1.7"
"293" "Pristurus_schneideri" "0.5"
"294" "Pristurus_simonettai" "0.5"
"295" "Pristurus_insignis" "5.3"
"296" "Pristurus_insignoides" "3.6"
"297" "Pristurus_celerrimus" "1.6"
"298" "Saurodactylus_mauritanicus" "1"
"299" "Chatogekko_amazonicus" "0.6"
"300" "Coleodactylus_brachystoma" "0.5"
"301" "Coleodactylus_elizae" "0.5"
"302" "Coleodactylus_meridionalis" "0.6"
"303" "Coleodactylus_natalensis" "0.3"
"304" "Coleodactylus_septentrionalis" "0.8"
"305" "Pseudogonatodes_barbouri" "0.2"
"306" "Pseudogonatodes_peruvianus" "0.8"
"307" "Pseudogonatodes_furvus" "2.2"
"308" "Pseudogonatodes_gasconi" "0.3"
"309" "Pseudogonatodes_guianensis" "0.7"
"310" "Pseudogonatodes_lunulatus" "0.6"
"311" "Pseudogonatodes_manessi" "1.4"
"312" "Gonatodes_albogularis" "2.7"
"313" "Gonatodes_petersi" "1.8"
"314" "Gonatodes_vittatus" "1.1"
"315" "Gonatodes_daudini" "0.7"
"316" "Gonatodes_alexandermendesi" "2.9"
"317" "Gonatodes_superciliaris" "2.9"
"318" "Gonatodes_astralis" "2.3"
"319" "Gonatodes_annularis" "4.1"
"320" "Gonatodes_hasemani" "2.4"
"321" "Gonatodes_infernalis" "6.5"
"322" "Gonatodes_antillensis" "1.4"
"323" "Gonatodes_concinnatus" "3.6"
"324" "Gonatodes_ceciliae" "7.3"
"325" "Gonatodes_ocellatus" "3.1"
"326" "Gonatodes_seigliei" "2.1"
"327" "Gonatodes_atricucullaris" "0.9"
"328" "Gonatodes_falconensis" "5.8"
"329" "Gonatodes_taniae" "3.4"
"330" "Gonatodes_purpurogularis" "3.1"
"331" "Gonatodes_lichenosus" "2.2"
"332" "Gonatodes_ligiae" "1.7"
"333" "Gonatodes_nascimentoi" "4.2"
"334" "Gonatodes_naufragus" "0.5"
"335" "Gonatodes_riveroi" "2.7"
"336" "Gonatodes_rozei" "5"
"337" "Gonatodes_timidus" "3.4"
"338" "Gonatodes_tapajonicus" "4.1"
"339" "Gonatodes_caudiscutatus" "2.3"
"340" "Gonatodes_eladioi" "1"
"341" "Lepidoblepharis_buchwaldi" "0.3"
"342" "Lepidoblepharis_microlepis" "0.4"
"343" "Lepidoblepharis_colombianus" "2.4"
"344" "Lepidoblepharis_williamsi" "0.7"
"345" "Lepidoblepharis_conolepis" "2.1"
"346" "Lepidoblepharis_montecanoensis" "0.2"
"347" "Lepidoblepharis_duolepis" "1.4"
"348" "Lepidoblepharis_ruthveni" "2.4"
"349" "Lepidoblepharis_festae" "2.6"
"350" "Lepidoblepharis_sanctaemartae" "1.1"
"351" "Lepidoblepharis_grandis" "4.3"
"352" "Lepidoblepharis_intermedius" "0.9"
"353" "Lepidoblepharis_heyerorum" "1.1"
"354" "Lepidoblepharis_miyatai" "0.3"
"355" "Lepidoblepharis_hoogmoedi" "1.4"
"356" "Lepidoblepharis_peraccae" "0.6"
"357" "Lepidoblepharis_xanthostigma" "2.2"
"358" "Sphaerodactylus_alphus" "1.7"
"359" "Sphaerodactylus_rosaurae" "1.5"
"360" "Sphaerodactylus_becki" "0.7"
"361" "Sphaerodactylus_copei" "1.7"
"362" "Sphaerodactylus_altavelensis" "0.6"
"363" "Sphaerodactylus_darlingtoni" "0.6"
"364" "Sphaerodactylus_cryphius" "0.3"
"365" "Sphaerodactylus_argivus" "0.6"
"366" "Sphaerodactylus_argus" "0.9"
"367" "Sphaerodactylus_ariasae" "0.1"
"368" "Sphaerodactylus_armasi" "0.8"
"369" "Sphaerodactylus_armstrongi" "0.7"
"370" "Sphaerodactylus_semasiops" "0.8"
"371" "Sphaerodactylus_macrolepis" "1.1"
"372" "Sphaerodactylus_roosevelti" "1.5"
"373" "Sphaerodactylus_asterulus" "0.7"
"374" "Sphaerodactylus_beattyi" "0.7"
"375" "Sphaerodactylus_bromeliarum" "0.3"
"376" "Sphaerodactylus_caicosensis" "0.8"
"377" "Sphaerodactylus_callocricus" "0.5"
"378" "Sphaerodactylus_celicara" "0.8"
"379" "Sphaerodactylus_cinereus" "1.3"
"380" "Sphaerodactylus_elegans" "1.5"
"381" "Sphaerodactylus_clenchi" "1"
"382" "Sphaerodactylus_cochranae" "0.7"
"383" "Sphaerodactylus_continentalis" "0.6"
"384" "Sphaerodactylus_guanajae" "0.5"
"385" "Sphaerodactylus_leonardovaldesi" "0.6"
"386" "Sphaerodactylus_millepunctatus" "1.1"
"387" "Sphaerodactylus_poindexteri" "0.6"
"388" "Sphaerodactylus_corticola" "1.5"
"389" "Sphaerodactylus_cricoderus" "0.4"
"390" "Sphaerodactylus_ramsdeni" "0.9"
"391" "Sphaerodactylus_schwartzi" "0.2"
"392" "Sphaerodactylus_difficilis" "1"
"393" "Sphaerodactylus_dimorphicus" "0.9"
"394" "Sphaerodactylus_docimus" "0.7"
"395" "Sphaerodactylus_dunni" "0.5"
"396" "Sphaerodactylus_elasmorhynchus" "0.1"
"397" "Sphaerodactylus_elegantulus" "0.6"
"398" "Sphaerodactylus_sabanus" "0.7"
"399" "Sphaerodactylus_kirbyi" "0.6"
"400" "Sphaerodactylus_vincenti" "1.6"
"401" "Sphaerodactylus_microlepis" "1"
"402" "Sphaerodactylus_epiurus" "0.4"
"403" "Sphaerodactylus_fantasticus" "0.6"
"404" "Sphaerodactylus_gaigeae" "0.4"
"405" "Sphaerodactylus_klauberi" "1.3"
"406" "Sphaerodactylus_levinsi" "0.5"
"407" "Sphaerodactylus_monensis" "0.7"
"408" "Sphaerodactylus_nicholsi" "0.4"
"409" "Sphaerodactylus_ocoae" "1.3"
"410" "Sphaerodactylus_townsendi" "0.7"
"411" "Sphaerodactylus_gilvitorques" "0.5"
"412" "Sphaerodactylus_glaucus" "0.7"
"413" "Sphaerodactylus_molei" "0.5"
"414" "Sphaerodactylus_goniorhynchus" "0.8"
"415" "Sphaerodactylus_graptolaemus" "0.8"
"416" "Sphaerodactylus_heliconiae" "0.8"
"417" "Sphaerodactylus_homolepis" "0.9"
"418" "Sphaerodactylus_inaguae" "0.6"
"419" "Sphaerodactylus_intermedius" "1.2"
"420" "Sphaerodactylus_nigropunctatus" "1.6"
"421" "Sphaerodactylus_torrei" "1.5"
"422" "Sphaerodactylus_ladae" "0.5"
"423" "Sphaerodactylus_lazelli" "0.7"
"424" "Sphaerodactylus_leucaster" "0.7"
"425" "Sphaerodactylus_richardsonii" "1.6"
"426" "Sphaerodactylus_thompsoni" "0.9"
"427" "Sphaerodactylus_lineolatus" "0.8"
"428" "Sphaerodactylus_mariguanae" "1.7"
"429" "Sphaerodactylus_micropithecus" "1.2"
"430" "Sphaerodactylus_notatus" "1"
"431" "Sphaerodactylus_nycteropus" "0.2"
"432" "Sphaerodactylus_oliveri" "1"
"433" "Sphaerodactylus_richardi" "0.8"
"434" "Sphaerodactylus_omoglaux" "0.2"
"435" "Sphaerodactylus_oxyrhinus" "1"
"436" "Sphaerodactylus_pacificus" "2.9"
"437" "Sphaerodactylus_parkeri" "1.1"
"438" "Sphaerodactylus_parthenopion" "0.1"
"439" "Sphaerodactylus_parvus" "0.3"
"440" "Sphaerodactylus_perissodactylius" "0.3"
"441" "Sphaerodactylus_phyzacinus" "0.4"
"442" "Sphaerodactylus_pimienta" "1.4"
"443" "Sphaerodactylus_plummeri" "0.3"
"444" "Sphaerodactylus_randi" "0.8"
"445" "Sphaerodactylus_rhabdotus" "0.8"
"446" "Sphaerodactylus_ruibali" "0.8"
"447" "Sphaerodactylus_samanensis" "0.6"
"448" "Sphaerodactylus_savagei" "0.9"
"449" "Sphaerodactylus_scaber" "1"
"450" "Sphaerodactylus_scapularis" "0.9"
"451" "Sphaerodactylus_schuberti" "0.9"
"452" "Sphaerodactylus_shrevei" "0.7"
"453" "Sphaerodactylus_siboney" "0.8"
"454" "Sphaerodactylus_sommeri" "1.1"
"455" "Sphaerodactylus_sputator" "1.6"
"456" "Sphaerodactylus_storeyae" "0.8"
"457" "Sphaerodactylus_streptophorus" "0.4"
"458" "Sphaerodactylus_underwoodi" "0.8"
"459" "Sphaerodactylus_williamsi" "0.3"
"460" "Sphaerodactylus_zygaena" "0.8"
"461" "Teratoscincus_bedriagai" "9.6"
"462" "Teratoscincus_przewalskii" "22"
"463" "Teratoscincus_toksunicus" "20.4"
"464" "Teratoscincus_scincus" "41.3"
"465" "Teratoscincus_microlepis" "11.1"
"466" "Asaccus_andersoni" "8"
"467" "Asaccus_caudivolvulus" "6.4"
"468" "Asaccus_gallagheri" "1.7"
"469" "Asaccus_platyrhynchus" "6.6"
"470" "Asaccus_granularis" "9"
"471" "Asaccus_saffinae" "4.9"
"472" "Asaccus_elisae" "7.2"
"473" "Asaccus_griseonotus" "9.3"
"474" "Asaccus_kurdistanensis" "6.7"
"475" "Asaccus_kermanshahensis" "4.6"
"476" "Asaccus_zagrosicus" "4.2"
"477" "Asaccus_barani" "4.8"
"478" "Asaccus_iranicus" "2"
"479" "Asaccus_nasrullahi" "8.9"
"480" "Asaccus_tangestanensis" "5.1"
"481" "Asaccus_montanus" "1.7"
"482" "Haemodracon_riebeckii" "68.9"
"483" "Haemodracon_trachyrhinus" "4.4"
"484" "Ptyodactylus_ananjevae" "13.3"
"485" "Ptyodactylus_guttatus" "21.3"
"486" "Ptyodactylus_hasselquistii" "29.5"
"487" "Ptyodactylus_puiseuxi" "18.8"
"488" "Ptyodactylus_orlovi" "15"
"489" "Ptyodactylus_dhofarensis" "21.9"
"490" "Ptyodactylus_oudrii" "6.3"
"491" "Ptyodactylus_homolepis" "33.9"
"492" "Ptyodactylus_ragazzii" "25.6"
"493" "Thecadactylus_oskrobapreinorum" "24.8"
"494" "Thecadactylus_rapicauda" "50.5"
"495" "Thecadactylus_solimoensis" "50.5"
"496" "Garthia_gaudichaudii" "2.8"
"497" "Garthia_penai" "1"
"498" "Homonota_andicola" "2.1"
"499" "Homonota_whitii" "2.1"
"500" "Homonota_darwinii" "4.4"
"501" "Homonota_borellii" "2"
"502" "Homonota_rupicola" "1.3"
"503" "Homonota_taragui" "2"
"504" "Homonota_uruguayensis" "3.3"
"505" "Homonota_williamsii" "3"
"506" "Homonota_fasciata" "5.7"
"507" "Homonota_underwoodi" "4.2"
"508" "Phyllodactylus_gilberti" "4.5"
"509" "Phyllodactylus_angustidigitus" "4.9"
"510" "Phyllodactylus_thompsoni" "2"
"511" "Phyllodactylus_julieni" "4.9"
"512" "Phyllodactylus_barringtonensis" "1.9"
"513" "Phyllodactylus_galapagensis" "2.6"
"514" "Phyllodactylus_baurii" "3.7"
"515" "Phyllodactylus_leei" "2.4"
"516" "Phyllodactylus_reissii" "11"
"517" "Phyllodactylus_bordai" "5.7"
"518" "Phyllodactylus_lanei" "13.8"
"519" "Phyllodactylus_martini" "4.2"
"520" "Phyllodactylus_bugastrolepis" "6.6"
"521" "Phyllodactylus_nocticolus" "6.6"
"522" "Phyllodactylus_unctus" "5.7"
"523" "Phyllodactylus_xanti" "11.4"
"524" "Phyllodactylus_davisi" "8.6"
"525" "Phyllodactylus_duellmani" "2.1"
"526" "Phyllodactylus_homolepidurus" "8.6"
"527" "Phyllodactylus_delcampoi" "18.8"
"528" "Phyllodactylus_clinatus" "2.6"
"529" "Phyllodactylus_dixoni" "11.4"
"530" "Phyllodactylus_darwini" "9.7"
"531" "Phyllodactylus_leoni" "4.4"
"532" "Phyllodactylus_pumilus" "3.5"
"533" "Phyllodactylus_kofordi" "2.6"
"534" "Phyllodactylus_delsolari" "13.8"
"535" "Phyllodactylus_paucituberculatus" "8.9"
"536" "Phyllodactylus_partidus" "7.9"
"537" "Phyllodactylus_heterurus" "4.6"
