"Species3" "Mass"
"2485" "Gallirallus_rovianae" 353.07
"2486" "Gallirallus_striatus" 116
"2487" "Gallirallus_sylvestris" 494.38
"2488" "Gallirallus_torquatus" 280
"2489" "Gymnocrex_plumbeiventris" 288
"2490" "Gymnocrex_rosenbergii" 288
"2491" "Gymnocrex_talaudensis" 288
"2492" "Habroptila_wallacii" 1000
"2493" "Himantornis_haematopus" 585.69
"2494" "Laterallus_albigularis" 47.29
"2495" "Laterallus_exilis" 33.53
"2496" "Laterallus_jamaicensis" 32.56
"2497" "Laterallus_leucopyrrhus" 45.5
"2498" "Laterallus_levraudi" 43.51
"2499" "Laterallus_melanophaius" 52.1
"2500" "Laterallus_ruber" 44.4
"2501" "Laterallus_spilonotus" 40.24
"2502" "Laterallus_tuerosi" 32.56
"2503" "Laterallus_xenopterus" 56.9
"2504" "Lewinia_mirifica" 68
"2505" "Lewinia_muelleri" 93
"2506" "Lewinia_pectoralis" 78.05
"2507" "Megacrex_inepta" 1200
"2508" "Micropygia_schomburgkii" 31.2
"2509" "Neocrex_colombiana" 58.3
"2510" "Neocrex_erythrops" 58.3
"2511" "Nesoclopeus_woodfordi" 553.16
"2512" "Pardirallus_maculatus" 171
"2513" "Pardirallus_nigricans" 217
"2514" "Pardirallus_sanguinolentus" 232
"2515" "Porphyrio_alleni" 138.74
"2516" "Porphyrio_flavirostris" 92.64
"2517" "Porphyrio_hochstetteri" 2462.18
"2518" "Porphyrio_martinica" 235.06
"2519" "Porphyrio_porphyrio" 773.88
"2520" "Porzana_albicollis" 100
"2521" "Porzana_atra" 77.4
"2522" "Porzana_carolina" 74.8
"2523" "Porzana_cinerea" 52.1
"2524" "Porzana_flaviventer" 24.92
"2525" "Porzana_fluminea" 60.79
"2526" "Porzana_fusca" 57.27
"2527" "Porzana_parva" 49.7
"2528" "Porzana_paykullii" 111
"2529" "Porzana_porzana" 87.1
"2530" "Porzana_pusilla" 35.4
"2531" "Porzana_spiloptera" 52.1
"2532" "Porzana_tabuensis" 42.23
"2533" "Rallina_canningi" 178
"2534" "Rallina_eurizonoides" 109
"2535" "Rallina_fasciata" 100
"2536" "Rallina_forbesi" 85.13
"2537" "Rallina_leucospila" 120
"2538" "Rallina_mayri" 122.89
"2539" "Rallina_rubra" 81
"2540" "Rallina_tricolor" 178
"2541" "Rallus_antarcticus" 60.4
"2542" "Rallus_aquaticus" 110.67
"2543" "Rallus_caerulescens" 162.11
"2544" "Rallus_elegans" 313.31
"2545" "Rallus_limicola" 84.1
"2546" "Rallus_longirostris" 259.35
"2547" "Rallus_madagascariensis" 114
"2548" "Rallus_semiplumbeus" 84.1
"2549" "Rallus_wetmorei" 259.4
"2550" "Rougetius_rougetii" 193.39
"2551" "Sarothrura_affinis" 27.8
"2552" "Sarothrura_ayresi" 31.8
"2553" "Sarothrura_boehmi" 34.97
"2554" "Sarothrura_elegans" 46.04
"2555" "Sarothrura_insularis" 26.8
"2556" "Sarothrura_lugens" 30.83
"2557" "Sarothrura_pulchra" 45.2
"2558" "Sarothrura_rufa" 37.68
"2559" "Sarothrura_watersi" 26.5
"2560" "Leptosomus_discolor" 255
"2561" "Mesitornis_unicolor" 148
"2562" "Mesitornis_variegatus" 110
"2563" "Monias_benschi" 137.94
"2564" "Corythaeola_cristata" 964.99
"2565" "Corythaixoides_concolor" 258
"2566" "Corythaixoides_leucogaster" 216.16
"2567" "Corythaixoides_personatus" 250
"2568" "Crinifer_piscator" 370
"2569" "Crinifer_zonurus" 527
"2570" "Musophaga_rossae" 361.42
"2571" "Musophaga_violacea" 360
"2572" "Ruwenzorornis_johnstoni" 240
"2573" "Tauraco_bannermani" 224
"2574" "Tauraco_corythaix" 308
"2575" "Tauraco_erythrolophus" 261.24
"2576" "Tauraco_fischeri" 250
"2577" "Tauraco_hartlaubi" 224
"2578" "Tauraco_leucolophus" 219
"2579" "Tauraco_leucotis" 265
"2580" "Tauraco_livingstonii" 249
"2581" "Tauraco_macrorhynchus" 243.72
"2582" "Tauraco_persa" 306
"2583" "Tauraco_porphyreolophus" 259
"2584" "Tauraco_ruspolii" 263
"2585" "Tauraco_schalowi" 206.39
"2586" "Tauraco_schuetti" 235
"2587" "Opisthocomus_hoazin" 696
"2588" "Ardeotis_arabs" 5943.48
"2589" "Ardeotis_australis" 4182.35
"2590" "Ardeotis_kori" 7994.16
"2591" "Ardeotis_nigriceps" 7235.31
"2592" "Chlamydotis_undulata" 1501.33
"2593" "Eupodotis_afra" 689.99
"2594" "Eupodotis_afraoides" 745
"2595" "Eupodotis_caerulescens" 1366
"2596" "Eupodotis_gindiana" 782.3
"2597" "Eupodotis_hartlaubii" 1190
"2598" "Eupodotis_humilis" 698
"2599" "Eupodotis_melanogaster" 1151.52
"2600" "Eupodotis_rueppellii" 1107.04
"2601" "Eupodotis_ruficrista" 712.1
"2602" "Eupodotis_savilei" 712.1
"2603" "Eupodotis_senegalensis" 585
"2604" "Eupodotis_vigorsii" 1700
"2605" "Houbaropsis_bengalensis" 2012.46
"2606" "Neotis_denhami" 3970.2
"2607" "Neotis_heuglinii" 4098.78
"2608" "Neotis_ludwigii" 3260.94
"2609" "Neotis_nuba" 5440
"2610" "Otis_tarda" 6759.92
"2611" "Sypheotides_indicus" 614.32
"2612" "Tetrax_tetrax" 833.45
"2613" "Acanthisitta_chloris" 6.91
"2614" "Xenicus_gilviventris" 17.59
"2615" "Acanthiza_apicalis" 7.62
"2616" "Acanthiza_chrysorrhoa" 9.29
"2617" "Acanthiza_ewingii" 6.9
"2618" "Acanthiza_inornata" 7
"2619" "Acanthiza_iredalei" 6.04
"2620" "Acanthiza_katherina" 7.2
"2621" "Acanthiza_lineata" 6.85
"2622" "Acanthiza_murina" 8.4
"2623" "Acanthiza_nana" 6.19
"2624" "Acanthiza_pusilla" 7.62
"2625" "Acanthiza_reguloides" 7.7
"2626" "Acanthiza_robustirostris" 6.1
"2627" "Acanthiza_uropygialis" 6.4
"2628" "Acanthornis_magna" 10.18
"2629" "Aphelocephala_leucopsis" 12.31
"2630" "Aphelocephala_nigricincta" 10.4
"2631" "Aphelocephala_pectoralis" 9
"2632" "Calamanthus_campestris" 13.91
"2633" "Calamanthus_fuliginosus" 20.81
"2634" "Chthonicola_sagittatus" 13.29
"2635" "Crateroscelis_murina" 15
"2636" "Crateroscelis_nigrorufa" 15.9
"2637" "Crateroscelis_robusta" 18.6
"2638" "Gerygone_albofrontata" 10.26
"2639" "Gerygone_chloronota" 6.6
"2640" "Gerygone_chrysogaster" 8
"2641" "Gerygone_cinerea" 7.6
"2642" "Gerygone_dorsalis" 7.2
"2643" "Gerygone_flavolateralis" 6.3
"2644" "Gerygone_fusca" 5.4
"2645" "Gerygone_hypoxantha" 7.2
"2646" "Gerygone_igata" 6.4
"2647" "Gerygone_inornata" 7.2
"2648" "Gerygone_levigaster" 6.2
"2649" "Gerygone_magnirostris" 6.8
"2650" "Gerygone_modesta" 7.5
"2651" "Gerygone_mouki" 5.2
"2652" "Gerygone_olivacea" 6.72
"2653" "Gerygone_palpebrosa" 7.4
"2654" "Gerygone_ruficollis" 7
"2655" "Gerygone_sulphurea" 5.6
"2656" "Gerygone_tenebrosa" 7.68
"2657" "Hylacola_cauta" 15.21
"2658" "Hylacola_pyrrhopygia" 16.8
"2659" "Mohoua_albicilla" 17.63
"2660" "Mohoua_novaeseelandiae" 12.14
"2661" "Mohoua_ochrocephala" 27.69
"2662" "Oreoscopus_gutturalis" 20
"2663" "Origma_solitaria" 14.34
"2664" "Pycnoptilus_floccosus" 28.9
"2665" "Pyrrholaemus_brunneus" 12.5
"2666" "Sericornis_arfakianus" 8.7
"2667" "Sericornis_beccarii" 11.88
"2668" "Sericornis_citreogularis" 17.6
"2669" "Sericornis_frontalis" 13.23
"2670" "Sericornis_humilis" 18.25
"2671" "Sericornis_keri" 11.38
"2672" "Sericornis_magnirostra" 9.8
"2673" "Sericornis_nouhuysi" 17.1
"2674" "Sericornis_papuensis" 11.2
"2675" "Sericornis_perspicillatus" 9
"2676" "Sericornis_rufescens" 8.5
"2677" "Sericornis_spilodera" 11.7
"2678" "Sericornis_virgatus" 12.4
"2679" "Smicrornis_brevirostris" 5.3
"2680" "Aegithalos_caudatus" 8.6
"2681" "Aegithalos_concinnus" 6.1
"2682" "Aegithalos_fuliginosus" 5.65
"2683" "Aegithalos_iouschistos" 7
"2684" "Aegithalos_leucogenys" 6.7
"2685" "Aegithalos_niveogularis" 7.8
"2686" "Leptopoecile_elegans" 6.21
"2687" "Leptopoecile_sophiae" 6.9
"2688" "Psaltria_exilis" 4
"2689" "Psaltriparus_minimus" 5.3
"2690" "Aegithina_lafresnayei" 11.96
"2691" "Aegithina_nigrolutea" 11.83
"2692" "Aegithina_tiphia" 12
"2693" "Aegithina_viridissima" 13.4
"2694" "Alaemon_alaudipes" 43.72
"2695" "Alaemon_hamertoni" 43.7
"2696" "Alauda_arvensis" 37.31
"2697" "Alauda_gulgula" 26.3
"2698" "Alauda_japonica" 37.3
"2699" "Alauda_razae" 21.9
"2700" "Ammomanes_cinctura" 18.13
"2701" "Ammomanes_deserti" 23.8
"2702" "Ammomanes_grayi" 21.41
"2703" "Ammomanes_phoenicura" 25.6
"2704" "Calandrella_acutirostris" 20.16
"2705" "Calandrella_brachydactyla" 21.06
"2706" "Calandrella_cheleensis" 22.2
"2707" "Calandrella_cinerea" 23.7
"2708" "Calandrella_raytal" 18.49
"2709" "Calandrella_rufescens" 24.1
"2710" "Calandrella_somalica" 24.1
"2711" "Certhilauda_albescens" 30.4
"2712" "Certhilauda_barlowi" 28.06
"2713" "Certhilauda_burra" 37.37
"2714" "Certhilauda_chuana" 44.1
"2715" "Certhilauda_curvirostris" 40.41
"2716" "Certhilauda_erythrochlamys" 28.06
"2717" "Certhilauda_semitorquata" 40.41
"2718" "Certhilauda_subcoronata" 40.41
"2719" "Chersomanes_albofasciata" 24.61
"2720" "Chersophilus_duponti" 39.4
"2721" "Eremalauda_dunni" 20.5
"2722" "Eremalauda_starki" 18.5
"2723" "Eremophila_alpestris" 33.33
"2724" "Eremophila_bilopha" 38.5
"2725" "Eremopterix_australis" 14.2
"2726" "Eremopterix_griseus" 16
"2727" "Eremopterix_leucopareia" 14.5
"2728" "Eremopterix_leucotis" 16.4
"2729" "Eremopterix_nigriceps" 13.85
"2730" "Eremopterix_signatus" 15.7
"2731" "Eremopterix_verticalis" 17
"2732" "Galerida_cristata" 42.68
"2733" "Galerida_deva" 19.89
"2734" "Galerida_magnirostris" 41.6
"2735" "Galerida_malabarica" 38.17
"2736" "Galerida_modesta" 20.2
"2737" "Galerida_theklae" 38.17
"2738" "Heteromirafra_archeri" 30
"2739" "Heteromirafra_ruddi" 26.6
"2740" "Heteromirafra_sidamoensis" 30.2
"2741" "Lullula_arborea" 26.9
"2742" "Melanocorypha_bimaculata" 54.1
"2743" "Melanocorypha_calandra" 61.6
"2744" "Melanocorypha_leucoptera" 45.3
"2745" "Melanocorypha_maxima" 74.99
"2746" "Melanocorypha_mongolica" 53.94
"2747" "Melanocorypha_yeltoniensis" 59.93
"2748" "Mirafra_affinis" 26.2
"2749" "Mirafra_africana" 45.03
"2750" "Mirafra_africanoides" 23.4
"2751" "Mirafra_albicauda" 22.2
"2752" "Mirafra_alopex" 24
"2753" "Mirafra_angolensis" 36.21
"2754" "Mirafra_apiata" 26.87
"2755" "Mirafra_ashi" 36.8
"2756" "Mirafra_assamica" 26.2
"2757" "Mirafra_cantillans" 18.69
"2758" "Mirafra_cheniana" 29.15
"2759" "Mirafra_collaris" 29.15
"2760" "Mirafra_cordofanica" 29.15
"2761" "Mirafra_erythrocephala" 26.2
"2762" "Mirafra_erythroptera" 21.3
"2763" "Mirafra_gilletti" 22.4
"2764" "Mirafra_hova" 18.9
"2765" "Mirafra_hypermetra" 61.39
"2766" "Mirafra_javanica" 23
"2767" "Mirafra_microptera" 26.2
"2768" "Mirafra_passerina" 24.7
"2769" "Mirafra_poecilosterna" 24.7
"2770" "Mirafra_pulpa" 21.9
"2771" "Mirafra_rufa" 29.15
"2772" "Mirafra_rufocinnamomea" 26.29
"2773" "Mirafra_sabota" 24.7
"2774" "Mirafra_somalica" 46.6
"2775" "Mirafra_williamsi" 29.15
"2776" "Pinarocorys_erythropygia" 30.1
"2777" "Pinarocorys_nigricans" 38.11
"2778" "Pseudalaemon_fremantlii" 23.39
"2779" "Rhamphocoris_clotbey" 49.06
"2780" "Spizocorys_conirostris" 14.3
"2781" "Spizocorys_fringillaris" 19.15
"2782" "Spizocorys_obbiensis" 13.49
"2783" "Spizocorys_personata" 19.7
"2784" "Spizocorys_sclateri" 19
"2785" "Artamus_cinereus" 35.6
"2786" "Artamus_cyanopterus" 34.6
"2787" "Artamus_fuscus" 39.8
"2788" "Artamus_insignis" 51.3
"2789" "Artamus_leucorynchus" 41.69
"2790" "Artamus_maximus" 58.2
"2791" "Artamus_mentalis" 41.9
"2792" "Artamus_minor" 16
"2793" "Artamus_monachus" 43.61
"2794" "Artamus_personatus" 34.6
"2795" "Artamus_superciliosus" 35.5
"2796" "Atrichornis_clamosus" 42.15
"2797" "Atrichornis_rufescens" 24
"2798" "Bombycilla_cedrorum" 31.58
"2799" "Bombycilla_garrulus" 54.41
"2800" "Bombycilla_japonica" 42.3
"2801" "Hypocolius_ampelinus" 53.3
"2802" "Phainopepla_nitens" 22.1
"2803" "Phainoptila_melanoxantha" 56
"2804" "Ptilogonys_caudatus" 36.19
"2805" "Ptilogonys_cinereus" 33.6
"2806" "Callaeas_cinereus" 225.37
"2807" "Philesturnus_carunculatus" 74.72
"2808" "Campephaga_flava" 32.3
"2809" "Campephaga_lobata" 33.1
"2810" "Campephaga_oriolina" 33.1
"2811" "Campephaga_petiti" 31.34
"2812" "Campephaga_phoenicea" 27.1
"2813" "Campephaga_quiscalina" 34.5
"2814" "Campochaera_sloetii" 41
"2815" "Coracina_abbotti" 67.96
"2816" "Coracina_analis" 82.4
"2817" "Coracina_atriceps" 139
"2818" "Coracina_azurea" 46.1
"2819" "Coracina_bicolor" 101
"2820" "Coracina_boyeri" 66.4
"2821" "Coracina_caeruleogrisea" 138.17
"2822" "Coracina_caesia" 47.29
"2823" "Coracina_caledonica" 140
"2824" "Coracina_ceramensis" 47.9
"2825" "Coracina_cinerea" 47.2
"2826" "Coracina_coerulescens" 62.84
"2827" "Coracina_dispar" 67.96
"2828" "Coracina_dohertyi" 67.96
"2829" "Coracina_fimbriata" 29.3
"2830" "Coracina_fortis" 138.2
"2831" "Coracina_graueri" 47.2
"2832" "Coracina_holopolia" 48.9
"2833" "Coracina_incerta" 58.89
"2834" "Coracina_javensis" 94.5
"2835" "Coracina_larvata" 94.5
"2836" "Coracina_leucopygia" 94.5
"2837" "Coracina_lineata" 76.01
"2838" "Coracina_longicauda" 101
"2839" "Coracina_macei" 105
"2840" "Coracina_maxima" 127
"2841" "Coracina_mcgregori" 42.6
"2842" "Coracina_melanoptera" 29.39
"2843" "Coracina_melas" 59.39
"2844" "Coracina_melaschistos" 43
"2845" "Coracina_mindanensis" 58.7
"2846" "Coracina_montana" 79.22
"2847" "Coracina_morio" 58.5
"2848" "Coracina_newtoni" 42.9
"2849" "Coracina_novaehollandiae" 118
"2850" "Coracina_ostenta" 67.96
"2851" "Coracina_papuensis" 63.45
"2852" "Coracina_parvula" 67.96
"2853" "Coracina_pectoralis" 54.4
"2854" "Coracina_personata" 94.5
"2855" "Coracina_polioptera" 35.8
"2856" "Coracina_schistacea" 94.5
"2857" "Coracina_schisticeps" 52.8
"2858" "Coracina_striata" 111
"2859" "Coracina_sula" 67.96
"2860" "Coracina_temminckii" 101
"2861" "Coracina_tenuirostris" 60.92
"2862" "Coracina_typica" 42.9
"2863" "Hemipus_hirundinaceus" 10.2
"2864" "Hemipus_picatus" 8.98
"2865" "Lalage_atrovirens" 33
"2866" "Lalage_aurea" 32
"2867" "Lalage_leucomela" 29.25
"2868" "Lalage_leucopyga" 24.3
"2869" "Lalage_leucopygialis" 24.3
"2870" "Lalage_maculosa" 30.3
"2871" "Lalage_melanoleuca" 46.8
"2872" "Lalage_moesta" 29.52
"2873" "Lalage_nigra" 28.4
"2874" "Lalage_sharpei" 28.63
"2875" "Lalage_sueurii" 26
"2876" "Lalage_tricolor" 25
"2877" "Pericrocotus_brevirostris" 16.49
"2878" "Pericrocotus_cantonensis" 16.26
"2879" "Pericrocotus_cinnamomeus" 8.6
"2880" "Pericrocotus_divaricatus" 24.6
"2881" "Pericrocotus_erythropygius" 10.8
"2882" "Pericrocotus_ethologus" 18.97
"2883" "Pericrocotus_flammeus" 23.3
"2884" "Pericrocotus_igneus" 15
"2885" "Pericrocotus_lansbergei" 16.26
"2886" "Pericrocotus_miniatus" 16.26
"2887" "Pericrocotus_roseus" 19.2
"2888" "Pericrocotus_solaris" 14.5
"2889" "Pericrocotus_tegimae" 21
"2890" "Tephrodornis_gularis" 37.8
"2891" "Tephrodornis_pondicerianus" 20.2
"2892" "Amaurospiza_carrizalensis" 13
"2893" "Amaurospiza_concolor" 13.1
"2894" "Amaurospiza_moesta" 13.6
"2895" "Cardinalis_cardinalis" 42.64
"2896" "Cardinalis_phoeniceus" 35
"2897" "Cardinalis_sinuatus" 35.19
"2898" "Caryothraustes_canadensis" 34.5
"2899" "Caryothraustes_poliogaster" 41.8
"2900" "Chlorothraupis_carmioli" 37.6
"2901" "Chlorothraupis_olivacea" 39
"2902" "Chlorothraupis_stolzmanni" 38.8
"2903" "Cyanocompsa_brissonii" 27.5
"2904" "Cyanocompsa_cyanoides" 32.5
"2905" "Cyanocompsa_parellina" 15.64
"2906" "Cyanoloxia_glaucocaerulea" 18.2
"2907" "Granatellus_pelzelni" 11.2
"2908" "Granatellus_sallaei" 9.9
"2909" "Granatellus_venustus" 10.8
"2910" "Habia_atrimaxillaris" 48.9
"2911" "Habia_cristata" 46.5
"2912" "Habia_fuscicauda" 36.84
"2913" "Habia_gutturalis" 36.4
"2914" "Habia_rubica" 32.46
"2915" "Parkerthraustes_humeralis" 37
"2916" "Periporphyrus_erythromelas" 48
"2917" "Pheucticus_aureoventris" 49
"2918" "Pheucticus_chrysogaster" 55.8
"2919" "Pheucticus_chrysopeplus" 77.6
"2920" "Pheucticus_ludovicianus" 42
"2921" "Pheucticus_melanocephalus" 47.13
"2922" "Pheucticus_tibialis" 62.3
"2923" "Piranga_bidentata" 36.07
"2924" "Piranga_erythrocephala" 21.8
"2925" "Piranga_flava" 37.7
"2926" "Piranga_leucoptera" 16
"2927" "Piranga_ludoviciana" 28.1
"2928" "Piranga_olivacea" 28.2
"2929" "Piranga_roseogularis" 24
"2930" "Piranga_rubra" 29.13
"2931" "Piranga_rubriceps" 35.9
"2932" "Rhodothraupis_celaeno" 60
"2933" "Saltator_albicollis" 41.33
"2934" "Saltator_atriceps" 83.79
"2935" "Saltator_atricollis" 53.8
"2936" "Saltator_atripennis" 55
"2937" "Saltator_aurantiirostris" 41.89
"2938" "Saltator_cinctus" 48.6
"2939" "Saltator_coerulescens" 54.9
"2940" "Saltator_fuliginosus" 44
"2941" "Saltator_grossus" 44.2
"2942" "Saltator_maxillosus" 50.8
"2943" "Saltator_maximus" 47.62
"2944" "Saltator_nigriceps" 71
"2945" "Saltator_orenocensis" 33.7
"2946" "Saltator_rufiventris" 74.2
"2947" "Saltator_similis" 43.3
"2948" "Saltator_striatipectus" 39
"2949" "Spiza_americana" 26.18
"2950" "Certhia_americana" 8.1
"2951" "Certhia_brachydactyla" 8.2
"2952" "Certhia_discolor" 10.4
"2953" "Certhia_familiaris" 9
"2954" "Certhia_himalayana" 8.8
"2955" "Certhia_hodgsoni" 9
"2956" "Certhia_manipurensis" 10.4
"2957" "Certhia_nipalensis" 11.1
"2958" "Certhia_tianquanensis" 9
"2959" "Salpornis_spilonotus" 14.8
"2960" "Chloropsis_aurifrons" 32.31
"2961" "Chloropsis_cochinchinensis" 24.5
"2962" "Chloropsis_cyanopogon" 22
"2963" "Chloropsis_flavipennis" 35.4
"2964" "Chloropsis_hardwickii" 32.29
"2965" "Chloropsis_jerdoni" 24.5
"2966" "Chloropsis_kinabaluensis" 24.5
"2967" "Chloropsis_media" 32.31
"2968" "Chloropsis_palawanensis" 30.31
"2969" "Chloropsis_sonnerati" 45.8
"2970" "Chloropsis_venusta" 22
"2971" "Cinclus_cinclus" 61.47
"2972" "Cinclus_leucocephalus" 44
"2973" "Cinclus_mexicanus" 56.68
"2974" "Cinclus_pallasii" 76
"2975" "Cinclus_schulzi" 37.6
"2976" "Cinclosoma_ajax" 65.27
"2977" "Cinclosoma_castaneothorax" 62.42
"2978" "Cinclosoma_castanotum" 73.33
"2979" "Cinclosoma_cinnamomeum" 56.14
"2980" "Cinclosoma_punctatum" 113.31
"2981" "Apalis_alticola" 12.1
"2982" "Apalis_argentea" 9.3
"2983" "Apalis_bamendae" 9.16
"2984" "Apalis_binotata" 8.2
"2985" "Apalis_chapini" 8.8
"2986" "Apalis_chariessa" 9.16
"2987" "Apalis_chirindensis" 8.6
"2988" "Apalis_cinerea" 9.88
"2989" "Apalis_flavida" 8.19
"2990" "Apalis_flavigularis" 11.08
"2991" "Apalis_fuscigularis" 11
"2992" "Apalis_goslingi" 8.2
"2993" "Apalis_jacksoni" 8.7
"2994" "Apalis_karamojae" 9.2
"2995" "Apalis_lynesi" 11.4
"2996" "Apalis_melanocephala" 8.8
"2997" "Apalis_nigriceps" 8.4
"2998" "Apalis_personata" 11
"2999" "Apalis_porphyrolaema" 8.39
"3000" "Apalis_ruddi" 9.69
"3001" "Apalis_rufogularis" 8.34
"3002" "Apalis_sharpii" 8.69
"3003" "Apalis_thoracica" 11.08
"3004" "Camaroptera_brachyura" 9.74
"3005" "Camaroptera_chloronota" 11.4
"3006" "Camaroptera_fasciolata" 13.1
"3007" "Camaroptera_simplex" 13
"3008" "Camaroptera_superciliaris" 9.7
"3009" "Camaroptera_undosa" 13
"3010" "Cisticola_aberdare" 24
"3011" "Cisticola_aberrans" 14.21
"3012" "Cisticola_angusticauda" 8.2
"3013" "Cisticola_anonymus" 13.91
"3014" "Cisticola_aridulus" 9.2
"3015" "Cisticola_ayresii" 7
"3016" "Cisticola_bodessa" 17.14
"3017" "Cisticola_brachypterus" 7.81
"3018" "Cisticola_brunnescens" 8
"3019" "Cisticola_bulliens" 15.81
"3020" "Cisticola_cantans" 11.7
"3021" "Cisticola_carruthersi" 11.24
"3022" "Cisticola_cherina" 10
"3023" "Cisticola_chiniana" 16.14
"3024" "Cisticola_chubbi" 16.03
"3025" "Cisticola_cinereolus" 16.99
"3026" "Cisticola_dambo" 8.99
"3027" "Cisticola_discolor" 16
"3028" "Cisticola_erythrops" 14.77
"3029" "Cisticola_exilis" 7.04
"3030" "Cisticola_eximius" 11.95
"3031" "Cisticola_fulvicapilla" 8.24
"3032" "Cisticola_galactotes" 13.07
"3033" "Cisticola_guinea" 9.3
"3034" "Cisticola_haesitatus" 6.92
"3035" "Cisticola_hunteri" 15.48
"3036" "Cisticola_juncidis" 6.81
"3037" "Cisticola_lais" 14.78
"3038" "Cisticola_lateralis" 16.78
"3039" "Cisticola_melanurus" 8.71
"3040" "Cisticola_nanus" 5
"3041" "Cisticola_natalensis" 16.44
"3042" "Cisticola_nigriloris" 19.64
"3043" "Cisticola_njombe" 10.87
"3044" "Cisticola_pipiens" 13.48
"3045" "Cisticola_restrictus" 13.2
"3046" "Cisticola_robustus" 18.47
"3047" "Cisticola_ruficeps" 9.7
"3048" "Cisticola_rufilatus" 11.3
"3049" "Cisticola_rufus" 7.3
"3050" "Cisticola_subruficapilla" 9.92
"3051" "Cisticola_textrix" 10.34
"3052" "Cisticola_tinniens" 11.4
"3053" "Cisticola_troglodytes" 8.2
"3054" "Cisticola_woosnami" 13.5
"3055" "Drymocichla_incana" 10
"3056" "Eminia_lepida" 20.2
"3057" "Eremomela_canescens" 6.92
"3058" "Eremomela_salvadorii" 7.5
"3059" "Euryptila_subcinnamomea" 11.5
"3060" "Heliolais_erythropterus" 11.5
"3061" "Hypergerus_atriceps" 29.8
"3062" "Incana_incana" 10.39
"3063" "Malcorus_pectoralis" 10.13
"3064" "Oreolais_pulchra" 8.37
"3065" "Oreolais_ruwenzorii" 9.9
"3066" "Phragmacia_substriata" 10.62
"3067" "Phyllolais_pulchella" 6
"3068" "Prinia_atrogularis" 11.8
"3069" "Prinia_bairdii" 13.4
"3070" "Prinia_buchanani" 6.7
"3071" "Prinia_burnesii" 19
"3072" "Prinia_cinereocapilla" 7.3
"3073" "Prinia_crinigera" 13.73
"3074" "Prinia_familiaris" 9
"3075" "Prinia_flavicans" 8.73
"3076" "Prinia_flaviventris" 7
"3077" "Prinia_fluviatilis" 8
"3078" "Prinia_gracilis" 7.1
"3079" "Prinia_hodgsonii" 6.4
"3080" "Prinia_hypoxantha" 10.5
"3081" "Prinia_inornata" 7
"3082" "Prinia_leontica" 12.4
"3083" "Prinia_leucopogon" 11.7
"3084" "Prinia_maculosa" 9
"3085" "Prinia_molleri" 8.8
"3086" "Prinia_polychroa" 10.95
"3087" "Prinia_robertsi" 9.99
"3088" "Prinia_rufescens" 6.48
"3089" "Prinia_socialis" 8
"3090" "Prinia_somalica" 7.5
"3091" "Prinia_subflava" 8.64
"3092" "Prinia_sylvatica" 16.1
"3093" "Rhopophilus_pekinensis" 18.03
"3094" "Scotocerca_inquieta" 8.2
"3095" "Spiloptila_clamans" 7
"3096" "Spiloptila_rufifrons" 6.5
"3097" "Urolais_epichlorus" 11.3
"3098" "Climacteris_affinis" 21.7
"3099" "Climacteris_erythrops" 23.3
"3100" "Climacteris_melanurus" 31.85
"3101" "Climacteris_picumnus" 28.94
"3102" "Climacteris_rufus" 32.64
"3103" "Cormobates_leucophaea" 22
"3104" "Cormobates_placens" 15.8
"3105" "Cnemophilus_loriae" 83.97
"3106" "Cnemophilus_macgregorii" 97.87
"3107" "Loboparadisea_sericea" 67.27
"3108" "Coereba_flaveola" 10.01
"3109" "Colluricincla_boweri" 43.8
"3110" "Colluricincla_harmonica" 65.8
"3111" "Colluricincla_megarhyncha" 32.34
"3112" "Colluricincla_sanghirensis" 32.34
"3113" "Colluricincla_tenebrosa" 46
"3114" "Colluricincla_umbrina" 46
"3115" "Colluricincla_woodwardi" 54.5
"3116" "Oreoica_gutturalis" 62.8
"3117" "Pitohui_cristatus" 79
"3118" "Pitohui_dichrous" 92.9
"3119" "Pitohui_ferrugineus" 93.91
"3120" "Pitohui_incertus" 75
"3121" "Pitohui_kirhocephalus" 72
"3122" "Pitohui_nigrescens" 76.9
"3123" "Conopophaga_ardesiaca" 26.3
"3124" "Conopophaga_aurita" 26.3
"3125" "Conopophaga_castaneiceps" 27
"3126" "Conopophaga_cearae" 22
"3127" "Conopophaga_lineata" 25.21
"3128" "Conopophaga_melanogaster" 42.5
"3129" "Conopophaga_melanops" 20.1
"3130" "Conopophaga_peruviana" 23
"3131" "Conopophaga_roberti" 20.8
"3132" "Corcorax_melanorhamphos" 364
"3133" "Struthidea_cinerea" 132
"3134" "Aphelocoma_californica" 85.74
"3135" "Aphelocoma_coerulescens" 77.12
"3136" "Aphelocoma_insularis" 115.78
"3137" "Aphelocoma_ultramarina" 113.33
"3138" "Aphelocoma_unicolor" 124
"3139" "Calocitta_colliei" 234
"3140" "Calocitta_formosa" 210
"3141" "Cissa_chinensis" 126.64
"3142" "Cissa_hypoleuca" 125
"3143" "Cissa_thalassina" 125
"3144" "Corvus_albicollis" 893.99
"3145" "Corvus_albus" 524
"3146" "Corvus_bennetti" 389
"3147" "Corvus_brachyrhynchos" 448.76
"3148" "Corvus_capensis" 553
"3149" "Corvus_caurinus" 390.79
"3150" "Corvus_corax" 927.97
"3151" "Corvus_corone" 570
"3152" "Corvus_coronoides" 644.3
