"Species3" "Mass"
"160" "Haliaeetus_vociferoides" 3000
"161" "Haliastur_indus" 529
"162" "Haliastur_sphenurus" 752.99
"163" "Hamirostra_melanosternon" 1196
"164" "Harpagus_bidentatus" 215.25
"165" "Harpagus_diodon" 200
"166" "Harpia_harpyja" 4800
"167" "Harpyhaliaetus_coronatus" 2950
"168" "Harpyhaliaetus_solitarius" 3000
"169" "Harpyopsis_novaeguineae" 1959.59
"170" "Helicolestes_hamatus" 425.46
"171" "Henicopernis_infuscatus" 571.2
"172" "Henicopernis_longicauda" 571.23
"173" "Hieraaetus_ayresii" 806.06
"174" "Hieraaetus_morphnoides" 775.05
"175" "Hieraaetus_pennatus" 823.75
"176" "Hieraaetus_spilogaster" 1466.17
"177" "Hieraaetus_weiskei" 775.05
"178" "Ichthyophaga_humilis" 782
"179" "Ichthyophaga_ichthyaetus" 1590
"180" "Ictinaetus_malayensis" 1028
"181" "Ictinia_mississippiensis" 276.03
"182" "Ictinia_plumbea" 249.9
"183" "Kaupifalco_monogrammicus" 278.94
"184" "Leptodon_cayanensis" 474
"185" "Leptodon_forbesi" 577
"186" "Leucopternis_albicollis" 703.7
"187" "Leucopternis_kuhli" 352.09
"188" "Leucopternis_lacernulatus" 312
"189" "Leucopternis_melanops" 312
"190" "Leucopternis_occidentalis" 659.99
"191" "Leucopternis_plumbeus" 482
"192" "Leucopternis_polionotus" 703.7
"193" "Leucopternis_princeps" 999.99
"194" "Leucopternis_schistaceus" 999.99
"195" "Leucopternis_semiplumbeus" 285.04
"196" "Lophaetus_occipitalis" 1067
"197" "Lophoictinia_isura" 579.37
"198" "Lophotriorchis_kienerii" 799
"199" "Macheiramphus_alcinus" 650
"200" "Megatriorchis_doriae" 999.99
"201" "Melierax_canorus" 663.32
"202" "Melierax_gabar" 169.55
"203" "Melierax_metabates" 674.53
"204" "Melierax_poliopterus" 629.88
"205" "Milvus_migrans" 734.1
"206" "Milvus_milvus" 1071.77
"207" "Morphnus_guianensis" 1750
"208" "Necrosyrtes_monachus" 2043
"209" "Neophron_percnopterus" 2082
"210" "Nisaetus_alboniger" 829.99
"211" "Nisaetus_bartelsi" 830
"212" "Nisaetus_cirrhatus" 1475.12
"213" "Nisaetus_floris" 1475.12
"214" "Nisaetus_lanceolatus" 1168
"215" "Nisaetus_nanus" 557.76
"216" "Nisaetus_nipalensis" 3004.99
"217" "Nisaetus_philippensis" 1168
"218" "Pandion_haliaetus" 1483.2
"219" "Parabuteo_unicinctus" 850.28
"220" "Pernis_apivorus" 754.37
"221" "Pernis_celebensis" 721.99
"222" "Pernis_ptilorhyncus" 1141.13
"223" "Pithecophaga_jefferyi" 5175.32
"224" "Polemaetus_bellicosus" 3964.54
"225" "Polyboroides_radiatus" 633.2
"226" "Polyboroides_typus" 633.24
"227" "Rostrhamus_sociabilis" 366.94
"228" "Sagittarius_serpentarius" 4017
"229" "Sarcogyps_calvus" 4469.89
"230" "Spilornis_cheela" 597.74
"231" "Spilornis_elgini" 895
"232" "Spilornis_holospilus" 705
"233" "Spilornis_kinabaluensis" 597.7
"234" "Spilornis_klossi" 450
"235" "Spilornis_rufipectus" 705
"236" "Spizaetus_isidori" 1197.4
"237" "Spizaetus_melanoleucus" 850
"238" "Spizaetus_ornatus" 1197.4
"239" "Spizaetus_tyrannus" 1007.11
"240" "Stephanoaetus_coronatus" 3640
"241" "Terathopius_ecaudatus" 2200
"242" "Torgos_tracheliotos" 6969
"243" "Trigonoceps_occipitalis" 3016
"244" "Urotriorchis_macrourus" 492
"245" "Cathartes_aura" 1518.24
"246" "Cathartes_burrovianus" 935
"247" "Cathartes_melambrotus" 1373
"248" "Coragyps_atratus" 1881.69
"249" "Gymnogyps_californianus" 8442.74
"250" "Sarcoramphus_papa" 3400
"251" "Vultur_gryphus" 11236.1
"252" "Aix_galericulata" 567.04
"253" "Aix_sponsa" 657.59
"254" "Alopochen_aegyptiaca" 1873
"255" "Amazonetta_brasiliensis" 499.99
"256" "Anas_acuta" 944.62
"257" "Anas_americana" 754.61
"258" "Anas_andium" 434
"259" "Anas_aucklandica" 499.09
"260" "Anas_bahamensis" 489.97
"261" "Anas_bernieri" 378.48
"262" "Anas_capensis" 402
"263" "Anas_castanea" 624.01
"264" "Anas_chlorotis" 499.09
"265" "Anas_clypeata" 612.56
"266" "Anas_crecca" 341.89
"267" "Anas_cyanoptera" 377.45
"268" "Anas_discors" 359.44
"269" "Anas_eatoni" 944.62
"270" "Anas_erythrorhyncha" 558.82
"271" "Anas_falcata" 645.83
"272" "Anas_flavirostris" 434
"273" "Anas_formosa" 433.98
"274" "Anas_fulvigula" 843.42
"275" "Anas_georgica" 623.82
"276" "Anas_gibberifrons" 488.11
"277" "Anas_gracilis" 488.11
"278" "Anas_hottentota" 276.36
"279" "Anas_laysanensis" 843.42
"280" "Anas_luzonica" 832.04
"281" "Anas_melleri" 959.22
"282" "Anas_nesiotis" 499.09
"283" "Anas_penelope" 770.03
"284" "Anas_platalea" 465.43
"285" "Anas_platyrhynchos" 843.42
"286" "Anas_poecilorhyncha" 999.96
"287" "Anas_puna" 595.21
"288" "Anas_querquedula" 325.6
"289" "Anas_rhynchotis" 638.96
"290" "Anas_rubripes" 1240.96
"291" "Anas_sibilatrix" 923.16
"292" "Anas_smithii" 591.46
"293" "Anas_sparsa" 981.49
"294" "Anas_strepera" 915.58
"295" "Anas_superciliosa" 882.76
"296" "Anas_undulata" 1008
"297" "Anas_versicolor" 595.21
"298" "Anas_wyvilliana" 843.42
"299" "Anser_albifrons" 2506.39
"300" "Anser_anser" 3302.41
"301" "Anser_brachyrhynchus" 2642.04
"302" "Anser_cygnoides" 3511.94
"303" "Anser_erythropus" 1755.5
"304" "Anser_fabalis" 2754.73
"305" "Anser_indicus" 2212.55
"306" "Aythya_affinis" 819.45
"307" "Aythya_americana" 1075.69
"308" "Aythya_australis" 869.41
"309" "Aythya_baeri" 681.23
"310" "Aythya_collaris" 704.55
"311" "Aythya_ferina" 822.99
"312" "Aythya_fuligula" 701.17
"313" "Aythya_innotata" 685
"314" "Aythya_marila" 1005.37
"315" "Aythya_novaeseelandiae" 681.98
"316" "Aythya_nyroca" 574
"317" "Aythya_valisineria" 1202
"318" "Biziura_lobata" 1928.54
"319" "Branta_bernicla" 1277.91
"320" "Branta_canadensis" 2811.68
"321" "Branta_hutchinsii" 2811.68
"322" "Branta_leucopsis" 1683.97
"323" "Branta_ruficollis" 1226.47
"324" "Branta_sandvicensis" 2044.12
"325" "Bucephala_albeola" 397.46
"326" "Bucephala_clangula" 918.56
"327" "Bucephala_islandica" 921.21
"328" "Cairina_moschata" 2415.78
"329" "Cairina_scutulata" 2937.39
"330" "Callonetta_leucophrys" 362.78
"331" "Cereopsis_novaehollandiae" 3559.99
"332" "Chen_caerulescens" 2636.15
"333" "Chen_canagica" 2136.49
"334" "Chen_rossii" 1635.99
"335" "Chenonetta_jubata" 807.46
"336" "Chloephaga_hybrida" 2281.8
"337" "Chloephaga_melanoptera" 2037
"338" "Chloephaga_picta" 2880.37
"339" "Chloephaga_poliocephala" 2007.14
"340" "Chloephaga_rubidiceps" 2086
"341" "Clangula_hyemalis" 871
"342" "Coscoroba_coscoroba" 4294.78
"343" "Cyanochen_cyanoptera" 1520
"344" "Cygnus_atratus" 5623.16
"345" "Cygnus_buccinator" 11071.13
"346" "Cygnus_columbianus" 6377.96
"347" "Cygnus_cygnus" 9349.99
"348" "Cygnus_melancoryphus" 4711.68
"349" "Cygnus_olor" 10682.04
"350" "Dendrocygna_arborea" 1150
"351" "Dendrocygna_arcuata" 796.18
"352" "Dendrocygna_autumnalis" 755.3
"353" "Dendrocygna_bicolor" 756.37
"354" "Dendrocygna_eytoni" 789.99
"355" "Dendrocygna_guttata" 800
"356" "Dendrocygna_javanica" 519.61
"357" "Dendrocygna_viduata" 689.99
"358" "Heteronetta_atricapilla" 538.37
"359" "Histrionicus_histrionicus" 561.57
"360" "Hymenolaimus_malacorhynchos" 829.99
"361" "Lophodytes_cucullatus" 613.77
"362" "Lophonetta_specularioides" 1019.93
"363" "Malacorhynchus_membranaceus" 372.79
"364" "Marmaronetta_angustirostris" 477
"365" "Melanitta_fusca" 1800.17
"366" "Melanitta_nigra" 1049.98
"367" "Melanitta_perspicillata" 1096.33
"368" "Merganetta_armata" 398.82
"369" "Mergellus_albellus" 608.55
"370" "Mergus_merganser" 1451.02
"371" "Mergus_octosetaceus" 983
"372" "Mergus_serrator" 1015.17
"373" "Mergus_squamatus" 1234
"374" "Neochen_jubata" 1250
"375" "Netta_erythrophthalma" 780.38
"376" "Netta_peposaca" 999.99
"377" "Netta_rufina" 1118
