"Species" "Mass"
"666" "Carollia_sowelli" "16.5"
"667" "Carollia_perspicillata" "16.4"
"668" "Carollia_brevicauda" "14.85"
"669" "Carollia_subrufa" "14.47"
"670" "Carollia_manu" "18.7"
"671" "Carollia_castanea" "13.1"
"672" "Carollia_benkeithi" "13.1"
"673" "Rhinophylla_pumilio" "9.54"
"674" "Rhinophylla_fischerae" "9.55"
"675" "Rhinophylla_alethina" "6.91"
"676" "Sturnira_lilium" "20"
"677" "Sturnira_parvidens" "20"
"679" "Sturnira_luisi" "11.99"
"680" "Sturnira_angeli" "15.46"
"681" "Sturnira_paulsoni" "20"
"682" "Sturnira_erythromos" "15.53"
"683" "Sturnira_mordax" "11.79"
"685" "Sturnira_magna" "43.1"
"687" "Sturnira_bogotensis" "21"
"688" "Sturnira_tildae" "22.445"
"689" "Sturnira_oporaphilum" "21.495"
"690" "Sturnira_ludovici" "21"
"692" "Sturnira_hondurensis" "21"
"693" "Sturnira_aratathomasi" "49.67"
"694" "Sturnira_nana" "6.64"
"695" "Sturnira_bidens" "18.05"
"696" "Artibeus_hirsutus" "40.42"
"697" "Artibeus_inopinatus" "18.99"
"698" "Artibeus_fraterculus" "45.65"
"699" "Artibeus_jamaicensis" "46.1"
"700" "Artibeus_fimbriatus" "63.895"
"701" "Artibeus_obscurus" "45.65"
"702" "Artibeus_planirostris" "47"
"703" "Artibeus_amplus" "61.04"
"704" "Artibeus_lituratus" "46.1"
"705" "Artibeus_concolor" "19.675"
"706" "Dermanura_anderseni" "6.91"
"707" "Dermanura_rava" "11.69"
"708" "Dermanura_bogotensis" "12.505"
"709" "Dermanura_watsoni" "12.31"
"710" "Dermanura_phaeotis" "11.69"
"711" "Ariteus_flavescens" "10.09"
"712" "Ardops_nichollsi" "19.23"
"713" "Centurio_senex" "23.09"
"714" "Pygoderma_bilabiatum" "18"
"715" "Ametrida_centurio" "11.305"
"716" "Sphaeronycteris_toxophyllum" "16.53"
"717" "Stenoderma_rufum" "21.1"
"718" "Phyllops_falcatus" "10.82"
"719" "Ectophylla_alba" "5.55"
"720" "Enchisthenes_hartii" "16.99"
"721" "Vampyressa_thyone" "8.77"
"722" "Vampyressa_pusilla" "8.785"
"723" "Vampyressa_melissa" "16.58"
"724" "Mesophylla_macconnelli" "6.86"
"725" "Vampyrodes_caraccioli" "35.89"
"726" "Platyrrhinus_brachycephalus" "14.26"
"727" "Platyrrhinus_helleri" "13.44"
"728" "Platyrrhinus_matapalensis" "18"
"729" "Platyrrhinus_recifinus" "10.82"
"730" "Platyrrhinus_fusciventris" "13.44"
"731" "Platyrrhinus_angustirostris" "13.44"
"732" "Platyrrhinus_lineatus" "22"
"733" "Platyrrhinus_aurarius" "35.12"
"734" "Platyrrhinus_infuscus" "50.76"
"735" "Platyrrhinus_dorsalis" "26"
"736" "Platyrrhinus_vittatus" "37.01"
"737" "Platyrrhinus_albericoi" "55"
"738" "Platyrrhinus_masu" "27"
"739" "Platyrrhinus_ismaeli" "37.1"
"740" "Chiroderma_salvini" "26.3"
"741" "Chiroderma_trinitatum" "13.91"
"742" "Chiroderma_doriae" "19.9"
"743" "Chiroderma_villosum" "23.81"
"744" "Chiroderma_improvisum" "35.39"
"745" "Uroderma_magnirostrum" "17.3"
"746" "Uroderma_bilobatum" "16.24"
"747" "Lonchophylla_hesperia" "8.72"
"748" "Lonchophylla_mordax" "21.56"
"749" "Lonchophylla_concava" "7.4"
"750" "Lonchophylla_robusta" "13.72"
"752" "Lonchophylla_handleyi" "14.53"
"753" "Lonchophylla_chocoana" "21"
"754" "Lionycteris_spurrelli" "8.85"
"755" "Platalina_genovensium" "16.39"
"756" "Xeronycteris_vieirai" "13.3"
"757" "Lonchorhina_orinocensis" "9.04"
"758" "Lonchorhina_aurita" "15.38"
"759" "Vampyrum_spectrum" "171.61"
"760" "Chrotopterus_auritus" "84.38"
"761" "Phyllostomus_discolor" "40.05"
"762" "Tonatia_bidens" "27.55"
"763" "Tonatia_saurophila" "27.55"
"764" "Phyllostomus_hastatus" "82.6"
"765" "Phyllostomus_elongatus" "35.6"
"766" "Phyllostomus_latifolius" "134"
"767" "Phylloderma_stenops" "55.82"
"768" "Lophostoma_schulzi" "18.02"
"769" "Lophostoma_silvicolum" "32.29"
"770" "Lophostoma_evotis" "20.58"
"771" "Lophostoma_carrikeri" "22.35"
"772" "Lophostoma_brasiliense" "9.76"
"773" "Trachops_cirrhosus" "36.9"
"774" "Mimon_cozumelae" "26.195"
"775" "Lonchorhina_inusitata" "18.6"
"776" "Macrophyllum_macrophyllum" "8.02"
"777" "Mimon_bennettii" "12.9"
"778" "Diphylla_ecaudata" "28.11"
"779" "Diaemus_youngi" "36.6"
"780" "Desmodus_rotundus" "33.18"
"781" "Pteronotus_personatus" "10.995"
"782" "Pteronotus_quadridens" "5.27"
"783" "Pteronotus_macleayii" "12.39"
"784" "Pteronotus_gymnonotus" "13.6"
"785" "Pteronotus_davyi" "9.4"
"786" "Pteronotus_parnellii" "19.395"
"787" "Nycteris_javanica" "17.78"
"788" "Nycteris_tragata" "16.09"
"789" "Nycteris_grandis" "29.9"
"790" "Nycteris_thebaica" "9.2"
"791" "Nycteris_hispida" "7.98"
"792" "Nycteris_macrotis" "14.49"
"793" "Coleura_afra" "10.68"
"794" "Coleura_kibomalandy" "10.68"
"795" "Coleura_seychellensis" "10.64"
"796" "Emballonura_dianae" "13.21"
"797" "Emballonura_monticola" "5"
"798" "Emballonura_alecto" "5.25"
"799" "Emballonura_raffrayana" "5.61"
"800" "Emballonura_semicaudata" "6.29"
"801" "Emballonura_beccarii" "4.31"
"802" "Emballonura_serii" "5.75"
"803" "Saccopteryx_gymnura" "6.11"
"804" "Saccopteryx_canescens" "3.41"
"805" "Saccopteryx_leptura" "4.72"
"806" "Saccopteryx_bilineata" "7.9"
"807" "Centronycteris_centralis" "23"
"808" "Centronycteris_maximiliani" "23"
"809" "Rhynchonycteris_naso" "4.14"
"810" "Diclidurus_ingens" "12.3"
"811" "Diclidurus_albus" "18.5"
"812" "Diclidurus_scutatus" "13.62"
"813" "Cyttarops_alecto" "5.3"
"814" "Balantiopteryx_infusca" "9.05"
"815" "Balantiopteryx_io" "3.97"
"816" "Balantiopteryx_plicata" "6.57"
"817" "Peropteryx_kappleri" "9.85"
"818" "Cormura_brevirostris" "9.26"
"819" "Peropteryx_macrotis" "230.99"
"820" "Peropteryx_trinitatis" "5.68"
"822" "Peropteryx_leucoptera" "12.8"
"823" "Taphozous_nudiventris" "32.49"
"824" "Taphozous_melanopogon" "25.99"
"825" "Taphozous_hildegardeae" "29.37"
"826" "Taphozous_perforatus" "24.215"
"827" "Taphozous_mauritianus" "27.97"
"828" "Taphozous_longimanus" "25.11"
"829" "Saccolaimus_saccolaimus" "43"
"830" "Nyctiellus_lepidus" "3.88"
"831" "Natalus_tumidirostris" "5.85"
"832" "Natalus_stramineus" "4.7"
"833" "Natalus_major" "4.7"
"834" "Natalus_jamaicensis" "4.7"
"835" "Chilonatalus_micropus" "3"
"836" "Chilonatalus_tumidifrons" "3.62"
"837" "Otomops_martiensseni" "34.92"
"838" "Otomops_madagascariensis" "34.92"
"839" "Otomops_wroughtoni" "39.15"
"840" "Eumops_hansae" "15.47"
"841" "Eumops_patagonicus" "12.22"
"842" "Eumops_bonariensis" "12.22"
"843" "Eumops_underwoodi" "59.835"
"844" "Eumops_dabbenei" "58.5"
"845" "Eumops_glaucinus" "36.4"
"846" "Eumops_floridanus" "38.4"
"847" "Eumops_ferox" "36.4"
"848" "Eumops_wilsoni" "36.4"
"849" "Eumops_auripendulus" "28.49"
"850" "Eumops_maurus" "20.66"
"851" "Eumops_perotis" "56.5"
"852" "Promops_centralis" "29.8"
"853" "Molossus_coibensis" "13.925"
"854" "Molossus_molossus" "13.85"
"855" "Molossus_rufus" "25"
"856" "Molossops_mattogrossensis" "7.48"
"857" "Nyctinomops_macrotis" "23"
"858" "Nyctinomops_laticaudatus" "13.56"
"859" "Nyctinomops_femorosaccus" "14.5"
"860" "Nyctinomops_aurispinosus" "18.43"
"861" "Cynomops_planirostris" "12.84"
"862" "Cynomops_paranus" "12.16"
"863" "Cynomops_abrasus" "35.39"
"864" "Tadarida_fulminans" "33.89"
"865" "Tadarida_teniotis" "35"
"866" "Molossops_temminckii" "5.86"
"867" "Molossops_neglectus" "6.91"
"868" "Tadarida_insignis" "35"
"869" "Sauromys_petrophilus" "14.25"
"870" "Tadarida_brasiliensis" "12.5"
"871" "Mormopterus_eleryi" "8"
"872" "Mormopterus_norfolkensis" "8"
"873" "Tadarida_aegyptiaca" "20.5"
"874" "Chaerephon_jobensis" "20.71"
"875" "Molossus_sinaloae" "21.09"
"876" "Mops_mops" "31.12"
"877" "Chaerephon_ansorgei" "14.53"
"878" "Chaerephon_plicatus" "21.83"
"879" "Mormopterus_planiceps" "9.24"
"880" "Mops_midas" "35"
"882" "Mormopterus_beccarii" "14.3"
"884" "Chaerephon_nigeriae" "20.14"
"886" "Chaerephon_atsinanana" "10.98"
"887" "Chaerephon_pumilus" "10.98"
"888" "Mops_leucostigma" "26.69"
"889" "Mops_condylurus" "26.59"
"891" "Chaerephon_chapini" "7.49"
"892" "Cheiromeles_parvidens" "169.43"
"893" "Mormopterus_jugularis" "11.56"
"894" "Mormopterus_francoismoutoui" "9.05"
"895" "Miniopterus_schreibersii" "11.185"
"896" "Miniopterus_fuscus" "10.905"
"897" "Miniopterus_magnater" "13"
"898" "Miniopterus_tristis" "15.17"
"899" "Miniopterus_pusillus" "7.6"
"900" "Miniopterus_australis" "7.4"
"901" "Miniopterus_medius" "10.91"
"902" "Miniopterus_macrocneme" "7.565"
"903" "Miniopterus_inflatus" "14.9"
"904" "Miniopterus_gleni" "9"
"905" "Miniopterus_griffithsi" "9"
"906" "Miniopterus_majori" "11.46"
"907" "Miniopterus_petersoni" "6"
"908" "Miniopterus_manavi" "7.81"
"909" "Miniopterus_aelleni" "7.81"
"910" "Miniopterus_natalensis" "11.185"
"911" "Miniopterus_minor" "7.01"
"912" "Miniopterus_fraterculus" "7.38"
"913" "Miniopterus_griveaudi" "4.6"
"914" "Cistugo_seabrae" "5.37"
"915" "Cistugo_lesueuri" "6.38"
"916" "Nycticeius_humeralis" "6.65"
"917" "Scotophilus_kuhlii" "20.31"
"918" "Scotophilus_nux" "26.23"
"919" "Scotophilus_nigrita" "25.12"
"921" "Scotophilus_borbonicus" "19.415"
"923" "Scotophilus_dinganii" "25.12"
"926" "Scotophilus_robustus" "60.1"
"927" "Scotophilus_viridis" "19.415"
"928" "Scotophilus_leucogaster" "25.12"
"929" "Scotophilus_tandrefana" "14.2"
"930" "Scotophilus_marovaza" "14.2"
"931" "Scotophilus_heathii" "36.13"
"932" "Lasiurus_intermedius" "20"
"933" "Lasiurus_xanthinus" "12.2"
"934" "Lasiurus_ega" "12.2"
"935" "Lasiurus_egregius" "17.41"
"936" "Lasiurus_cinereus" "26.03"
"937" "Lasiurus_borealis" "13"
"938" "Lasiurus_seminolus" "13"
"939" "Lasiurus_blossevillii" "12.33"
"940" "Lasiurus_atratus" "19.4"
"941" "Antrozous_pallidus" "22"
"942" "Bauerus_dubiaquercus" "22.22"
"943" "Rhogeessa_parvula" "4.37"
"944" "Rhogeessa_mira" "2.68"
"945" "Rhogeessa_tumida" "4.475"
"946" "Rhogeessa_genowaysi" "3.88"
"947" "Rhogeessa_io" "4.475"
"948" "Rhogeessa_aeneus" "4.475"
"949" "Parastrellus_hesperus" "3.56"
"950" "Eptesicus_dimissus" "13.03"
"951" "Tylonycteris_pachypus" "4.1"
"952" "Tylonycteris_robustula" "7.98"
"953" "Philetor_brachypterus" "12"
"954" "Pipistrellus_crassulus" "6.09"
"955" "Nycticeinops_schlieffeni" "5.05"
"956" "Neoromicia_nana" "3.88"
"957" "Neoromicia_tenuipinnis" "5.35"
"958" "Neoromicia_rendalli" "6.42"
"959" "Neoromicia_roseveari" "6.91"
"960" "Neoromicia_brunnea" "6.91"
"961" "Neoromicia_matroka" "6.57"
"962" "Neoromicia_capensis" "5.96"
"963" "Neoromicia_robertsi" "7.2"
"964" "Neoromicia_malagasyensis" "6.5"
"965" "Laephotis_namibensis" "8.72"
"966" "Laephotis_wintoni" "6.1"
"967" "Laephotis_botswanae" "7.28"
"968" "Hypsugo_bemainty" "9.56"
"969" "Neoromicia_somalica" "3.53"
"970" "Neoromicia_guineensis" "3.5"
"971" "Chalinolobus_gouldii" "15.87"
"972" "Chalinolobus_morio" "8.91"
"973" "Chalinolobus_nigrogriseus" "8.79"
"974" "Vespadelus_vulturnus" "3.77"
"975" "Vespadelus_regulus" "5.05"
"976" "Chalinolobus_tuberculatus" "10.46"
"977" "Falsistrellus_petersi" "9.05"
"978" "Nyctophilus_arnhemensis" "6.83"
"979" "Vespertilio_sinensis" "24.3"
"980" "Vespertilio_murinus" "15.71"
"981" "Scotoecus_hirundo" "9.048"
"982" "Pipistrellus_rueppellii" "7.07"
"983" "Glischropus_tylopus" "4.445"
"984" "Pipistrellus_tenuis" "3.34"
"985" "Pipistrellus_coromandra" "4.59"
"986" "Pipistrellus_abramus" "5.395"
"987" "Pipistrellus_javanicus" "4.92"
"988" "Pipistrellus_stenopterus" "15.67"
"989" "Pipistrellus_paterculus" "4.92"
"990" "Pipistrellus_ceylonicus" "8.05"
"991" "Nyctalus_leisleri" "16"
"992" "Nyctalus_azoreum" "14.235"
"993" "Nyctalus_noctula" "19.375"
"994" "Nyctalus_aviator" "38.925"
"995" "Nyctalus_lasiopterus" "45.98"
"996" "Nyctalus_plancyi" "19.375"
"997" "Pipistrellus_hesperidus" "6"
"998" "Pipistrellus_maderensis" "4.91"
"999" "Pipistrellus_kuhlii" "5.548"
"1000" "Pipistrellus_pipistrellus" "5"
"1001" "Pipistrellus_hanaki" "6"
"1002" "Pipistrellus_pygmaeus" "5"
"1003" "Pipistrellus_nathusii" "8.72"
"1004" "Hesperoptenus_blanfordi" "6.91"
"1005" "Glauconycteris_poensis" "6.91"
"1006" "Glauconycteris_beatrix" "7.5"
"1007" "Ia_io" "49.3"
"1008" "Scotomanes_ornatus" "22.24"
"1009" "Hesperoptenus_tomesi" "20.66"
"1010" "Lasionycteris_noctivagans" "10.51"
"1011" "Arielulus_circumdatus" "10.4"
"1012" "Glauconycteris_egeria" "8.41"
"1013" "Glauconycteris_argentata" "9.3"
"1014" "Glauconycteris_variegata" "11.25"
"1015" "Arielulus_aureocollaris" "14.5"
"1016" "Eptesicus_fuscus" "17.195"
"1017" "Eptesicus_diminutus" "5.99"
"1018" "Eptesicus_chiriquinus" "9.2"
"1019" "Eptesicus_brasiliensis" "9.2"
"1020" "Eptesicus_furinalis" "7.7"
"1021" "Eptesicus_gobiensis" "13"
"1022" "Eptesicus_bobrinskoi" "7.725"
"1023" "Eptesicus_serotinus" "18.2"
"1024" "Eptesicus_nilssonii" "13"
"1025" "Eptesicus_pachyomus" "18.2"
"1026" "Eptesicus_bottae" "15.66"
"1027" "Histiotus_macrotus" "9.95"
"1028" "Histiotus_magellanicus" "14.02"
"1029" "Eptesicus_hottentotus" "30.33"
"1030" "Eptesicus_isabellinus" "18.2"
"1031" "Euderma_maculatum" "16.17"
"1032" "Plecotus_sardus" "9.8"
"1033" "Plecotus_ognevi" "8.4"
"1034" "Plecotus_auritus" "9.195"
"1035" "Plecotus_macrobullaris" "8.5"
"1036" "Plecotus_balensis" "6.5"
"1037" "Plecotus_christii" "7"
"1038" "Plecotus_teneriffae" "9.195"
"1039" "Idionycteris_phyllotis" "12.565"
"1040" "Plecotus_kolombatovici" "8.19"
"1041" "Plecotus_austriacus" "8.19"
"1042" "Corynorhinus_rafinesquii" "9.15"
"1043" "Corynorhinus_townsendii" "10.3"
"1044" "Corynorhinus_mexicanus" "11.7"
"1045" "Barbastella_barbastellus" "10"
"1047" "Barbastella_leucomelas" "10"
"1048" "Otonycteris_hemprichii" "21.98"
"1049" "Myotis_albescens" "5.69"
"1050" "Myotis_oxyotus" "5.65"
"1051" "Myotis_levis" "5.24"
"1052" "Myotis_nigricans" "4.1"
"1053" "Myotis_chiloensis" "8.005"
"1054" "Myotis_martiniquensis" "7.49"
"1055" "Myotis_nesopolus" "3.56"
"1056" "Myotis_dominicensis" "4.2"
"1057" "Myotis_atacamensis" "8.005"
"1058" "Myotis_austroriparius" "7.35"
"1059" "Myotis_grisescens" "10.045"
"1060" "Myotis_velifer" "10.995"
"1061" "Myotis_yumanensis" "5.9"
"1062" "Myotis_fortidens" "6.5"
"1063" "Myotis_vivesi" "25"
"1064" "Myotis_keaysi" "5.22"
"1065" "Myotis_ruber" "4.99"
"1066" "Myotis_simus" "8.1"
"1067" "Myotis_riparius" "6.335"
"1068" "Myotis_elegans" "4.21"
"1069" "Myotis_brandtii" "7"
"1070" "Myotis_septentrionalis" "6"
"1071" "Myotis_auriculus" "8"
"1072" "Myotis_thysanodes" "6.5"
"1073" "Myotis_lucifugus" "7.15"
"1074" "Myotis_keenii" "6.255"
"1075" "Myotis_evotis" "7.4"
"1076" "Myotis_sodalis" "7.425"
"1077" "Myotis_volans" "7.855"
"1078" "Myotis_leibii" "5.41"
"1079" "Myotis_californicus" "4.39"
"1080" "Myotis_ciliolabrum" "5"
"1081" "Myotis_melanorhinus" "5"
"1082" "Myotis_emarginatus" "9.28"
"1083" "Myotis_tricolor" "13.67"
"1084" "Myotis_scotti" "8.72"
"1085" "Myotis_goudoti" "5.56"
"1086" "Myotis_anjouanensis" "5.56"
"1087" "Myotis_bocagii" "7.93"
"1088" "Myotis_welwitschii" "15.88"
"1089" "Myotis_formosus" "7.07"
"1090" "Myotis_macrotarsus" "12.64"
"1091" "Myotis_horsfieldii" "6.125"
"1092" "Myotis_hasseltii" "8.7"
"1093" "Myotis_macropus" "10.41"
"1094" "Myotis_adversus" "10.41"
"1095" "Myotis_rosseti" "3.29"
"1096" "Myotis_ridleyi" "4.06"
"1097" "Myotis_capaccinii" "23.82"
"1098" "Myotis_siligorensis" "2.93"
"1099" "Myotis_davidii" "5.3"
"1100" "Myotis_longipes" "23.41"
"1101" "Myotis_annamiticus" "3.7"
"1102" "Myotis_laniger" "8.5"
"1103" "Myotis_bechsteinii" "9.985"
"1104" "Myotis_frater" "7.54"
"1105" "Myotis_sicarius" "20.09"
"1106" "Myotis_pequinius" "17.41"
"1107" "Myotis_bombinus" "7.5"
"1108" "Myotis_schaubi" "11.99"
"1109" "Myotis_escalerai" "7.5"
"1110" "Myotis_chinensis" "28.55"
"1111" "Myotis_nattereri" "7.5"
"1112" "Myotis_punicus" "24.705"
"1113" "Myotis_myotis" "27.07"
"1114" "Myotis_blythii" "24.262"
"1115" "Myotis_hajastanicus" "5.3"
"1116" "Myotis_daubentonii" "7.902"
"1117" "Myotis_macrodactylus" "23.41"
"1118" "Myotis_pilosus" "26.19"
"1119" "Myotis_fimbriatus" "23.41"
"1121" "Myotis_pruinosus" "4.91"
"1122" "Myotis_montivagus" "5.3"
"1123" "Myotis_annectans" "9.75"
"1125" "Myotis_gomantongensis" "9.4"
"1126" "Myotis_yanbarensis" "4.3"
"1127" "Myotis_muricola" "5.3"
"1128" "Myotis_mystacinus" "5.3"
"1129" "Myotis_alcathoe" "5"
"1130" "Myotis_nipalensis" "5.3"
"1131" "Myotis_aurascens" "7.5"
"1132" "Myotis_ikonnikovi" "5.989"
"1133" "Myotis_altarium" "11"
"1134" "Myotis_dasycneme" "15"
"1135" "Submyotodon_latirostris" "5.3"
"1136" "Kerivoula_picta" "4.5"
"1137" "Kerivoula_pellucida" "4.14"
"1138" "Kerivoula_intermedia" "3.68"
"1139" "Kerivoula_minuta" "2.03"
"1140" "Kerivoula_krauensis" "3"
"1141" "Kerivoula_kachinensis" "4.8"
"1142" "Kerivoula_titania" "4.6"
"1143" "Kerivoula_hardwickii" "4.55"
"1144" "Kerivoula_whiteheadi" "3.29"
"1145" "Kerivoula_papillosa" "10.21"
"1146" "Kerivoula_lenis" "10.21"
"1147" "Murina_ryukyuana" "4.5"
"1148" "Murina_ussuriensis" "4.48"
"1149" "Murina_huttoni" "7.56"
"1153" "Harpiocephalus_harpia" "15.26"
"1154" "Murina_hilgendorfi" "7.54"
"1156" "Murina_leucogaster" "7.54"
"1158" "Murina_puta" "6.91"
"1159" "Murina_cyclotis" "9.35"
"1161" "Murina_peninsularis" "9.35"
"1162" "Murina_aenea" "7.5"
"1164" "Murina_florium" "4.41"
"1165" "Murina_suilla" "4"
"1166" "Murina_rozendaali" "5.61"
"1167" "Murina_pluvialis" "9.35"
"1168" "Murina_jaintiana" "6.505"
"1169" "Murina_tubinaris" "6.505"
"1174" "Murina_aurata" "4.27"
"1175" "Manis_javanica" "4540.855"
"1176" "Manis_pentadactyla" "3637.5"
"1177" "Phataginus_tetradactyla" "2089.99"
"1178" "Phataginus_tricuspis" "1539.31"
"1179" "Smutsia_temminckii" "9586.87"
"1180" "Smutsia_gigantea" "32999.85"
"1181" "Urocyon_littoralis" "1906.835"
"1182" "Urocyon_cinereoargenteus" "4220"
"1183" "Nyctereutes_procyonoides" "4232"
"1184" "Otocyon_megalotis" "4150"
"1185" "Cuon_alpinus" "15750"
"1186" "Canis_rufus" "23500"
"1187" "Canis_mesomelas" "8247.3"
"1188" "Canis_aureus" "11000"
"1189" "Canis_lupus" "29190.755"
"1190" "Speothos_venaticus" "6000"
"1191" "Canis_latrans" "11050"
"1192" "Canis_simensis" "13518.43"
"1193" "Canis_adustus" "10321.245"
"1194" "Chrysocyon_brachyurus" "22250"
"1195" "Lycaon_pictus" "24249.995"
"1196" "Dusicyon_australis" "21083"
"1197" "Cerdocyon_thous" "5741.66"
"1198" "Atelocynus_microtis" "9500"
"1199" "Vulpes_cana" "994.25"
"1200" "Vulpes_zerda" "1207.5"
"1201" "Vulpes_velox" "2088"
"1202" "Vulpes_macrotis" "2088"
"1203" "Vulpes_lagopus" "3600"
"1204" "Vulpes_vulpes" "4580.3"
"1205" "Vulpes_rueppellii" "3200"
"1206" "Vulpes_ferrilata" "2700"
"1207" "Vulpes_corsac" "2700"
"1208" "Vulpes_chama" "3459.9"
"1209" "Vulpes_pallida" "10148.9"
"1210" "Ommatophoca_rossii" "197959.395"
"1211" "Leptonychotes_weddellii" "410833.335"
"1212" "Hydrurga_leptonyx" "375671.075"
"1213" "Lobodon_carcinophaga" "238333.33"
"1214" "Mirounga_leonina" "1400000"
"1215" "Mirounga_angustirostris" "914528.74"
"1216" "Neomonachus_schauinslandi" "197758.36"
"1217" "Monachus_monachus" "284940.665"
"1218" "Neomonachus_tropicalis" "197758.36"
"1219" "Erignathus_barbatus" "283333.33"
"1220" "Pagophilus_groenlandicus" "141125"
"1221" "Histriophoca_fasciata" "68250"
"1222" "Phoca_vitulina" "94283.33"
"1223" "Phoca_largha" "93097.92"
"1224" "Pusa_hispida" "88070"
"1225" "Pusa_caspica" "86658.33"
"1226" "Pusa_sibirica" "89499.99"
"1227" "Halichoerus_grypus" "197570.01"
"1228" "Cystophora_cristata" "245448.405"
"1229" "Odobenus_rosmarus" "846498.125"
"1230" "Callorhinus_ursinus" "55464.82"
"1231" "Zalophus_wollebaeki" "158597.43"
"1232" "Zalophus_californianus" "158597.43"
"1233" "Eumetopias_jubatus" "382466.74"
"1234" "Arctocephalus_pusillus" "127551"
"1235" "Neophoca_cinerea" "189274.99"
"1236" "Phocarctos_hookeri" "273499.99"
"1237" "Arctocephalus_galapagoensis" "45000"
"1238" "Arctocephalus_australis" "67979.43"
"1239" "Arctocephalus_forsteri" "67979.43"
"1240" "Arctocephalus_tropicalis" "71111.275"
"1241" "Arctocephalus_gazella" "67979.43"
"1242" "Arctocephalus_townsendi" "101063.71"
"1243" "Arctocephalus_philippii" "94999.99"
"1244" "Mydaus_marchei" "2500"
"1245" "Mydaus_javanensis" "2500"
"1246" "Spilogale_putorius" "583.245"
"1247" "Spilogale_gracilis" "612"
"1248" "Mephitis_mephitis" "2949.995"
"1249" "Mephitis_macroura" "1031.38"
"1250" "Conepatus_leuconotus" "2645.29"
"1251" "Conepatus_semistriatus" "1598.67"
"1252" "Conepatus_chinga" "3400"
"1253" "Potos_flavus" "2420.905"
"1254" "Procyon_lotor" "5075"
"1255" "Procyon_cancrivorus" "6270"
"1256" "Bassariscus_sumichrasti" "906"
"1257" "Bassariscus_astutus" "1010.37"
"1258" "Nasua_nasua" "4000"
"1259" "Nasua_narica" "3750"
"1260" "Nasuella_meridensis" "1339.99"
"1261" "Nasuella_olivacea" "1339.99"
"1264" "Bassaricyon_gabbii" "1214.167"
"1265" "Bassaricyon_alleni" "1236.88"
"1266" "Taxidea_taxus" "8000"
"1267" "Martes_pennanti" "3175"
"1268" "Martes_flavigula" "2500"
"1269" "Martes_foina" "1700"
"1270" "Martes_melampus" "1000"
"1271" "Martes_zibellina" "1066.7"
"1272" "Martes_martes" "1299.995"
"1273" "Martes_americana" "892"
"1274" "Gulo_gulo" "12792.49"
"1275" "Eira_barbara" "4134.99"
"1276" "Melogale_personata" "1922.63"
"1277" "Melogale_moschata" "805.25"
"1279" "Mustela_strigidorsa" "1500"
"1280" "Mustela_nudipes" "569.42"
"1281" "Mustela_kathiah" "263.74"
"1282" "Mustela_erminea" "110.33"
"1283" "Mustela_itatsi" "530.85"
"1284" "Mustela_sibirica" "530.85"
"1285" "Mustela_lutreola" "566.44"
"1286" "Mustela_nigripes" "907.1"
"1287" "Mustela_putorius" "809"
"1288" "Mustela_eversmanii" "975.55"
"1289" "Mustela_nivalis" "49.75"
"1290" "Mustela_altaica" "175.62"
"1291" "Neovison_vison" "899.75"
"1292" "Mustela_frenata" "170.315"
"1293" "Mustela_africana" "536.98"
"1294" "Mustela_felipei" "211.3"
"1295" "Vormela_peregusna" "542.5"
"1296" "Poecilogale_albinucha" "282.83"
"1297" "Ictonyx_striatus" "811.02"
"1298" "Lyncodon_patagonicus" "1000"
"1299" "Galictis_vittata" "2325"
"1300" "Galictis_cuja" "1000"
"1301" "Pteronura_brasiliensis" "24000"
"1302" "Lontra_longicaudis" "7027.485"
"1303" "Lontra_provocax" "7499.98"
"1304" "Lontra_felina" "11195.36"
"1305" "Lontra_canadensis" "8087.42"
"1306" "Enhydra_lutris" "27410.93"
"1307" "Lutra_sumatrana" "5970.68"
"1308" "Lutra_lutra" "7809.345"
"1309" "Lutrogale_perspicillata" "8956.245"
"1310" "Aonyx_capensis" "21411.11"
"1311" "Mellivora_capensis" "10000"
"1312" "Meles_meles" "11884.03"
"1313" "Meles_leucurus" "11884.03"
"1314" "Meles_anakuma" "11884.03"
"1315" "Arctonyx_collaris" "10500"
"1316" "Ailurus_fulgens" "4747.54"
"1317" "Helarctos_malayanus" "46000"
"1318" "Melursus_ursinus" "99999.99"
"1319" "Ursus_thibetanus" "99714.19"
"1320" "Ursus_americanus" "132405"
"1321" "Ursus_maritimus" "371703.81"
"1322" "Ursus_arctos" "240500"
"1323" "Tremarctos_ornatus" "109250"
"1324" "Ailuropoda_melanoleuca" "117500"
"1325" "Nandinia_binotata" "2167.2"
"1326" "Hyaena_hyaena" "35070.51"
"1327" "Crocuta_crocuta" "63000"
"1328" "Proteles_cristata" "8119.695"
"1329" "Salanoia_concolor" "711.49"
"1330" "Mungotictis_decemlineata" "678.515"
"1331" "Galidictis_fasciata" "549.99"
"1332" "Galidia_elegans" "800"
"1333" "Fossa_fossana" "1853.98"
"1334" "Eupleres_goudotii" "2881.67"
"1335" "Cryptoprocta_ferox" "9500"
"1336" "Suricata_suricatta" "776"
"1337" "Mungos_mungo" "1331.5"
"1338" "Liberiictis_kuhni" "1825.47"
"1339" "Helogale_parvula" "274.8"
"1340" "Helogale_hirtula" "484.63"
"1341" "Crossarchus_alexandri" "1503.4"
"1342" "Crossarchus_ansorgei" "700"
