"Species" "Mass"
"151" "Suncus_malayanus" "2.4"
"152" "Suncus_stoliczkanus" "9.43"
"153" "Suncus_murinus" "45.87"
"154" "Suncus_montanus" "45.87"
"155" "Feroculus_feroculus" "35.99"
"156" "Suncus_dayi" "9.43"
"157" "Crocidura_russula" "10.6"
"158" "Crocidura_pachyura" "10.6"
"159" "Crocidura_parvipes" "8.157"
"160" "Crocidura_lamottei" "20.5"
"161" "Crocidura_mutesae" "15.8"
"162" "Crocidura_goliath" "87.92"
"163" "Crocidura_viaria" "15.3"
"164" "Crocidura_fulvastra" "10"
"165" "Crocidura_olivieri" "36.36"
"166" "Crocidura_hirta" "14.735"
"167" "Crocidura_flavescens" "32.21"
"168" "Crocidura_grassei" "8.17"
"169" "Crocidura_crenata" "6.52"
"170" "Crocidura_fuscomurina" "5.3"
"171" "Crocidura_cinderella" "8.157"
"172" "Crocidura_lusitania" "2.48"
"173" "Crocidura_jouvenetae" "9.645"
"174" "Crocidura_crossei" "9.5"
"175" "Paracrocidura_maxima" "12.18"
"176" "Crocidura_nanilla" "6.5"
"177" "Paracrocidura_schoutedeni" "12.18"
"178" "Crocidura_douceti" "4.3"
"179" "Crocidura_muricauda" "5.63"
"180" "Crocidura_nimbasilvanus" "87.92"
"181" "Crocidura_nimbae" "15.502"
"182" "Crocidura_caliginea" "8.157"
"183" "Crocidura_latona" "8.157"
"184" "Crocidura_roosevelti" "11"
"185" "Crocidura_voi" "8.157"
"186" "Crocidura_cyanea" "8.58"
"187" "Crocidura_dolichura" "5.63"
"188" "Crocidura_silacea" "10.25"
"189" "Crocidura_mariquensis" "10.025"
"190" "Crocidura_ludia" "5.39"
"191" "Crocidura_maurisca" "14"
"192" "Crocidura_littoralis" "17.305"
"193" "Crocidura_stenocephala" "17.305"
"194" "Crocidura_hildegardeae" "10.49"
"195" "Crocidura_wimmeri" "23.5"
"196" "Crocidura_grandiceps" "23"
"197" "Crocidura_poensis" "17.1"
"198" "Crocidura_buettikoferi" "10"
"199" "Crocidura_batesi" "16.49"
"200" "Crocidura_theresae" "19.3"
"201" "Crocidura_attila" "17.1"
"202" "Crocidura_telfordi" "13.6"
"203" "Crocidura_canariensis" "7.5"
"204" "Crocidura_tarfayensis" "6.085"
"205" "Crocidura_sicula" "10.84"
"206" "Crocidura_zimmermanni" "10.6"
"207" "Crocidura_thalia" "8.157"
"208" "Crocidura_glassi" "8.157"
"209" "Crocidura_baileyi" "17.2"
"210" "Crocidura_niobe" "16"
"211" "Crocidura_newmarki" "16"
"212" "Crocidura_monax" "16"
"213" "Crocidura_macmillani" "12.8"
"214" "Crocidura_luna" "12.55"
"215" "Crocidura_montis" "14.49"
"217" "Crocidura_mdumai" "16"
"218" "Crocidura_leucodon" "10.94"
"219" "Crocidura_obscurior" "3.49"
"221" "Crocidura_levicula" "1.77"
"222" "Crocidura_elongata" "17.8"
"223" "Crocidura_lea" "6.6"
"224" "Crocidura_rhoditis" "14"
"225" "Crocidura_musseri" "7.7"
"227" "Crocidura_watasei" "5.47"
"228" "Crocidura_monticola" "6.6"
"229" "Crocidura_tanakae" "14.5"
"231" "Crocidura_attenuata" "14.265"
"233" "Crocidura_rapax" "10.6"
"234" "Crocidura_lasiura" "14.8"
"235" "Crocidura_dsinezumi" "10.6"
"236" "Crocidura_wuchihensis" "5.47"
"237" "Crocidura_indochinensis" "5.47"
"238" "Crocidura_fuliginosa" "12"
"239" "Crocidura_paradoxura" "8.23"
"240" "Crocidura_ninoyi" "18"
"241" "Crocidura_negligens" "12"
"242" "Crocidura_malayana" "12"
"243" "Crocidura_lepidura" "12"
"244" "Crocidura_beccarii" "12"
"245" "Crocidura_brunnea" "12"
"246" "Crocidura_orientalis" "12"
"247" "Crocidura_beatus" "10.55"
"248" "Crocidura_grayi" "10.7"
"249" "Crocidura_panayensis" "8.157"
"250" "Crocidura_negrina" "11.33"
"251" "Crocidura_mindorus" "18"
"252" "Crocidura_palawanensis" "8.157"
"253" "Crocidura_foetida" "12"
"254" "Crocidura_nigripes" "13.2"
"255" "Crocidura_hikmiya" "7.7"
"256" "Crocidura_miya" "10.2"
"257" "Crocidura_horsfieldii" "5.47"
"258" "Diplomesodon_pulchellum" "10.5"
"259" "Crocidura_zarudnyi" "6.708"
"260" "Crocidura_shantungensis" "7.425"
"261" "Crocidura_aleksandrisi" "7.425"
"262" "Crocidura_suaveolens" "7.425"
"263" "Crocidura_sibirica" "10.94"
"264" "Crocidura_caspica" "9.9"
"265" "Congosorex_phillipsorum" "7.9"
"266" "Myosorex_babaulti" "9.13"
"267" "Myosorex_zinki" "16.1"
"268" "Myosorex_sclateri" "8.157"
"269" "Myosorex_varius" "11.68"
"270" "Myosorex_cafer" "12.3"
"271" "Myosorex_kihaulei" "9.5"
"272" "Myosorex_geata" "9.34"
"274" "Blarinella_wardi" "12.5"
"275" "Blarinella_quadraticauda" "12.5"
"276" "Blarinella_griselda" "12.5"
"277" "Cryptotis_parva" "6.2"
"278" "Cryptotis_magna" "7"
"279" "Cryptotis_phillipsii" "7"
"280" "Cryptotis_obscura" "7"
"281" "Cryptotis_nelsoni" "7"
"282" "Cryptotis_mexicana" "7"
"283" "Cryptotis_gracilis" "7"
"284" "Cryptotis_mayensis" "8.32"
"285" "Cryptotis_peregrina" "7"
"286" "Cryptotis_nigrescens" "8.32"
"287" "Cryptotis_goldmani" "6.865"
"288" "Cryptotis_alticola" "6.865"
"289" "Blarina_hylophaga" "18.56"
"290" "Blarina_carolinensis" "20.45"
"291" "Blarina_brevicauda" "20.7"
"292" "Sorex_arizonae" "2.7"
"293" "Sorex_trowbridgii" "4.73"
"294" "Sorex_saussurei" "4.65"
"295" "Sorex_tenellus" "3.8"
"296" "Sorex_nanus" "2.57"
"297" "Sorex_dispar" "4.923"
"298" "Sorex_fumeus" "8.015"
"299" "Sorex_sonomae" "6.35"
"300" "Sorex_neomexicanus" "5.99"
"301" "Sorex_palustris" "12.77"
"302" "Sorex_bendirii" "15.82"
"303" "Sorex_bairdi" "8.335"
"304" "Sorex_pacificus" "5.99"
"305" "Sorex_monticolus" "5.99"
"306" "Sorex_ornatus" "5.57"
"307" "Sorex_vagrans" "5.58"
"308" "Sorex_hoyi" "3.87"
"309" "Sorex_preblei" "3.14"
"310" "Sorex_leucogaster" "4.36"
"311" "Sorex_portenkoi" "5.2"
"312" "Sorex_camtschatica" "5.1"
"313" "Sorex_jacksoni" "5.2"
"314" "Sorex_pribilofensis" "3.5"
"315" "Sorex_ugyunak" "5.1"
"316" "Sorex_lyelli" "4.395"
"317" "Sorex_haydeni" "5"
"318" "Sorex_cinereus" "5.1"
"319" "Sorex_longirostris" "3.485"
"320" "Sorex_milleri" "4.07"
"321" "Sorex_emarginatus" "7"
"322" "Sorex_rohweri" "5.1"
"323" "Sorex_excelsus" "8.2"
