"Species" "Body_size_mm"
"1268" "Nanorana_rarica" "45.6"
"1269" "Nanorana_rostandi" "65"
"1270" "Nanorana_taihangnica" "103.4"
"1271" "Nanorana_unculuanus" "80"
"1272" "Nanorana_ventripunctata" "49.4"
"1273" "Nanorana_vicina" "77.3"
"1274" "Nanorana_yunnanensis" "99"
"1275" "Ombrana_sikimensis" "88"
"1276" "Quasipaa_acanthophora" "102.2"
"1277" "Quasipaa_boulengeri" "134"
"1278" "Quasipaa_courtoisi" "130"
"1279" "Quasipaa_exilispinosa" "64.9"
"1280" "Quasipaa_fasciculispina" "106"
"1281" "Quasipaa_jiulongensis" "91.1"
"1282" "Quasipaa_shini" "98.6"
"1283" "Quasipaa_spinosa" "101"
"1284" "Quasipaa_verrucospinosa" "146.5"
"1285" "Quasipaa_yei" "75"
"1286" "Sphaerotheca_breviceps" "63"
"1287" "Sphaerotheca_dobsonii" "60"
"1288" "Sphaerotheca_leucorhynchus" "30"
"1289" "Sphaerotheca_rolandae" "50"
"1290" "Ingerana_alpina" "20.2"
"1291" "Ingerana_borealis" "38"
"1292" "Ingerana_charlesdarwini" "26"
"1293" "Ingerana_liui" "38.5"
"1294" "Ingerana_mariae" "33.1"
"1295" "Ingerana_medogensis" "21"
"1296" "Ingerana_reticulata" "21"
"1297" "Ingerana_sariba" "36"
"1298" "Ingerana_tenasserimensis" "17.4"
"1299" "Ingerana_xizangensis" "21.3"
"1300" "Occidozyga_baluensis" "35"
"1301" "Occidozyga_celebensis" "33"
"1302" "Occidozyga_laevis" "48"
"1303" "Occidozyga_lima" "40"
"1304" "Occidozyga_magnapustulosa" "16"
"1305" "Occidozyga_martensii" "33"
"1306" "Occidozyga_semipalmata" "40.9"
"1307" "Occidozyga_sumatrana" "45"
"1308" "Diasporus_anthrax" "18.7"
"1309" "Diasporus_diastema" "25"
"1310" "Diasporus_gularis" "24.8"
"1311" "Diasporus_hylaeformis" "26"
"1312" "Diasporus_quidditus" "16.9"
"1313" "Diasporus_tigrillo" "20"
"1314" "Diasporus_tinker" "21.8"
"1315" "Diasporus_ventrimaculatus" "24.7"
"1316" "Diasporus_vocator" "20"
"1317" "Eleutherodactylus_abbotti" "25"
"1318" "Eleutherodactylus_acmonis" "25"
"1319" "Eleutherodactylus_adelus" "15"
"1320" "Eleutherodactylus_albipes" "33"
"1321" "Eleutherodactylus_albolabris" "23.8"
"1322" "Eleutherodactylus_alcoae" "45"
"1323" "Eleutherodactylus_alticola" "26"
"1324" "Eleutherodactylus_amadeus" "25"
"1325" "Eleutherodactylus_amplinympha" "50"
"1326" "Eleutherodactylus_andrewsi" "26"
"1327" "Eleutherodactylus_angustidigitorum" "25"
"1328" "Eleutherodactylus_antillensis" "33"
"1329" "Eleutherodactylus_aporostegus" "48"
"1330" "Eleutherodactylus_apostates" "43"
"1331" "Eleutherodactylus_armstrongi" "43"
"1332" "Eleutherodactylus_atkinsi" "43"
"1333" "Eleutherodactylus_audanti" "25"
"1334" "Eleutherodactylus_auriculatoides" "33"
"1335" "Eleutherodactylus_auriculatus" "24"
"1336" "Eleutherodactylus_bakeri" "35"
"1337" "Eleutherodactylus_barlagnei" "33"
"1338" "Eleutherodactylus_bartonsmithi" "26"
"1339" "Eleutherodactylus_blairhedgesi" "31.4"
"1340" "Eleutherodactylus_bothroboans" "48.8"
"1341" "Eleutherodactylus_bresslerae" "46"
"1342" "Eleutherodactylus_brevirostris" "28"
"1343" "Eleutherodactylus_brittoni" "20"
"1344" "Eleutherodactylus_caribe" "20"
"1345" "Eleutherodactylus_casparii" "21"
"1346" "Eleutherodactylus_cavernicola" "38"
"1347" "Eleutherodactylus_chlorophenax" "77"
"1348" "Eleutherodactylus_cochranae" "23"
"1349" "Eleutherodactylus_cooki" "53"
"1350" "Eleutherodactylus_coqui" "52"
"1351" "Eleutherodactylus_corona" "19.1"
"1352" "Eleutherodactylus_counouspeus" "57"
"1353" "Eleutherodactylus_cubanus" "14"
"1354" "Eleutherodactylus_cundalli" "46.5"
"1355" "Eleutherodactylus_cuneatus" "60.3"
"1356" "Eleutherodactylus_cystignathoides" "25.5"
"1357" "Eleutherodactylus_darlingtoni" "41"
"1358" "Eleutherodactylus_dennisi" "32"
"1359" "Eleutherodactylus_dilatus" "30"
"1360" "Eleutherodactylus_dimidiatus" "58"
"1361" "Eleutherodactylus_dolomedes" "21.6"
"1362" "Eleutherodactylus_eileenae" "33"
"1363" "Eleutherodactylus_emiliae" "27"
"1364" "Eleutherodactylus_eneidae" "30"
"1365" "Eleutherodactylus_etheridgei" "24"
"1366" "Eleutherodactylus_eunaster" "25"
"1367" "Eleutherodactylus_flavescens" "41"
"1368" "Eleutherodactylus_fowleri" "33"
"1369" "Eleutherodactylus_furcyensis" "37"
"1370" "Eleutherodactylus_fuscus" "37"
"1371" "Eleutherodactylus_glamyrus" "24"
"1372" "Eleutherodactylus_glandulifer" "56"
"1373" "Eleutherodactylus_glanduliferoides" "16"
"1374" "Eleutherodactylus_glaphycompus" "34"
"1375" "Eleutherodactylus_glaucoreius" "38"
"1376" "Eleutherodactylus_goini" "37"
"1377" "Eleutherodactylus_gossei" "34"
"1378" "Eleutherodactylus_grabhami" "29"
"1379" "Eleutherodactylus_grahami" "25"
"1380" "Eleutherodactylus_greyi" "64"
"1381" "Eleutherodactylus_griphus" "18.4"
"1382" "Eleutherodactylus_gryllus" "17.9"
"1383" "Eleutherodactylus_guanahacabibes" "23"
"1384" "Eleutherodactylus_guantanamera" "37.3"
"1385" "Eleutherodactylus_gundlachi" "26"
"1386" "Eleutherodactylus_guttilatus" "32"
"1387" "Eleutherodactylus_haitianus" "22"
"1388" "Eleutherodactylus_hedricki" "35"
"1389" "Eleutherodactylus_heminota" "30"
"1390" "Eleutherodactylus_hypostenor" "55"
"1391" "Eleutherodactylus_iberia" "11"
"1392" "Eleutherodactylus_inoptatus" "88"
"1393" "Eleutherodactylus_intermedius" "20"
"1394" "Eleutherodactylus_interorbitalis" "27"
"1395" "Eleutherodactylus_ionthus" "40"
"1396" "Eleutherodactylus_jamaicensis" "30"
"1397" "Eleutherodactylus_jasperi" "25"
"1398" "Eleutherodactylus_jaumei" "12.7"
"1399" "Eleutherodactylus_johnstonei" "35"
"1400" "Eleutherodactylus_juanariveroi" "17.3"
"1401" "Eleutherodactylus_jugans" "33"
"1402" "Eleutherodactylus_junori" "27"
"1403" "Eleutherodactylus_karlschmidti" "80"
"1404" "Eleutherodactylus_klinikowskii" "27"
"1405" "Eleutherodactylus_lamprotes" "30"
"1406" "Eleutherodactylus_leberi" "33"
"1407" "Eleutherodactylus_lentus" "38"
"1408" "Eleutherodactylus_leoncei" "42"
"1409" "Eleutherodactylus_leprus" "29"
"1410" "Eleutherodactylus_limbatus" "17"
"1411" "Eleutherodactylus_limbensis" "44"
"1412" "Eleutherodactylus_locustus" "20"
"1413" "Eleutherodactylus_longipes" "40"
"1414" "Eleutherodactylus_lucioi" "24"
"1415" "Eleutherodactylus_luteolus" "25"
"1416" "Eleutherodactylus_maestrensis" "32.4"
"1417" "Eleutherodactylus_mariposa" "36"
"1418" "Eleutherodactylus_marnockii" "39.5"
"1419" "Eleutherodactylus_martinicensis" "110"
"1420" "Eleutherodactylus_maurus" "27"
"1421" "Eleutherodactylus_melacara" "35.6"
"1422" "Eleutherodactylus_melatrigonum" "20.3"
"1423" "Eleutherodactylus_michaelschmidi" "48"
"1424" "Eleutherodactylus_minutus" "19"
"1425" "Eleutherodactylus_monensis" "49.4"
"1426" "Eleutherodactylus_montanus" "44"
"1427" "Eleutherodactylus_nitidus" "35"
"1428" "Eleutherodactylus_nivicolimae" "23.5"
"1429" "Eleutherodactylus_nortoni" "66"
"1430" "Eleutherodactylus_notidodes" "22"
"1431" "Eleutherodactylus_nubicola" "49"
"1432" "Eleutherodactylus_olibrus" "28"
"1433" "Eleutherodactylus_orcutti" "39"
"1434" "Eleutherodactylus_orientalis" "13.3"
"1435" "Eleutherodactylus_oxyrhyncus" "55"
"1436" "Eleutherodactylus_pallidus" "19"
"1437" "Eleutherodactylus_pantoni" "44"
"1438" "Eleutherodactylus_parabates" "24"
"1439" "Eleutherodactylus_parapelates" "52"
"1440" "Eleutherodactylus_patriciae" "35"
"1441" "Eleutherodactylus_paulsoni" "26"
"1442" "Eleutherodactylus_pentasyringos" "39"
"1443" "Eleutherodactylus_pezopetrus" "49"
"1444" "Eleutherodactylus_pictissimus" "43"
"1445" "Eleutherodactylus_pinarensis" "62"
"1446" "Eleutherodactylus_pinchoni" "20"
"1447" "Eleutherodactylus_pipilans" "31"
"1448" "Eleutherodactylus_pituinus" "29"
"1449" "Eleutherodactylus_planirostris" "36"
"1450" "Eleutherodactylus_poolei" "34"
"1451" "Eleutherodactylus_portoricensis" "42"
"1452" "Eleutherodactylus_principalis" "23"
"1453" "Eleutherodactylus_probolaeus" "30"
"1454" "Eleutherodactylus_rhodesi" "30"
"1455" "Eleutherodactylus_richmondi" "50"
"1456" "Eleutherodactylus_ricordii" "40"
"1457" "Eleutherodactylus_riparius" "42"
"1458" "Eleutherodactylus_rivularis" "31"
"1459" "Eleutherodactylus_rogersi" "31.8"
"1460" "Eleutherodactylus_ronaldi" "28"
"1461" "Eleutherodactylus_rubrimaculatus" "24"
"1462" "Eleutherodactylus_rucillensis" "48"
"1463" "Eleutherodactylus_rufescens" "24.8"
"1464" "Eleutherodactylus_rufifemoralis" "19"
"1465" "Eleutherodactylus_ruthae" "58"
"1466" "Eleutherodactylus_saxatilis" "32"
"1467" "Eleutherodactylus_schmidti" "58"
"1468" "Eleutherodactylus_schwartzi" "35"
"1469" "Eleutherodactylus_sciagraphus" "21"
"1470" "Eleutherodactylus_semipalmatus" "28"
"1471" "Eleutherodactylus_simulans" "24"
"1472" "Eleutherodactylus_sisyphodemus" "18"
"1473" "Eleutherodactylus_sommeri" "41"
"1474" "Eleutherodactylus_staurometopon" "28"
"1475" "Eleutherodactylus_symingtoni" "69"
"1476" "Eleutherodactylus_syristes" "27.7"
"1477" "Eleutherodactylus_tetajulia" "14"
"1478" "Eleutherodactylus_thomasi" "43"
"1479" "Eleutherodactylus_thorectes" "15"
"1480" "Eleutherodactylus_toa" "28.2"
"1481" "Eleutherodactylus_tonyi" "33.7"
"1482" "Eleutherodactylus_turquinensis" "54"
"1483" "Eleutherodactylus_tychathrous" "57.8"
"1484" "Eleutherodactylus_unicolor" "17"
"1485" "Eleutherodactylus_varians" "40"
"1486" "Eleutherodactylus_varleyi" "18.5"
"1487" "Eleutherodactylus_ventrilineatus" "31"
"1488" "Eleutherodactylus_verrucipes" "26"
"1489" "Eleutherodactylus_warreni" "33"
"1490" "Eleutherodactylus_weinlandi" "40"
"1491" "Eleutherodactylus_wetmorei" "41"
"1492" "Eleutherodactylus_wightmanae" "23"
"1493" "Eleutherodactylus_zeus" "83"
"1494" "Eleutherodactylus_zugi" "20"
"1495" "Adelophryne_adiastola" "17"
"1496" "Adelophryne_baturitensis" "16.3"
"1497" "Adelophryne_gutturosa" "16"
"1498" "Adelophryne_maranguapensis" "17.4"
"1499" "Adelophryne_pachydactyla" "11.1"
"1500" "Adelophryne_patamona" "23"
"1501" "Phyzelaphryne_miriamae" "20"
"1502" "Hadromophryne_natalensis" "65"
"1503" "Heleophryne_hewitti" "50"
"1504" "Heleophryne_orientalis" "46"
"1505" "Heleophryne_purcelli" "56"
"1506" "Heleophryne_regis" "49"
"1507" "Heleophryne_rosei" "63"
"1508" "Cryptobatrachus_boulengeri" "53.8"
"1509" "Cryptobatrachus_conditus" "48.6"
"1510" "Cryptobatrachus_fuhrmanni" "73"
"1511" "Cryptobatrachus_pedroruizi" "72.7"
"1512" "Cryptobatrachus_remotus" "75"
"1513" "Cryptobatrachus_ruthveni" "63.7"
"1514" "Fritziana_fissilis" "38.7"
"1515" "Fritziana_goeldii" "34.8"
"1516" "Fritziana_ohausi" "34.7"
"1517" "Gastrotheca_abdita" "46.2"
"1518" "Gastrotheca_albolineata" "60"
"1519" "Gastrotheca_andaquiensis" "77"
"1520" "Gastrotheca_angustifrons" "91"
"1521" "Gastrotheca_antomia" "58.2"
"1522" "Gastrotheca_antoniiochoai" "32.5"
"1523" "Gastrotheca_argenteovirens" "65"
"1524" "Gastrotheca_atympana" "46.7"
"1525" "Gastrotheca_aureomaculata" "76"
"1526" "Gastrotheca_bufona" "55"
"1527" "Gastrotheca_carinaceps" "79.7"
"1528" "Gastrotheca_christiani" "40"
"1529" "Gastrotheca_cornuta" "81.1"
"1530" "Gastrotheca_dendronastes" "79.5"
"1531" "Gastrotheca_dunni" "56"
"1532" "Gastrotheca_ernestoi" "75"
"1533" "Gastrotheca_espeletia" "49"
"1534" "Gastrotheca_excubitor" "47.3"
"1535" "Gastrotheca_fissipes" "68"
"1536" "Gastrotheca_flamma" "58.3"
"1537" "Gastrotheca_fulvorufa" "77.2"
"1538" "Gastrotheca_galeata" "59.4"
"1539" "Gastrotheca_gracilis" "48"
"1540" "Gastrotheca_griswoldi" "44"
"1541" "Gastrotheca_guentheri" "82"
"1542" "Gastrotheca_helenae" "66"
"1543" "Gastrotheca_lateonota" "63.7"
"1544" "Gastrotheca_litonedis" "59"
"1545" "Gastrotheca_longipes" "84.7"
"1546" "Gastrotheca_marsupiata" "49.6"
"1547" "Gastrotheca_microdiscus" "49"
"1548" "Gastrotheca_monticola" "77"
"1549" "Gastrotheca_nicefori" "82"
"1550" "Gastrotheca_ochoai" "37.9"
"1551" "Gastrotheca_orophylax" "74"
"1552" "Gastrotheca_ossilaginis" "53.3"
"1553" "Gastrotheca_ovifera" "50"
"1554" "Gastrotheca_pacchamama" "38"
"1555" "Gastrotheca_peruana" "46.8"
"1556" "Gastrotheca_phalarosa" "43.3"
"1557" "Gastrotheca_piperata" "46.8"
"1558" "Gastrotheca_plumbea" "73"
"1559" "Gastrotheca_pseustes" "62"
"1560" "Gastrotheca_psychrophila" "63"
"1561" "Gastrotheca_pulchra" "34.2"
"1562" "Gastrotheca_rebeccae" "45.7"
"1563" "Gastrotheca_riobambae" "66"
"1564" "Gastrotheca_ruizi" "65"
"1565" "Gastrotheca_splendens" "51.3"
"1566" "Gastrotheca_stictopleura" "68.3"
"1567" "Gastrotheca_testudinea" "80"
"1568" "Gastrotheca_trachyceps" "67.9"
"1569" "Gastrotheca_walkeri" "80"
"1570" "Gastrotheca_weinlandii" "86"
"1571" "Gastrotheca_williamsoni" "53"
"1572" "Gastrotheca_zeugocystis" "37.5"
"1573" "Hemiphractus_bubalus" "66.3"
"1574" "Hemiphractus_fasciatus" "68.7"
"1575" "Hemiphractus_helioi" "57.9"
"1576" "Hemiphractus_johnsoni" "77.2"
"1577" "Hemiphractus_proboscideus" "67"
"1578" "Hemiphractus_scutatus" "81"
"1579" "Stefania_ackawaio" "66"
"1580" "Stefania_ayangannae" "50"
"1581" "Stefania_breweri" "49.6"
"1582" "Stefania_coxi" "70"
"1583" "Stefania_evansi" "97.5"
"1584" "Stefania_ginesi" "71.8"
"1585" "Stefania_goini" "93"
"1586" "Stefania_marahuaquensis" "36"
"1587" "Stefania_neblinae" "45"
"1588" "Stefania_oculosa" "55.3"
"1589" "Stefania_riae" "59.5"
"1590" "Stefania_roraimae" "68"
"1591" "Stefania_satelles" "59.5"
"1592" "Stefania_scalae" "63.1"
"1593" "Stefania_schuberti" "76"
"1594" "Stefania_tamacuarina" "50"
"1595" "Stefania_woodleyi" "61"
"1596" "Hemisus_barotseensis" "55.01"
"1597" "Hemisus_brachydactylus" "49"
"1598" "Hemisus_guineensis" "53"
"1599" "Hemisus_guttatus" "80"
"1600" "Hemisus_marmoratus" "55"
"1601" "Hemisus_microscaphus" "45"
"1602" "Hemisus_olivaceus" "70"
"1603" "Hemisus_perreti" "28.5"
"1604" "Hemisus_wittei" "55"
"1605" "Acris_blanchardi" "38"
"1606" "Acris_crepitans" "38"
"1607" "Acris_gryllus" "32"
"1608" "Anotheca_spinosa" "80"
"1609" "Aparasphenodon_arapapa" "60"
"1610" "Aparasphenodon_bokermanni" "81"
"1611" "Aparasphenodon_brunoi" "81"
"1612" "Aparasphenodon_venezolanus" "58"
"1613" "Aplastodiscus_albofrenatus" "41.6"
"1614" "Aplastodiscus_albosignatus" "52"
"1615" "Aplastodiscus_arildae" "41.6"
"1616" "Aplastodiscus_callipygius" "51"
"1617" "Aplastodiscus_cavicola" "37.3"
"1618" "Aplastodiscus_cochranae" "50.3"
"1619" "Aplastodiscus_ehrhardti" "39.1"
"1620" "Aplastodiscus_eugenioi" "39"
"1621" "Aplastodiscus_flumineus" "50.4"
"1622" "Aplastodiscus_ibirapitanga" "43.4"
"1623" "Aplastodiscus_leucopygius" "45.1"
"1624" "Aplastodiscus_musicus" "50"
"1625" "Aplastodiscus_perviridis" "46.1"
"1626" "Aplastodiscus_sibilatus" "33.6"
"1627" "Aplastodiscus_weygoldti" "41.7"
"1628" "Argenteohyla_siemersi" "83"
"1629" "Bokermannohyla_ahenea" "56.7"
"1630" "Bokermannohyla_alvarengai" "140.9"
"1631" "Bokermannohyla_astartea" "45"
"1632" "Bokermannohyla_capra" "64.1"
"1633" "Bokermannohyla_caramaschii" "70"
"1634" "Bokermannohyla_carvalhoi" "67"
"1635" "Bokermannohyla_circumdata" "71"
"1636" "Bokermannohyla_claresignata" "61"
"1637" "Bokermannohyla_clepsydra" "39"
"1638" "Bokermannohyla_diamantina" "51.7"
"1639" "Bokermannohyla_feioi" "40.3"
"1640" "Bokermannohyla_gouveai" "69"
"1641" "Bokermannohyla_hylax" "64"
"1642" "Bokermannohyla_ibitiguara" "48.4"
"1643" "Bokermannohyla_ibitipoca" "42.7"
"1644" "Bokermannohyla_itapoty" "50.21"
"1645" "Bokermannohyla_juiju" "54.4"
"1646" "Bokermannohyla_langei" "66"
"1647" "Bokermannohyla_lucianae" "49.2"
"1648" "Bokermannohyla_luctuosa" "61.9"
"1649" "Bokermannohyla_martinsi" "64"
"1650" "Bokermannohyla_nanuzae" "44"
"1651" "Bokermannohyla_oxente" "47.15"
"1652" "Bokermannohyla_pseudopseudis" "64.6"
"1653" "Bokermannohyla_ravida" "47.6"
"1654" "Bokermannohyla_saxicola" "55"
"1655" "Bokermannohyla_sazimai" "38.2"
"1656" "Bokermannohyla_vulcaniae" "55.4"
"1657" "Bromeliohyla_bromeliacia" "35.7"
"1658" "Bromeliohyla_dendroscarta" "34.6"
"1659" "Charadrahyla_altipotens" "80.6"
"1660" "Charadrahyla_chaneque" "79.3"
"1661" "Charadrahyla_nephila" "81"
"1662" "Charadrahyla_taeniopus" "70"
"1663" "Charadrahyla_tecuani" "57.8"
"1664" "Charadrahyla_trux" "81"
"1665" "Corythomantis_greeningi" "86.5"
"1666" "Dendropsophus_acreanus" "41.7"
"1667" "Dendropsophus_amicorum" "22.6"
"1668" "Dendropsophus_anataliasiasi" "23"
"1669" "Dendropsophus_anceps" "42"
"1670" "Dendropsophus_aperomeus" "25"
"1671" "Dendropsophus_araguaya" "20.5"
"1672" "Dendropsophus_battersbyi" "33.01"
"1673" "Dendropsophus_berthalutzae" "24"
"1674" "Dendropsophus_bifurcus" "35"
"1675" "Dendropsophus_bipunctatus" "30"
"1676" "Dendropsophus_bogerti" "33.5"
"1677" "Dendropsophus_bokermanni" "28"
"1678" "Dendropsophus_branneri" "25"
"1679" "Dendropsophus_brevifrons" "25"
"1680" "Dendropsophus_cachimbo" "24.2"
"1681" "Dendropsophus_carnifex" "32.5"
"1682" "Dendropsophus_cerradensis" "19.3"
"1683" "Dendropsophus_coffeus" "26"
"1684" "Dendropsophus_columbianus" "35.4"
"1685" "Dendropsophus_cruzi" "25"
"1686" "Dendropsophus_decipiens" "21"
"1687" "Dendropsophus_delarivai" "26.6"
"1688" "Dendropsophus_dutrai" "38.1"
"1689" "Dendropsophus_ebraccatus" "37"
"1690" "Dendropsophus_elegans" "35.7"
"1691" "Dendropsophus_elianeae" "26"
"1692" "Dendropsophus_garagoensis" "34"
"1693" "Dendropsophus_gaucheri" "19.2"
"1694" "Dendropsophus_giesleri" "35.9"
"1695" "Dendropsophus_grandisonae" "20.8"
"1696" "Dendropsophus_gryllatus" "30.6"
"1697" "Dendropsophus_haddadi" "24"
"1698" "Dendropsophus_haraldschultzi" "25"
"1699" "Dendropsophus_jimi" "22.3"
"1700" "Dendropsophus_joannae" "20.6"
"1701" "Dendropsophus_juliani" "21.2"
"1702" "Dendropsophus_koechlini" "29"
"1703" "Dendropsophus_labialis" "61"
"1704" "Dendropsophus_leali" "28"
"1705" "Dendropsophus_leucophyllatus" "50"
"1706" "Dendropsophus_limai" "19"
"1707" "Dendropsophus_luteoocellatus" "31"
"1708" "Dendropsophus_marmoratus" "56"
"1709" "Dendropsophus_mathiassoni" "21.4"
"1710" "Dendropsophus_melanargyreus" "50"
"1711" "Dendropsophus_meridensis" "50"
"1712" "Dendropsophus_meridianus" "24"
"1713" "Dendropsophus_microcephalus" "32"
"1714" "Dendropsophus_microps" "33"
"1715" "Dendropsophus_minusculus" "24"
"1716" "Dendropsophus_minutus" "27.6"
"1717" "Dendropsophus_miyatai" "25"
"1718" "Dendropsophus_nahdereri" "50.5"
"1719" "Dendropsophus_nanus" "23.8"
"1720" "Dendropsophus_novaisi" "36"
"1721" "Dendropsophus_oliveirai" "20"
"1722" "Dendropsophus_padreluna" "34.4"
"1723" "Dendropsophus_parviceps" "27"
"1724" "Dendropsophus_pauiniensis" "24"
"1725" "Dendropsophus_pelidna" "38.5"
"1726" "Dendropsophus_phlebodes" "28"
"1727" "Dendropsophus_praestans" "31.5"
"1728" "Dendropsophus_pseudomeridianus" "22.7"
"1729" "Dendropsophus_reichlei" "21.5"
"1730" "Dendropsophus_rhea" "20.7"
"1731" "Dendropsophus_rhodopeplus" "29"
"1732" "Dendropsophus_riveroi" "23"
"1733" "Dendropsophus_robertmertensi" "28.1"
"1734" "Dendropsophus_rossalleni" "23"
"1735" "Dendropsophus_rubicundulus" "25.4"
"1736" "Dendropsophus_ruschii" "29"
"1737" "Dendropsophus_salli" "37"
"1738" "Dendropsophus_sanborni" "21.1"
"1739" "Dendropsophus_sarayacuensis" "44"
"1740" "Dendropsophus_sartori" "28.6"
"1741" "Dendropsophus_schubarti" "25.5"
"1742" "Dendropsophus_seniculus" "43"
"1743" "Dendropsophus_soaresi" "33"
"1744" "Dendropsophus_stingi" "26.2"
"1745" "Dendropsophus_studerae" "29.6"
"1746" "Dendropsophus_subocularis" "26.1"
"1747" "Dendropsophus_timbeba" "26"
"1748" "Dendropsophus_tintinnabulum" "20"
"1749" "Dendropsophus_triangulum" "42"
"1750" "Dendropsophus_tritaeniatus" "22"
"1751" "Dendropsophus_virolinensis" "34"
"1752" "Dendropsophus_walfordi" "20"
"1753" "Dendropsophus_werneri" "23"
"1754" "Dendropsophus_xapuriensis" "18.4"
"1755" "Dendropsophus_yaracuyanus" "36.6"
"1756" "Diaglena_spatulata" "113"
"1757" "Duellmanohyla_chamulae" "31.8"
"1758" "Duellmanohyla_ignicolor" "32.8"
"1759" "Duellmanohyla_lythrodes" "36"
"1760" "Duellmanohyla_rufioculis" "40"
"1761" "Duellmanohyla_salvavida" "37"
"1762" "Duellmanohyla_schmidtorum" "38.3"
"1763" "Duellmanohyla_soralia" "37.7"
"1764" "Duellmanohyla_uranochroa" "40"
"1765" "Ecnomiohyla_echinata" "60.2"
"1766" "Ecnomiohyla_fimbrimembra" "92"
"1767" "Ecnomiohyla_miliaria" "113"
"1768" "Ecnomiohyla_minera" "83.1"
"1769" "Ecnomiohyla_miotympanum" "51.6"
"1770" "Ecnomiohyla_phantasmagoria" "109.7"
"1771" "Ecnomiohyla_rabborum" "100"
"1772" "Ecnomiohyla_salvaje" "86"
"1773" "Ecnomiohyla_sukia" "68.7"
"1774" "Ecnomiohyla_thysanota" "95.7"
"1775" "Ecnomiohyla_tuberculosa" "90"
"1776" "Ecnomiohyla_valancifer" "85"
"1777" "Exerodonta_abdivita" "27.5"
"1778" "Exerodonta_bivocata" "29.9"
"1779" "Exerodonta_catracha" "32.1"
"1780" "Exerodonta_chimalapa" "26.6"
"1781" "Exerodonta_juanitae" "39.8"
"1782" "Exerodonta_melanomma" "31.5"
"1783" "Exerodonta_perkinsi" "37.5"
"1784" "Exerodonta_pinorum" "34.9"
"1785" "Exerodonta_smaragdina" "28.9"
"1786" "Exerodonta_sumichrasti" "33.1"
"1787" "Exerodonta_xera" "35"
"1788" "Hyla_andersonii" "51"
"1789" "Hyla_annectans" "42.8"
"1790" "Hyla_arborea" "50"
"1791" "Hyla_arenicolor" "57.1"
"1792" "Hyla_avivoca" "52"
"1793" "Hyla_bocourti" "41"
"1794" "Hyla_chinensis" "34.2"
"1795" "Hyla_chrysoscelis" "62"
"1796" "Hyla_cinerea" "66"
"1797" "Hyla_euphorbiacea" "43.4"
"1798" "Hyla_eximia" "56"
"1799" "Hyla_felixarabica" "43.5"
"1800" "Hyla_femoralis" "44"
"1801" "Hyla_gratiosa" "70"
"1802" "Hyla_heinzsteinitzi" "45.7"
"1803" "Hyla_intermedia" "43.93"
"1804" "Hyla_japonica" "41"
"1805" "Hyla_meridionalis" "65"
"1806" "Hyla_orientalis" "53"
"1807" "Hyla_plicata" "47.4"
"1808" "Hyla_sanchiangensis" "34"
"1809" "Hyla_sarda" "50"
"1810" "Hyla_savignyi" "49"
"1811" "Hyla_squirella" "45"
"1812" "Hyla_suweonensis" "28"
"1813" "Hyla_tsinlingensis" "44.1"
"1814" "Hyla_versicolor" "60"
"1815" "Hyla_walkeri" "37.8"
"1816" "Hyla_wrightorum" "48"
"1817" "Hyloscirtus_albopunctulatus" "41.5"
"1818" "Hyloscirtus_alytolylax" "44"
"1819" "Hyloscirtus_armatus" "74.5"
"1820" "Hyloscirtus_bogotensis" "57.8"
"1821" "Hyloscirtus_callipeza" "33"
"1822" "Hyloscirtus_caucanus" "64.4"
"1823" "Hyloscirtus_charazani" "70.7"
"1824" "Hyloscirtus_chlorosteus" "39.7"
"1825" "Hyloscirtus_colymba" "43.3"
"1826" "Hyloscirtus_denticulentus" "52.2"
"1827" "Hyloscirtus_estevesi" "22"
"1828" "Hyloscirtus_jahni" "34.5"
"1829" "Hyloscirtus_larinopygion" "68.4"
"1830" "Hyloscirtus_lascinius" "47"
"1831" "Hyloscirtus_lindae" "77"
"1832" "Hyloscirtus_lynchi" "48.4"
"1833" "Hyloscirtus_pacha" "66.5"
"1834" "Hyloscirtus_palmeri" "50"
"1835" "Hyloscirtus_pantostictus" "64.1"
"1836" "Hyloscirtus_phyllognathus" "39.3"
"1837" "Hyloscirtus_piceigularis" "41"
"1838" "Hyloscirtus_platydactylus" "42.3"
"1839" "Hyloscirtus_psarolaimus" "63.4"
"1840" "Hyloscirtus_ptychodactylus" "77.3"
"1841" "Hyloscirtus_sarampiona" "68.8"
"1842" "Hyloscirtus_simmonsi" "44.3"
"1843" "Hyloscirtus_staufferorum" "59.7"
"1844" "Hyloscirtus_tapichalaca" "66.5"
"1845" "Hyloscirtus_tigrinus" "63.2"
"1846" "Hyloscirtus_torrenticola" "35.5"
"1847" "Hypsiboas_aguilari" "50"
"1848" "Hypsiboas_albomarginatus" "62"
"1849" "Hypsiboas_alboniger" "64.7"
"1850" "Hypsiboas_albopunctatus" "75"
"1851" "Hypsiboas_alemani" "30.5"
"1852" "Hypsiboas_atlanticus" "43.5"
"1853" "Hypsiboas_balzani" "52.3"
"1854" "Hypsiboas_beckeri" "34"
"1855" "Hypsiboas_benitezi" "51.4"
"1856" "Hypsiboas_bischoffi" "69"
"1857" "Hypsiboas_boans" "132"
"1858" "Hypsiboas_botumirim" "33.6"
"1859" "Hypsiboas_buriti" "32"
"1860" "Hypsiboas_caingua" "38"
"1861" "Hypsiboas_caipora" "44.3"
