"Species" "Body_size_mm"
"146" "Leptodactylodon_ventrimarmoratus" "40"
"147" "Nyctibates_corrugatus" "53"
"148" "Scotobleps_gabonicus" "70"
"149" "Trichobatrachus_robustus" "130"
"150" "Leptopelis_anchietae" "50"
"151" "Leptopelis_argenteus" "52"
"152" "Leptopelis_aubryi" "58"
"153" "Leptopelis_aubryioides" "57"
"154" "Leptopelis_barbouri" "58"
"155" "Leptopelis_bequaerti" "50"
"156" "Leptopelis_bocagii" "58"
"157" "Leptopelis_boulengeri" "81"
"158" "Leptopelis_brevipes" "63"
"159" "Leptopelis_brevirostris" "64"
"160" "Leptopelis_bufonides" "41"
"161" "Leptopelis_calcaratus" "57"
"162" "Leptopelis_christyi" "62"
"163" "Leptopelis_concolor" "40"
"164" "Leptopelis_crystallinoron" "56.9"
"165" "Leptopelis_cynnamomeus" "40"
"166" "Leptopelis_fenestratus" "48"
"167" "Leptopelis_fiziensis" "38"
"168" "Leptopelis_flavomaculatus" "70"
"169" "Leptopelis_gramineus" "63"
"170" "Leptopelis_karissimbensis" "47.1"
"171" "Leptopelis_kivuensis" "53.5"
"172" "Leptopelis_macrotis" "84"
"173" "Leptopelis_millsoni" "87"
"174" "Leptopelis_modestus" "41"
"175" "Leptopelis_mossambicus" "63"
"176" "Leptopelis_natalensis" "65"
"177" "Leptopelis_nordequatorialis" "54"
"178" "Leptopelis_notatus" "74"
"179" "Leptopelis_occidentalis" "71"
"180" "Leptopelis_ocellatus" "58"
"181" "Leptopelis_oryi" "58"
"182" "Leptopelis_palmatus" "110"
"183" "Leptopelis_parbocagii" "64"
"184" "Leptopelis_parkeri" "56"
"185" "Leptopelis_parvus" "48"
"186" "Leptopelis_ragazzii" "50"
"187" "Leptopelis_rufus" "87"
"188" "Leptopelis_spiritusnoctis" "52"
"189" "Leptopelis_susanae" "53"
"190" "Leptopelis_uluguruensis" "48"
"191" "Leptopelis_vannutellii" "46"
"192" "Leptopelis_vermiculatus" "85"
"193" "Leptopelis_viridis" "50"
"194" "Leptopelis_xenodactylus" "55"
"195" "Leptopelis_yaldeni" "43"
"196" "Barbourula_busuangensis" "85.3"
"197" "Barbourula_kalimantanensis" "68"
"198" "Bombina_bombina" "50"
"199" "Bombina_lichuanensis" "63.4"
"200" "Bombina_maxima" "77"
"201" "Bombina_orientalis" "47"
"202" "Bombina_pachypus" "45.75"
"203" "Bombina_variegata" "50"
"204" "Brachycephalus_alipioi" "16.2"
"205" "Brachycephalus_didactylus" "10.7"
"206" "Brachycephalus_ephippium" "19.7"
"207" "Brachycephalus_ferruginus" "14.5"
"208" "Brachycephalus_hermogenesi" "15"
"209" "Brachycephalus_nodoterga" "13.4"
"210" "Brachycephalus_pernix" "15.8"
"211" "Brachycephalus_pitanga" "14"
"212" "Brachycephalus_pombali" "15.3"
"213" "Brachycephalus_pulex" "8.4"
"214" "Brachycephalus_toby" "13.9"
"215" "Brachycephalus_vertebralis" "15.1"
"216" "Ischnocnema_bolbodactyla" "15.3"
"217" "Ischnocnema_concolor" "18.4"
"218" "Ischnocnema_guentheri" "40"
"219" "Ischnocnema_hoehnei" "29.4"
"220" "Ischnocnema_holti" "31.7"
"221" "Ischnocnema_juipoca" "26.26"
"222" "Ischnocnema_lactea" "32"
"223" "Ischnocnema_manezinho" "34.8"
"224" "Ischnocnema_melanopygia" "23.3"
"225" "Ischnocnema_nasuta" "33"
"226" "Ischnocnema_nigriventris" "19"
"227" "Ischnocnema_octavioi" "24.3"
"228" "Ischnocnema_parva" "25.5"
"229" "Ischnocnema_penaxavantinho" "20.7"
"230" "Ischnocnema_randorum" "18.2"
"231" "Ischnocnema_sambaqui" "40"
"232" "Ischnocnema_spanios" "21.4"
"233" "Ischnocnema_surda" "25.9"
"234" "Ischnocnema_verrucosa" "24"
"235" "Ischnocnema_vizottoi" "22.1"
"236" "Balebreviceps_hillmani" "53"
"237" "Breviceps_acutirostris" "40"
"238" "Breviceps_adspersus" "60"
"239" "Breviceps_bagginsi" "28.7"
"240" "Breviceps_fichus" "43.8"
"241" "Breviceps_fuscus" "51"
"242" "Breviceps_gibbosus" "80"
"243" "Breviceps_macrops" "50"
"244" "Breviceps_montanus" "31"
"245" "Breviceps_mossambicus" "52"
"246" "Breviceps_namaquensis" "49"
"247" "Breviceps_poweri" "50"
"248" "Breviceps_rosei" "36"
"249" "Breviceps_sopranus" "26.2"
"250" "Breviceps_sylvestris" "50"
"251" "Breviceps_verrucosus" "53"
"252" "Callulina_dawida" "50"
"253" "Callulina_kisiwamsitu" "41.4"
"254" "Callulina_kreffti" "47"
"255" "Callulina_laphami" "45.4"
"256" "Callulina_shengena" "43.2"
"257" "Callulina_stanleyi" "42.5"
"258" "Probreviceps_durirostris" "35"
"259" "Probreviceps_loveridgei" "45"
"260" "Probreviceps_macrodactylus" "65"
"261" "Probreviceps_rhodesianus" "48"
"262" "Probreviceps_rungwensis" "60"
"263" "Probreviceps_uluguruensis" "43"
"264" "Spelaeophryne_methneri" "53"
"265" "Bufo_pentoni" "95"
"266" "Adenomus_dasi" "27"
"267" "Adenomus_kandianus" "32.2"
"268" "Adenomus_kelaartii" "50"
"269" "Altiphrynoides_malcolmi" "31.5"
"270" "Altiphrynoides_osgoodi" "62"
"271" "Amietophrynus_blanfordii" "39"
"272" "Amietophrynus_brauni" "110"
"273" "Amietophrynus_chudeaui" "13"
"274" "Amietophrynus_fuliginatus" "65"
"275" "Amietophrynus_funereus" "61"
"276" "Amietophrynus_garmani" "115"
"277" "Amietophrynus_gracilipes" "40"
"278" "Amietophrynus_gutturalis" "120"
"279" "Amietophrynus_kassasii" "38.5"
"280" "Amietophrynus_kisoloensis" "87"
"281" "Amietophrynus_latifrons" "73"
"282" "Amietophrynus_lemairii" "70"
"283" "Amietophrynus_maculatus" "85"
"284" "Amietophrynus_mauritanicus" "150"
"285" "Amietophrynus_pantherinus" "140"
"286" "Amietophrynus_pardalis" "147"
"287" "Amietophrynus_poweri" "100"
"288" "Amietophrynus_rangeri" "115"
"289" "Amietophrynus_reesi" "63"
"290" "Amietophrynus_regularis" "130"
"291" "Amietophrynus_superciliaris" "120"
"292" "Amietophrynus_tuberosus" "41"
"293" "Amietophrynus_urunguensis" "29"
"294" "Amietophrynus_xeros" "97"
"295" "Anaxyrus_americanus" "111"
"296" "Anaxyrus_baxteri" "66"
"297" "Anaxyrus_boreas" "125"
"298" "Anaxyrus_californicus" "81"
"299" "Anaxyrus_canorus" "69"
"300" "Anaxyrus_cognatus" "114"
"301" "Anaxyrus_compactilis" "91"
"302" "Anaxyrus_debilis" "54"
"303" "Anaxyrus_exsul" "71"
"304" "Anaxyrus_fowleri" "95"
"305" "Anaxyrus_hemiophrys" "83"
"306" "Anaxyrus_houstonensis" "79"
"307" "Anaxyrus_kelloggi" "48.8"
"308" "Anaxyrus_mexicanus" "70"
"309" "Anaxyrus_microscaphus" "81"
"310" "Anaxyrus_punctatus" "76"
"311" "Anaxyrus_quercicus" "33"
"312" "Anaxyrus_retiformis" "60"
"313" "Anaxyrus_speciosus" "92"
"314" "Anaxyrus_terrestris" "116.3"
"315" "Anaxyrus_woodhousii" "127"
"316" "Andinophryne_atelopoides" "43"
"317" "Andinophryne_colomai" "43.3"
"318" "Andinophryne_olallai" "39.6"
"319" "Ansonia_albomaculata" "35"
"320" "Ansonia_echinata" "21.3"
"321" "Ansonia_endauensis" "28.5"
"322" "Ansonia_fuliginea" "44"
"323" "Ansonia_glandulosa" "39.7"
"324" "Ansonia_guibei" "34"
"325" "Ansonia_hanitschi" "37"
"326" "Ansonia_inthanon" "25.2"
"327" "Ansonia_jeetsukumarani" "25.3"
"328" "Ansonia_kraensis" "27.9"
"329" "Ansonia_latidisca" "55"
"330" "Ansonia_latiffi" "51"
"331" "Ansonia_latirostra" "30.5"
"332" "Ansonia_leptopus" "65"
"333" "Ansonia_longidigita" "70"
"334" "Ansonia_malayana" "29"
"335" "Ansonia_mcgregori" "50"
"336" "Ansonia_minuta" "29"
"337" "Ansonia_muelleri" "38"
"338" "Ansonia_penangensis" "37.2"
"339" "Ansonia_platysoma" "26"
"340" "Ansonia_siamensis" "35"
"341" "Ansonia_spinulifer" "50"
"342" "Ansonia_tiomanica" "38.4"
"343" "Ansonia_torrentis" "33"
"344" "Atelopus_andinus" "37"
"345" "Atelopus_angelito" "41"
"346" "Atelopus_arsyecue" "60.5"
"347" "Atelopus_arthuri" "46.9"
"348" "Atelopus_balios" "37.3"
"349" "Atelopus_bomolochos" "50.4"
"350" "Atelopus_boulengeri" "63.7"
"351" "Atelopus_carauta" "46.7"
"352" "Atelopus_carbonerensis" "54.1"
"353" "Atelopus_carrikeri" "62.1"
"354" "Atelopus_certus" "42"
"355" "Atelopus_chiriquiensis" "58"
"356" "Atelopus_chocoensis" "48.3"
"357" "Atelopus_chrysocorallus" "50.4"
"358" "Atelopus_coynei" "32"
"359" "Atelopus_cruciger" "50"
"360" "Atelopus_dimorphus" "31.3"
"361" "Atelopus_ebenoides" "48"
"362" "Atelopus_elegans" "35.7"
"363" "Atelopus_erythropus" "28"
"364" "Atelopus_eusebianus" "45.4"
"365" "Atelopus_exiguus" "35.4"
"366" "Atelopus_famelicus" "45"
"367" "Atelopus_farci" "36.4"
"368" "Atelopus_flavescens" "40"
"369" "Atelopus_franciscus" "26.5"
"370" "Atelopus_galactogaster" "41"
"371" "Atelopus_glyphus" "48"
"372" "Atelopus_guanujo" "46"
"373" "Atelopus_guitarraensis" "39"
"374" "Atelopus_halihelos" "32"
