Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Ablepharus anatolicus,1997,Scincidae,0,,,,Ter,,,,,,
Ablepharus bivittatus,1832,Scincidae,1,Paleartic,LC,4.4,Ter,743131.336482241,1671.96923828125,83.3657608032227,71,0.483032390536156,47806.01175
Ablepharus budaki,1996,Scincidae,6,Paleartic,LC,2,Ter,121181.833325353,835.382751464844,152.279541015625,7,0.0741255892561036,120382.47875
Ablepharus chernovi,1953,Scincidae,2,Paleartic,LC,2.9,Ter,204470.623437232,1465.70837402344,77.5204010009766,22,0.0797695390822844,99557.115
Ablepharus darvazi,1990,Scincidae,0,Paleartic,DD,1.5,Ter,32443.5556936945,2509.53466796875,73.9890670776367,0,0.000282097959984757,5834.48766666667
Ablepharus deserti,1868,Scincidae,0,Paleartic,LC,3.9,Ter,812576.181836735,1013.22448730469,57.6082572937012,6,0.00074476922487788,30323.671
Ablepharus grayanus,1872,Scincidae,4,IndoMalay,LC,0.6,Ter,130756.227461101,305.228088378906,270.627410888672,3,0.0518526978725855,754550.266
Ablepharus kitaibelii,1833,Scincidae,28,Paleartic,LC,3.7,Ter,684248.469856977,570.957763671875,117.784645080566,157,0.120017329809398,28293.2314166667
Ablepharus lindbergi,1960,Scincidae,0,Paleartic,LC,2.3,Ter,12765.8170253022,2404.94384765625,114.433265686035,0,0.000152086927230338,
Ablepharus pannonicus,1823,Scincidae,4,Paleartic,LC,3.1,Ter,2587264.52077139,1294.935546875,77.543830871582,85,1.36806070015989,19327.8764375
Ablepharus rueppellii,1839,Scincidae,1,Paleartic,LC,2.6,Ter,62790.2008791557,585.792419433594,373.250946044922,23,0.0123845873828752,10552.8845
Mesaspis antauges,1866,Anguidae,1,Neotropic,DD,9,Ter,392.605253076464,3371.86499023438,46.4370994567871,0,0.00490292008655201,1021811.997
Abronia anzuetoi,1993,Anguidae,2,Neotropic,VU,44.5,Arb,38.3221584661216,1718.16821289063,237.036895751953,0,0.0273596985373647,45057.764
Abronia aurita,1869,Anguidae,2,Neotropic,EN,34.1,Arb,152.897792923035,1621.1640625,239.670196533203,0,0.0601058023715666,45057.764
Abronia bogerti,1954,Anguidae,0,Neotropic,DD,9.6,Arb,464.16289172404,1127.69836425781,0.876082539558411,0,0.00715008885295885,1021811.997
Abronia campbelli,1993,Anguidae,2,Neotropic,CR,36,Arb,9.99628067251197,1502.83715820313,47.4959449768066,0,0.10037774341119,45057.764
Abronia chiszari,1981,Anguidae,0,Neotropic,EN,5.8,Arb,405.9491457332,713.430358886719,18.5802841186523,0,0.0143008734572359,1021811.997
Abronia deppii,1828,Anguidae,1,Neotropic,EN,25.5,Arb,4804.10883210145,2455.83056640625,189.524917602539,3,0.0159669484002925,1021811.997
Abronia fimbriata,1885,Anguidae,0,Neotropic,EN,39,Arb,3199.98000900907,1527.80883789063,128.488433837891,0,0.160498084136692,45057.764
Abronia frosti,1998,Anguidae,3,Neotropic,CR,21.8,Arb,36.3022829263305,1908.47912597656,71.7585754394531,0,0.0283337244429173,45057.764
Abronia fuscolabialis,1944,Anguidae,0,Neotropic,EN,27.9,Arb,881.152178166848,2100.28955078125,39.1547431945801,0,0.129304002522615,1021811.997
Mesaspis gadovii,1913,Anguidae,1,Neotropic,LC,19.8,Ter&Arb,6647.81839955292,2226.78491210938,51.2567672729492,0,0.0312460158297897,1021811.997
Abronia gaiophantasma,1993,Anguidae,0,Neotropic,EN,21.8,Arb,2799.17718311777,1606.93127441406,108.104011535645,0,0.16045250256925,45057.764
Abronia graminea,1864,Anguidae,4,Neotropic,EN,19.2,Arb,2036.6487413084,2610.9267578125,123.2099609375,0,0.303582389367359,1021811.997
Mesaspis juarezi,1987,Anguidae,0,Neotropic,EN,6.3,Ter,284.90292692378,2097.52221679688,7.64291048049927,0,0.0162448975178396,1021811.997
Abronia leurolepis,1993,Anguidae,0,Neotropic,DD,18.6,Arb,121.299850777221,2136.09375,13.8139877319336,0,0.0158665704987344,1021811.997
Abronia lythrochila,1963,Anguidae,1,Neotropic,LC,29.5,Arb,1894.09352341277,2190.9130859375,205.02099609375,3,0.0202197998797007,1021811.997
Abronia martindelcampoi,2003,Anguidae,1,Neotropic,EN,25.5,Arb,1896.41170547039,2133.08837890625,67.6479339599609,0,0.0120751448367318,1021811.997
Abronia matudai,1946,Anguidae,1,Neotropic,EN,21.8,Arb,894.960469514826,2334.25390625,235.541351318359,0,0.00573916968640375,101987.8385
Abronia meledona,1999,Anguidae,0,Neotropic,EN,29.5,Arb,45.4952865070026,2095.73657226563,248.542236328125,0,0.0226805071542502,45057.764
Abronia mitchelli,1982,Anguidae,0,Neotropic,DD,18.6,Arb,232.142505552068,2341.4140625,8.92779064178467,0,0.0143540641205356,1021811.997
Abronia mixteca,1967,Anguidae,2,Neotropic,VU,61.3,Arb,3601.01700630012,2232.98657226563,38.9334754943848,0,0.0204539442686185,1021811.997
Abronia montecristoi,1983,Anguidae,1,Neotropic,EN,12.2,Arb,4680.34021886259,959.073120117188,99.4470596313477,0,0.0111283918132044,6068.004
Mesaspis monticola,1878,Anguidae,2,Neotropic,LC,10,Ter,18638.9646063347,1247.92712402344,200.149612426758,28,0.351905199015795,14946.972
Mesaspis moreletii,1872,Anguidae,4,Neotropic,LC,13.6,Ter,139476.786398657,1101.85119628906,149.124496459961,28,1.4404159897831,23458.4472
Abronia oaxacae,1885,Anguidae,1,Neotropic,VU,27.1,Arb,3396.45879479072,2363.38891601563,33.0256690979004,0,0.0276567986973868,1021811.997
Abronia ochoterenai,1939,Anguidae,0,Neotropic,DD,24.3,Arb,176.521317338411,2117.265625,20.2577819824219,0,0.0161749967891727,376992.9935
Abronia ornelasi,1984,Anguidae,2,Neotropic,DD,14.1,Arb,363.144036668519,1262.47021484375,4.557541847229,0,0.00646698105113413,1021811.997
Abronia ramirezi,1994,Anguidae,0,Neotropic,DD,12.2,Arb,242.281435493834,584.873840332031,31.7257175445557,0,0.0051763769483453,1021811.997
Abronia reidi,1961,Anguidae,0,Neotropic,DD,15.7,Arb,222.654789576469,775.876220703125,21.2785530090332,0,0.0303991776074493,1021811.997
Abronia salvadorensis,1983,Anguidae,0,Neotropic,EN,12.6,Arb,82.4887587212916,1344.26477050781,33.3007164001465,0,0.0127611007464142,16786.033
Abronia smithi,1993,Anguidae,0,Neotropic,LC,21.8,Arb,1998.24972087413,1737.65454101563,41.2922210693359,0,0.005164434128173,1021811.997
Abronia taeniata,1828,Anguidae,3,Neartic,VU,48.1,Arb,7721.610778073,1687.02502441406,60.9115715026856,0,0.00977834760369603,1021811.997
Abronia vasconcelosii,1872,Anguidae,2,Neotropic,VU,29.5,Arb,4050.96462098204,2152.68579101563,943.456604003906,15,0.102188436882426,45057.764
Mesaspis viridiflava,1873,Anguidae,2,Neotropic,LC,5.8,Ter,4670.8545162812,2158.52075195312,158.110458374023,2,0.144247421423557,1021811.997
Acanthocercus adramitanus,1896,Agamidae,4,Afrotropic,LC,135.6,Ter&Arb,259179.913034881,1246.19567871094,101.224739074707,1,0.566389616620251,53382.4206666667
Acanthocercus annectens,1870,Agamidae,1,Afrotropic,LC,122.6,Ter,681644.390180075,846.331420898438,36.2229194641113,1,0.944667867215547,9019.56833333333
Acanthocercus atricollis,1849,Agamidae,14,Afrotropic,LC,176.8,Arb,5952745.65504957,968.392028808594,58.6694564819336,122,4.35592668202089,3030.03117647059
Acanthocercus branchi,2012,Agamidae,1,Afrotropic,LC,130.3,Arb,161277.639577446,890.160095214844,43.9680442810059,3,0.000220197888506516,7910.55833333333
Acanthocercus cyanocephalus,1925,Agamidae,1,,,,,,,,,,
Acanthocercus cyanogaster,1835,Agamidae,4,Afrotropic,LC,164.3,Ter&Arb,1455656.92521867,1266.56750488281,105.385581970215,27,0.718818558413006,4137.127
Acanthocercus gregorii,1894,Agamidae,0,,,,,,,,,,
Acanthocercus guentherpetersi,2006,Agamidae,1,Afrotropic,LC,35.5,Ter,38652.726530288,778.769165039063,39.5761451721191,0,0.000758573482037954,18686.7405
Acanthocercus kiwuensis,1957,Agamidae,0,,,,,,,,,,
Acanthocercus minutus,1957,Agamidae,0,,,,,,,,,,
Acanthocercus phillipsii,1895,Agamidae,1,Afrotropic,LC,47.5,Ter,85895.9014623167,829.683166503906,28.3322105407715,0,0.386376481781702,408.452
Acanthocercus ugandaensis,1957,Agamidae,0,,,,,,,,,,
Acanthocercus yemensis,1954,Agamidae,5,Afrotropic,LC,86.8,Ter,44644.0532150253,1805.7470703125,231.265686035156,0,0.100872272118553,37165.327
Acanthochelys macrocephala,1984,Chelidae,4,Neotropic,NT,1500,Ter&Aqu,483978.793457443,246.13493347168,5.509446144104,13,,122894.821
Acanthochelys pallidipectoris,1945,Chelidae,4,Neotropic,EN,400,Ter&Aqu,321157.803219357,162.293685913086,10.1864595413208,6,,87365.292
Acanthochelys radiolata,1820,Chelidae,6,Neotropic,NT,707.1,Ter&Aqu,383921.286407066,382.15771484375,135.249252319336,104,,1167743.273
Acanthochelys spixii,1835,Chelidae,8,Neotropic,NT,700,Ter&Aqu,1068181.22333162,380.342987060547,72.8424682617188,220,,202439.14225
Acanthodactylus aegyptius,2007,Lacertidae,1,Paleartic,,3.3,Ter,242795.539927067,210.013885498047,361.646881103516,27,0.000722379483968438,89526.7096666667
Acanthodactylus ahmaddisii,2004,Lacertidae,2,Paleartic,EN,11.2,Ter,4776.18842089858,783.056762695313,13.9227132797241,0,0.000584418657780426,24565.364
Acanthodactylus arabicus,1918,Lacertidae,0,Afrotropic,LC,10.6,Ter,127012.826344566,986.556274414063,69.9426879882813,0,0.264829920851871,45131.313
Acanthodactylus aureus,1903,Lacertidae,3,Paleartic,LC,8.1,Ter,271957.171879706,182.33056640625,37.7336387634277,9,0.000863358341867577,6813.52533333333
Acanthodactylus bedriagai,1881,Lacertidae,0,Paleartic,NT,10.6,Ter,192687.211844336,653.634887695313,70.7098159790039,0,0.000238228785366377,132773.3535
Acanthodactylus beershebensis,1999,Lacertidae,8,Paleartic,CR,16.7,Ter,5380.00547912819,339.60302734375,208.164596557617,0,0.000756430517515695,37347.1443333333
Acanthodactylus blanci,1901,Lacertidae,2,Paleartic,EN,19.6,Ter,130768.889369127,506.121002197266,107.415802001953,2,0.000125315807834477,80195.379
Acanthodactylus blanfordii,1918,Lacertidae,0,Paleartic,LC,9.8,Ter,921788.040958561,880.745178222656,38.1711845397949,9,0.774120629333126,81801.50825
Acanthodactylus boskianus,1802,Lacertidae,50,Paleartic,LC,19.6,Ter,15822233.0972974,502.485992431641,29.0421009063721,117,2.1210265558636,5648.3641
Acanthodactylus boueti,1917,Lacertidae,0,Afrotropic,DD,5.8,Ter,342771.284343114,237.092239379883,126.157859802246,8,0.351450121285725,25676.6728
Acanthodactylus busacki,1982,Lacertidae,1,Paleartic,LC,9.3,Ter,211568.990938753,384.007446289063,23.2820129394531,0,0.000329234356702125,15905.2766666667
Acanthodactylus cantoris,1864,Lacertidae,5,IndoMalay,LC,19,Ter,1417684.55725245,487.024261474609,296.604583740234,77,0.74890572571133,281622.2165
Acanthodactylus dumerilii,1829,Lacertidae,1,Paleartic,LC,7.3,Ter,1617450.46373919,427.629913330078,20.4678173065186,13,0.0520788406825872,15778.7755
Acanthodactylus lineomaculatus,1833,Lacertidae,39,Paleartic,LC,13.7,Ter,169617.685581841,748.64892578125,152.388229370117,11,0.00615055920190081,50807.208
Acanthodactylus felicis,1980,Lacertidae,0,Afrotropic,VU,6.4,Ter,147442.681172019,1019.98852539063,173.138427734375,1,0.46618028638917,17720.5653333333
Acanthodactylus gongrorhynchatus,1967,Lacertidae,0,Paleartic,DD,6.4,Ter,132096.528773315,181.4609375,49.5296669006348,3,0.000152298695899066,128913.76175
Acanthodactylus grandis,1909,Lacertidae,1,Paleartic,LC,24.9,Ter,951163.564077583,434.841186523438,55.7637977600098,10,0.506299172176109,36998.8085
Acanthodactylus guineensis,1887,Lacertidae,3,Afrotropic,LC,5.1,Ter,2113644.66427624,383.029571533203,96.8837203979492,15,0.0686015827420243,11075.8709090909
Acanthodactylus haasi,1967,Lacertidae,0,Paleartic,LC,6.4,Ter&Arb,517736.560292932,326.096160888672,29.5978088378906,6,0.16656095553662,62858.2122857143
Acanthodactylus hardyi,1957,Lacertidae,5,Paleartic,,3.3,Ter,647411.407559493,375.601318359375,55.0806350708008,9,0.00119649844217142,82451.091
Acanthodactylus harranensis,2005,Lacertidae,2,Paleartic,CR,19.5,Ter,4830.03635924827,414.609985351563,16.8702259063721,0,0.00028401349778634,91580.94
Acanthodactylus khamirensis,2013,Lacertidae,1,Paleartic,,2.7,Ter,9.99628067274727,766.386657714844,1.81006574630737,0,0.100051024197278,459780.56
Acanthodactylus longipes,1918,Lacertidae,9,Paleartic,LC,6.4,Ter,7871971.64446218,448.632568359375,2.9638831615448,9,0.051126793558452,9788.2737
Acanthodactylus maculatus,1838,Lacertidae,3,Paleartic,LC,5.6,Ter,1194389.60251257,638.682250976563,39.8414421081543,10,0.0018050576733708,59786.1366666667
Acanthodactylus masirae,1980,Lacertidae,0,Paleartic,DD,3.3,Ter,25059.9238556922,357.098724365234,4.97319889068604,0,0.102859024161577,57821.896
Acanthodactylus micropholis,1874,Lacertidae,1,Paleartic,LC,6.4,Ter,533458.246376889,825.822570800781,12.2447261810303,0,0.326446593069627,192460.578
Acanthodactylus nilsoni,1998,Lacertidae,2,Paleartic,DD,9.6,Ter,778.312006157212,441.562225341797,49.218017578125,0,0.001453212999373,202262.8755
Acanthodactylus opheodurus,1980,Lacertidae,6,Paleartic,LC,5.6,Ter,1750868.92279857,708.218933105469,32.5677223205566,22,0.670645237661696,39718.7758181818
Acanthodactylus orientalis,1936,Lacertidae,2,Paleartic,LC,6.4,Ter,300427.755767129,324.414978027344,107.701950073242,12,0.100919547903666,33092.3165
Acanthodactylus pardalis,1823,Lacertidae,11,Paleartic,VU,10.6,Ter,179311.293350255,153.718948364258,206.597381591797,20,0.000117650687601254,130223.266
Acanthodactylus robustus,1929,Lacertidae,0,Paleartic,LC,10.7,Ter,193574.617279187,640.588928222656,42.2876091003418,1,0.000900169926936386,25643.6266
Acanthodactylus savignyi,1827,Lacertidae,0,Paleartic,NT,9.8,Ter,97077.9228047792,593.135986328125,190.048614501953,4,0.00101855561002689,271686.768
Acanthodactylus schmidti,1957,Lacertidae,15,Paleartic,LC,26.4,Ter,2040443.23080567,525.037902832031,24.7833671569824,25,0.425037849527717,44356.4720833333
Acanthodactylus schreiberi,1878,Lacertidae,11,Paleartic,EN,18.4,Ter,9058.79183223945,300.685241699219,55.9409408569336,4,0.000980602439774227,12796.656
Acanthodactylus scutellatus,1827,Lacertidae,40,Paleartic,LC,14.1,Ter,9997506.40923307,467.210510253906,19.6479396820068,83,0.0547044999295301,10122.9293529412
Acanthodactylus senegalensis,1918,Lacertidae,1,Afrotropic,LC,5.1,Ter,1532002.51381591,282.002471923828,13.0025043487549,9,0.050668245622207,2797.11575
Acanthodactylus spinicauda,1901,Lacertidae,1,Paleartic,CR,4.1,Ter,5889.56214581283,1049.04089355469,95.4064559936523,0,0.000223031577509342,271741.117
Acanthodactylus taghitensis,1995,Lacertidae,0,Paleartic,DD,3.9,Ter,277071.087734826,359.248291015625,6.7195987701416,1,0.000378108190019652,25438.978
Acanthodactylus tilburyi,1986,Lacertidae,0,Paleartic,LC,6.4,Ter,134686.489459141,758.367553710938,58.1692123413086,8,0.101415947971805,311227.3935
Acanthodactylus tristrami,1864,Lacertidae,0,Paleartic,LC,19.6,Ter,76450.6139670793,848.186584472656,232.413467407227,3,0.00379090481947883,12069.3936666667
Acanthodactylus yemenicus,1982,Lacertidae,0,Afrotropic,LC,4,Ter,179398.86242445,1147.2763671875,150.695663452148,1,0.465241801439177,45131.313
Acanthophis antarcticus,1802,Elapidae,75,Australasi,LC,252.3,Ter,2450184.12966261,263.795532226563,7.53261709213257,136,0.530568682068323,523112.755
Acanthophis cryptamydros,2015,Elapidae,1,,,,,,,,,,
Acanthophis hawkei,1985,Elapidae,0,Australasi,VU,391.4,,525465.980376953,182.256759643555,0.099294014275074,0,0.101746478813368,523112.755
Acanthophis laevis,1877,Elapidae,1,Australasi,LC,317.4,Fos&Ter,536176.357345168,322.94677734375,10.3280143737793,8,1.29886219790759,433429.106
Acanthophis praelongus,1877,Elapidae,23,Australasi,LC,106.9,Ter,778526.259918165,185.012893676758,0.945908665657043,16,0.400237983992108,523112.755
Acanthophis pyrrhus,1898,Elapidae,5,Australasi,LC,109.9,Ter,3236416.64393981,332.956115722656,0.0484179593622685,5,0.299492304850873,523112.755
Acanthophis rugosus,1948,Elapidae,7,Australasi,LC,73.8,Fos&Ter,14450.607314665,29.4634971618652,12.1506290435791,0,0.107609789546198,373590.346
Acanthophis wellsi,1998,Elapidae,1,Australasi,LC,52.3,Ter,5461.34167319768,748.088623046875,0.0628765821456909,0,0.00098028834348061,523112.755
Acanthosaura armata,1827,Agamidae,6,IndoMalay,LC,95,Ter&Arb,217534.2974706,203.495452880859,149.070617675781,31,4.78173505680503,153638.960142857
Acanthosaura bintangensis,2009,Agamidae,1,IndoMalay,DD,99.3,Arb,19.9925613290842,900.471618652344,41.345775604248,0,0.204049307361289,255152.621
Acanthosaura brachypoda,2011,Agamidae,0,IndoMalay,DD,54.4,Arb,19.9925613448778,939.666564941406,154.691360473633,0,0.0511299379233124,211456.709
Acanthosaura capra,1861,Agamidae,3,IndoMalay,NT,90.8,Ter&Arb,8167.85024357052,466.785186767578,50.1178703308106,0,0.255627704908772,100132.282
Acanthosaura cardamomensis,2010,Agamidae,2,IndoMalay,LC,116.2,Ter&Arb,11841.4956669246,468.474548339844,8.33367729187012,0,0.30109218275606,21437.259
Acanthosaura coronata,1861,Agamidae,1,IndoMalay,LC,89.8,Ter&Arb,14531.2225956443,557.951416015625,52.9743728637695,0,0.256633424202792,88617.1025
Acanthosaura crucigera,1885,Agamidae,6,IndoMalay,LC,130.3,Ter&Arb,274674.874632539,381.289215087891,116.32063293457,51,1.93044277052419,56987.2446
Acanthosaura lepidogaster,1829,Agamidae,5,IndoMalay,LC,46.2,Ter&Arb,2558052.93032209,461.947631835938,179.007141113281,196,7.97923528800087,311040.414
Acanthosaura nataliae,2006,Agamidae,0,IndoMalay,LC,138.3,Arb,34861.5060743827,673.936645507813,50.7013511657715,2,0.855677311930369,55857.0636666667
Acanthosaura phuketensis,2015,Agamidae,1,,,,,,,,,,
Acanthosaura titiwangsaensis,2009,Agamidae,0,IndoMalay,EN,117.9,Ter&Arb,1743.84829748101,879.988159179688,4.35719776153564,0,0.267829686637601,255152.621
Achalinus ater,1937,Xenodermidae,2,IndoMalay,LC,20.6,Fos,73253.3491464459,756.751220703125,97.4535217285156,0,0.155061117963771,2551976.1665
Achalinus formosanus,1908,Xenodermidae,0,IndoMalay,LC,27.2,Fos&Ter,36701.9059445191,764.291870117188,642.693969726563,63,0.0505090217807998,238835.859
Achalinus hainanus,1975,Xenodermidae,0,IndoMalay,VU,12,Ter,5049.73771431227,322.342254638672,143.639297485352,0,0.000632627098509225,5142910.821
Achalinus jinggangensis,1983,Xenodermidae,0,IndoMalay,CR,28.7,Fos&Ter,307.559713610802,1029.93041992188,40.6237030029297,0,0.00334463591026143,5142910.821
Achalinus meiguensis,1966,Xenodermidae,1,Paleartic,LC,26.4,Fos&Ter,129443.019635415,2673.60864257813,69.3614654541016,7,0.250925112788731,5142910.821
Achalinus niger,1931,Xenodermidae,0,IndoMalay,LC,108.8,Fos&Ter,23373.5173300084,1141.53405761719,129.340377807617,11,0.0192508776272543,439562.904
Achalinus rufescens,1888,Xenodermidae,2,IndoMalay,LC,27.2,Fos&Ter,681360.872260777,369.976409912109,323.279449462891,82,1.42294334998687,1632935.169
Achalinus spinalis,1869,Xenodermidae,3,Paleartic,LC,22,Fos&Ter,1632703.14330304,710.366516113281,341.012817382813,399,0.63247481451802,1579647.75333333
Achalinus werneri,1912,Xenodermidae,0,IndoMalay,NT,44.1,Ter,2270.10607437647,117.94603729248,375.958465576172,5,0.0547401304605612,2836343.728
Acontias aurantiacus,1854,Scincidae,1,Afrotropic,LC,14.1,Fos,46189.4893428159,136.281127929688,111.13932800293,5,0.0671882242028044,23930.4055
Acontias bicolor,1929,Scincidae,1,Afrotropic,LC,13.2,Fos,129793.71342157,966.877868652344,57.8187713623047,6,0.000635859082338399,12496.964
Acontias breviceps,1925,Scincidae,3,Afrotropic,LC,12,Fos,41481.5608328282,1454.7109375,30.1286735534668,4,0.001484533772956,170849.3305
Acontias cregoi,1903,Scincidae,2,Afrotropic,LC,7.3,Fos,43157.3412384285,777.683898925781,81.3728866577148,3,0.00452130128727258,162336.6385
Acontias fitzsimonsi,1968,Scincidae,0,,,,,,,,,,
Acontias gariepensis,1941,Scincidae,0,Afrotropic,LC,5.4,Fos,51532.4674247128,924.92626953125,0.77476179599762,0,0.000301833435829344,73773.3176666667
Acontias gracilicauda,1925,Scincidae,3,Afrotropic,LC,22.3,Fos,329196.196357825,1233.92297363281,53.6909561157227,74,0.00774009373907037,171724.9475
Acontias grayi,1887,Scincidae,1,,,,,,,,,,
Acontias jappi,1968,Scincidae,2,Afrotropic,LC,10.6,Fos,26567.6534368006,1074.041015625,6.57912731170654,0,0.000114673363779877,24076.67
Acontias kgalagadi,2010,Scincidae,5,Afrotropic,LC,10.2,Fos,663349.757722255,1074.84399414062,4.05435752868652,2,0.00372595146351329,21658.6746666667
Acontias lineatus,1879,Scincidae,3,Afrotropic,LC,6.3,Fos,333587.47682932,821.598510742188,15.0218858718872,30,0.00613192061525795,128940.921
Acontias litoralis,1969,Scincidae,3,Afrotropic,LC,4.2,Fos,27703.013082605,288.671539306641,4.54265785217285,0,0.00401457337685664,344029.846
Acontias meleagris,1758,Scincidae,12,Afrotropic,LC,29.8,Fos,145931.493901283,633.510070800781,51.4660720825195,52,0.00827448004845596,344029.846
Acontias namaquensis,1938,Scincidae,0,Afrotropic,LC,12.4,Ter,5436.38571148679,729.325805664063,4.56835079193115,0,0.00168804919823235,344029.846
Acontias occidentalis,1941,Scincidae,0,Afrotropic,LC,11.9,Fos&Ter,482196.555959296,1228.16625976563,20.7476062774658,22,0.103858389079764,15415.181
Acontias orientalis,1937,Scincidae,1,Afrotropic,LC,13,Fos,34641.6349780075,447.1142578125,58.9877052307129,18,0.00371512464851873,344029.846
Acontias parietalis,1990,Scincidae,0,,,,,,,,,,
Acontias percivali,1935,Scincidae,5,Afrotropic,LC,21.7,Fos&Ter,901701.623578092,1116.05871582031,8.60948181152344,15,0.111240713211962,8883.39733333333
Acontias poecilus,1849,Scincidae,5,Afrotropic,LC,100.1,Ter,7946.36905233124,894.673217773438,111.004127502441,1,0.000591777315638263,344029.846
Acontias richardi,1987,Scincidae,0,Afrotropic,DD,4.8,Fos,8050.310981329,582.628723144531,123.238838195801,1,0.00153231261796625,344029.846
Acontias rieppeli,2010,Scincidae,2,Afrotropic,NT,10.2,Fos,39068.7673022301,963.299072265625,32.7508544921875,3,0.164266448028212,77787.25
Acontias schmitzi,2012,Scincidae,0,Afrotropic,LC,9,Ter,9.99628067268531,1065.27905273438,35.248706817627,0,0.100104914901451,19852.485
Acontias subtaeniatus,1968,Scincidae,0,,,,,,,,,,
Acontias tristis,1910,Scincidae,1,Afrotropic,LC,5.4,Fos,31411.9304306556,506.909118652344,1.97788143157959,0,0.00285376689406327,164733.1675
Acrantophis dumerili,1860,Boidae,8,Afrotropic,LC,2974.3,Ter,242805.542003931,528.553527832031,27.7284908294678,0,0.795977624104341,19348.695
Acrantophis madagascariensis,1844,Boidae,6,Afrotropic,LC,13326.3,Ter,171886.657457961,330.058349609375,31.0890045166016,1,1.83051920071269,19348.695
Acratosaura mentalis,1933,Gymnophthalmidae,6,Neotropic,LC,4.7,Ter,530277.106421984,553.341247558594,42.7425041198731,31,1.06692960778387,1167743.273
Acratosaura spinosa,2009,Gymnophthalmidae,1,Neotropic,,3.3,Ter,125654.216158677,672.297607421875,19.1794757843018,1,0.153789813702474,1167743.273
Bassiana duperreyi,1838,Scincidae,56,Australasi,LC,10.5,Ter,337962.743290801,341.394897460938,24.9867095947266,66,0.00102697156551105,523112.755
Bassiana platynota,1881,Scincidae,2,Australasi,LC,10.5,Ter,328284.856566723,546.944152832031,24.8838481903076,59,0.00340545167825466,523112.755
Bassiana trilineata,1838,Scincidae,1,Australasi,LC,7.5,Ter,320267.35763124,233.112869262695,7.43734264373779,25,0.00321143033443712,523112.755
Acrochordus arafurae,1979,Acrochordidae,18,Australasi,LC,1694.5,Aqu,689421.65606922,102.827003479004,1.66908037662506,7,0.114214520702405,255107.905
Acrochordus granulatus,1799,Acrochordidae,27,Australasi,LC,300.7,Aqu,2579727.18931906,8.54263687133789,479.960357666016,68,11.8706015227879,90005.2560666667
Acrochordus javanicus,1787,Acrochordidae,9,IndoMalay,LC,2423.1,Aqu,1917161.63514006,272.570037841797,162.90087890625,183,8.27041894153914,80941.38975
Actinemys marmorata,1852,Emydidae,63,Neartic,VU,,,,,,,,
Actinemys pallida,1945,Emydidae,6,,,,,,,,,,
Acutotyphlops banaorum,2007,Typhlopidae,0,IndoMalay,DD,20.1,Fos,4.43537393718425,1178.93872070313,9.97772407531738,0,0.228186462105227,259656.615
Acutotyphlops infralabialis,1918,Typhlopidae,0,Australasi,DD,30.3,,10687.4034717469,313.199188232422,29.4454345703125,0,0.00368140185307222,
Acutotyphlops kunuaensis,1995,Typhlopidae,0,Australasi,DD,30.6,Fos,5158.23744439093,228.699768066406,22.0598964691162,0,0.00810602360169758,
Acutotyphlops solomonis,1939,Typhlopidae,0,Australasi,DD,61.1,,4993.04052191902,160.621963500977,24.7240829467773,0,0.00862058321739251,
Acutotyphlops subocularis,1897,Typhlopidae,0,Australasi,LC,37.4,Fos,33824.4905712653,307.452026367188,15.7538414001465,0,0.000894022628314329,
Adelophis copei,1879,Colubridae,1,Neotropic,VU,5.9,Ter&Aqu,1388.35274310082,1510.82873535156,1205.92614746094,6,0.00349448154204553,1021811.997
Adelophis foxi,1968,Colubridae,1,Neartic,DD,17.5,Ter,848.786843239321,1925.13781738281,2.44728827476501,0,0.00186080505803145,1021811.997
Adelphicos daryi,1982,Colubridae,1,Neotropic,EN,41.3,Fos,9.99628067250808,1958.29638671875,336.990447998047,0,0.100382519502745,45057.764
Adelphicos ibarrorum,1988,Colubridae,0,Neotropic,EN,32.3,Fos,9.9962806725194,3074.18334960938,199.91943359375,0,0.101302970233732,45057.764
Adelphicos latifasciatum,1966,Colubridae,0,Neotropic,DD,20.7,Fos,1856.43940741123,1090.44580078125,3.48385143280029,0,0.0110847042870166,1021811.997
Adelphicos newmanorum,1950,Colubridae,0,,,,,,,,,,
Adelphicos nigrilatum,1942,Colubridae,0,Neotropic,LC,22.4,Fos,2721.01823539891,2151.45361328125,173.989013671875,3,0.0200348288267241,1021811.997
Adelphicos quadrivirgatum,1862,Colubridae,1,Neartic,LC,15.5,Fos,191697.651227553,476.407012939453,64.9284133911133,9,1.48704104231301,136469.9334
Adelphicos sargii,1885,Colubridae,0,,,,,,,,,,
Adelphicos veraepacis,1941,Colubridae,1,Neotropic,VU,23.7,Fos,5990.08042282822,1673.69421386719,149.975540161133,0,0.061968478968362,45057.764
Adelphicos visoninum,1866,Colubridae,0,,,,,,,,,,
Adercosaurus vixadnexus,2001,Gymnophthalmidae,1,Neotropic,LC,3.7,Ter,9.99628067260374,1832.0595703125,0.651243090629578,0,0.100108030669939,166366.507
Adolfus africanus,1906,Lacertidae,2,Afrotropic,LC,7,Ter&Arb,931941.183862123,896.185791015625,85.5742797851563,12,0.4693164117953,3960.06981818182
