Comb_sciname,Year,Family,Npapers,MainBiogRealm,ThreatStatus,BodyMass,Habit,polykm2,elev.avg,humd.avg,bint_counts,range.rarity,W_avgPPP
Exila nigropalmata,1918,Scincidae,1,Neotropic,LC,8.9,Ter&Arb,96143.6538077061,285.311431884766,0.958555817604065,0,0.00295825148421422,269678.557
Exiliboa placata,1968,Boidae,2,Neotropic,VU,54.6,Fos&Ter,3061.97554235151,1808.55078125,11.921895980835,0,0.0816700096078017,1021811.997
Farancia abacura,1836,Colubridae,20,Neartic,LC,1067.3,Ter&Aqu,967740.699600529,67.7248001098633,58.8139915466309,297,0.00137293528323035,9588951.986
Farancia erytrogramma,1802,Colubridae,4,Neartic,LC,680.1,Aqu,404434.972358314,56.797794342041,62.6919021606445,160,0.000871408587120813,9588951.986
Ferania sieboldii,1837,Homalopsidae,1,IndoMalay,LC,271.5,Aqu,1190309.4631354,250.117080688477,636.568481445313,85,1.0351096889315,367572.63725
Feylinia boulengeri,1917,Scincidae,0,Afrotropic,LC,,,,,,,,
Feylinia currori,1845,Scincidae,2,Afrotropic,LC,41.2,Fos&Ter,3271788.08524952,622.624877929688,44.3723526000977,22,0.806635802745262,2939.21385714286
Feylinia elegans,1854,Scincidae,0,Afrotropic,LC,5.5,Fos,815046.809381628,573.864196777344,36.1987190246582,12,0.00287001770789626,8248.4362
Feylinia grandisquamis,1910,Scincidae,1,Afrotropic,LC,5.4,Fos,624142.516994255,560.351745605469,38.2892990112305,7,0.0136545084343275,6152.39814285714
Feylinia macrolepis,1887,Scincidae,0,Afrotropic,LC,2.1,Fos,102907.830649582,507.681945800781,32.6266021728516,2,0.000423385363329043,3438.82866666667
Feylinia polylepis,1887,Scincidae,0,Afrotropic,LC,7.3,Fos,146.670419819557,159.889999389648,48.4880523681641,0,0.193089111791855,343.546
Ficimia hardyi,1993,Colubridae,0,Neartic,EN,8.6,Fos,379.033538072568,1708.08630371094,106.568618774414,0,0.00371175837396496,1021811.997
Ficimia olivacea,1849,Colubridae,0,Neotropic,LC,11.4,,57716.0314976709,1463.76708984375,350.853424072266,31,0.0657329226564029,1021811.997
Ficimia publia,1866,Colubridae,0,Neotropic,LC,16.4,Ter,322215.335612855,189.875564575195,53.414234161377,18,1.04198082972736,189168.627
