"Species","rates_mammals_svl","rates_mammals_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"Monodelphis_kunsi",-0.0455202245341453,-0.00390852929820679,"9","61.9999997685975","163.994709543187","15","21.0002785146058","67.0005571000023","69.9977727525928"
"Monodelphis_domestica",0.0107917212959896,-0.00463182804770348,"9","64","133.000419966042","14.0002785888907","23","78.0004178166985","30.4993733795996"
"Monodelphis_scalops",0.0929812673176357,0.00561953502639663,"8.99986061039807","54.0000694745966","230.996031520294","15.9994423947945","17.0001391512993","48.0018783169657","169.492069074603"
"Monodelphis_dimidiata",-0.0186697999156812,0.0106866664619544,"9","46.0005567846081","382.996100519619","18.9999999806058","13.9999999612083","35.0008342866193","158.990394709957"
"Monodelphis_americana",-0.065763573640369,-0.00405675185046988,"9","62.9997214408073","158.000002404731","14.0004179747857","21.0001388921866","79.000556693195","49.0030695820691"
"Monodelphis_iheringi",0.0277192882861962,0.000890978587296247,"8.99972141740361","58.0004174650017","199.997494306418","14.9998608289994","18.0009752147863","64.9976277695854","96.001403926034"
"Marmosa_murina",-0.0276344243783139,0.0054812402104294,"7.00027861059246","72.0001394210006","64.0011148354864","10.0001393036055","25","56.5000688349932","174.00341025982"
"Marmosa_constantiae",0.00239542527299253,0.00659308534474997,"9","60.0003479478024","174.50508693099","14.9997214533986","22.0001391870006","64.0009749599093","72.9993732206086"
"Marmosa_demerarae",0.00860280068034369,-0.00856890974239975,"8","70.0000000097049","76.000208911319","11.0001393850006","25","62.9997218331069","103.998814329777"
"Marmosops_paulensis",-0.0693433479821667,-0.0036829171456773,"7.99999975140141","55.9997201596045","217.994284735448","14.9997212122031","17.0001394035992","54.9998586852178","155.002377867305"
"Marmosops_incanus",0.0691069638673253,0.00364478805583306,"8.99972112540919","60.0005569217797","171.000977978341","13.9999999805925","20.0002788940011","69.0011124560046","59.0016762026495"
"Cryptonanus_guahybae",0.00393792704451919,0.000363759381156277,"8.99951213368553","49.4979089022312","341.495892983671","17.9997212073936","13.5001395256047","14.0003484864098","402.990104440575"
"Cryptonanus_chacoensis",-0.0543450035310965,-0.00286308178548284,"9","48.0006959322201","375.994012191944","19.9997214779989","18","47.999581438388","115.005018168372"
"Cryptonanus_agricolai",0.0525572799615293,0.00279489332730955,"9.00027858659583","66.0001387732433","138.997214690206","14.0001394075919","22.0005570291782","87.0000001851805","20.0053012826057"
"Gracilinanus_agilis",-0.0153398779443486,0.00460542874871975,"9","63.9998608364031","132.999027496014","14.0002787352005","22.9998606323981","73.9991640161925","49.9993030273982"
"Gracilinanus_microtarsus",0.00166701118911388,0.0018312011923804,"8.99999986029792","55.5001389121005","250.495196745082","15.9994423947945","17.0001391375989","44.5004839401189","196.484406571282"
"Thylamys_macrurus",0.00704886591505841,0.000462281782467002,"9","57.5004875045023","254.9945689149","15.9997911551976","20.0002087348018","44.5000683122915","136.007946633423"
"Thylamys_velutinus",-0.0191303395243872,-0.000920923478236071,"9.00013941500056","62.9999997834026","145.999165148614","14.9999999805964","21","82.0004168381956","31.9983289468016"
"Thylamys_karimii",-0.00457205450161283,-0.000150402852713488,"9","65.9997214488193","99.9995123711154","14","24.0002785685983","83.9997217485189","14.0004870159876"
"Metachirus_nudicaudatus",-0.00140102056353212,-0.00366575482872455,"7.99986065299944","70.0001392110005","70.0009758901832","10.9998607289994","24.0001393755958","56.0002786630083","159.988162628265"
"Lutreolina_crassicaudata",0.000929864305028503,0.023493649041675,"9","54.999999534498","266.995197900667","15.9998606246988","17.9999997282993","45.9983975094169","146.992411325132"
"Philander_frenatus",-0.00462233865046652,-0.00618669176107801,"8.99993030619737","55.999929377601","226.4959621558","15.4996513598956","17.9999998836996","46.5012498663783","179.491442078899"
"Philander_opossum",-0.0299705014695575,-0.0139997130813864,"7.99860708823539","70.000139602412","70.0022291782316","10.0006964167835","24.99999978","56.9994433421803","159.999997696263"
"Didelphis_aurita",0.0470591194480024,0.0110922746435809,"9","58.0001390463961","215.996797587538","15","18.999999748","52.0025773116587","142.987190482269"
"Didelphis_albiventris",-0.0112435224746386,-0.00565119844862495,"9","59.0004175856022","212.995963196887","15.0001391672996","20.0001391766991","67.9986759271932","54.5151967412553"
"Chironectes_minimus",0.009098406854078,-0.0212505142728744,"7.99930349521318","70.000139230397","74.998329583388","10.000417850789","23.9998607529994","46.9990244345407","227.999161284473"
"Caluromys_lanatus",0.00991521593842174,-0.00336959401994644,"7.99986078899944","68.0004176330017","74.9984688833656","10.9999999085936","23.0001392550006","46.0026452022124","210.983008881467"
"Caluromys_philander",-0.00372354704910654,0.000439523758038243,"8","68.000766219688","83.0004874233246","11.999581841877","24.9998606372968","66.9990254783376","103.532876159315"
"Dasypus_novemcinctus",-0.00338111409932041,0.0137058003817114,"8.9997214414003","64.9997212927883","115.001950134185","13.0002786345891","23.000000188","57.0011143714009","116.007518543836"
"Priodontes_maximus",0.0625127099916249,0.0059024392701946,"7.99986080839974","69.9965169893637","76.0005571462299","11.0001391836042","24.9998603924031","59.999442718182","125.003618764233"
"Cabassous_unicinctus",-0.0225408858764584,-0.00895261704367292,"8","69.0001392167032","77.0006968553046","11.9988857525199","24.999860646402","61.5005568206001","116.998822977198"
"Tolypeutes_matacus",-0.0383837980534145,-0.00660885614053705,"9.49979101257565","48.0005570793967","376.99470872725","19.9997214799989","18.0002088268043","65.5011139926056","58.0017395096367"
"Chaetophractus_villosus",0.0908339354555002,-0.0148822451879926,"10","41.999582290524","497.997492104295","23.9986759626314","8.99993033819096","46.5001382876206","53.9956822157237"
"Chaetophractus_vellerosus",-0.152277597133908,0.0182154677142964,"10","49.0004176456098","380.988714054925","20.9998606329994","12.0019492490371","73.9995814716114","33.0029278802278"
"Euphractus_sexcinctus",0.0762600928670253,-0.00333262993599869,"9","62.9999997760006","148.998260414813","14.9995819221185","22.0001394470006","69.5000685655603","60.0025094576305"
"Bradypus_torquatus",0.001640778551833,-0.000776035395011176,"6.99916329399668","59.4960951156894","153.991494470724","10.9993022909364","22.000209316206","27.9997223876373","228.006064583505"
"Bradypus_variegatus",-0.000223500902271336,-0.000776035356206245,"7.99986082439555","69.0000002508156","79.0006263852052","11.0001393952962","24.0002785685983","62.0015319288028","101.508439926016"
"Myrmecophaga_tridactyla",0.0407136269037055,-0.000641630713181811,"8","67.0002783945989","90.4978416053175","12","24.0001392150006","59.9993040335186","116.004737282845"
"Tamandua_tetradactyla",-0.023978081233518,-0.000641630712108605,"8","67.0004176136019","91.9973548765725","12","24.0001392384142","60.000974651799","112.005436875807"
"Cyclopes_didactylus",-0.0387854837088805,-0.0013305405754828,"7.00013923559524","72.9966574033984","60.9980505533897","9.99999998060025","24.9998607803992","53.9994431593947","196.995546435145"
"Pseudalopex_vetulus",-0.0462603669578839,-0.013629254823352,NA,NA,NA,NA,NA,NA,NA
"Pseudalopex_gymnocercus",-0.0019023400455856,0.00497076137539032,NA,NA,NA,NA,NA,NA,NA
"Cerdocyon_thous",0.0298564677033727,-0.00397245513470524,"9","63.9997214414025","134.996032083241","14.0000000097002","22.0004178973018","66.9992346249089","72.0034857032283"
"Speothos_venaticus",0.0447856813921055,0.0438615311686801,"7.99999998058771","68.999582414157","80.499304421149","11.0004178664903","24.0002785780003","59.0009749040977","131.002642499803"
"Chrysocyon_brachyurus",0.116199390702596,-0.034876201928548,"9","61.0004179618973","177.995468898489","15","21","71.0004180264009","55.0002799182767"
"Conepatus_semistriatus",-0.169776846908637,-0.000737654389756832,"7.9993029324264","68.0004180061891","103.995750624267","11.9986766439999","24.0002783608848","61.9979107668963","93.5034817976997"
"Conepatus_chinga",0.16908249518085,0.00108495795417143,"9.99986063299944","47.0001391703942","396.004170792493","20.9995818657811","12.0001391230006","55.0005565141932","73.0009754850039"
"Potos_flavus",-0.022369611588868,-0.0263028490142558,"7.99999998058743","68.9995822418045","82.0019498227252","11.9988858010444","24.0002785785969","62.000000233205","108.009333755696"
"Procyon_cancrivorus",0.0149898359072692,-7.67750631227356e-05,"8","67.0001391915897","92.0022302847083","12","24.0001392435975","60.0002790015425","110.004874438415"
"Nasua_nasua",-0.0117762518567714,0.0150095960537036,"8","68.0000694166804","83.9961011893258","11.9998608103992","24.0001393390006","58.9983978429069","138.004876012578"
"Eira_barbara",-0.0185653569067507,-0.00966220161857511,"8","67.0002783945989","86.0032020136855","11.999860822395","24.0000000194034","60.000766020196","121.501043515416"
"Galictis_cuja",-0.0300931450954791,0.0456837026283441,"9.00013941700056","54.9992317939659","287.493385819144","16.9998607209994","17.0001391470006","66.0010437917048","51.9978420726665"
"Galictis_vittata",0.001846297684064,-0.0469762127338192,"7.99972146969792","70.0004176484995","73.0002102497113","10.9998607889994","25","59.9995127905952","130.99251297183"
"Pteronura_brasiliensis",0.104646620404672,-0.0145162413669046,"7.00027861059246","71.0009748484881","61.9971440789638","10.0001393790006","24.9998607906976","56.000835543701","165.504178207059"
"Lontra_longicaudis",0.00338994766383495,0.0262113781511024,"8","67.0001391915897","92.000835897066","12","24","59.9990252948528","118.004600009193"
"Panthera_onca",0.147094680759122,-0.0116650941684456,"7.99972125458241","70.0001391245137","71.9967963509946","10.9997212797595","24.9998606089994","57.0010452644967","152.995540073206"
"Leopardus_tigrinus",0.288197091772684,0.00566277177394898,"7.99986080440142","70.0005572051871","74.0013921942113","11","24.9998607764009","60.0012535515975","123.989276879752"
"Leopardus_colocolo",-0.153822873980935,0.0802861617121075,"9.99986066438525","55.0004176930017","327.998183614233","19.0005571452239","10.9976313671397","65.9958214822357","46.9977700239911"
"Leopardus_pardalis",0.979175029603885,0.0680804963396475,"8","67.9998605904092","88.000765562453","12","24","61.0009748214665","110.002156798348"
"Leopardus_wiedii",-1.01920988862124,-0.0889503354284972,"8","67.9995820943981","84.9958208588938","11.9998606843953","24.0001392550006","59.9997212866003","130.028553209865"
"Herpailurus_yagouaroundi",-0.266714582829252,-0.00373831225843174,"8.00006966579707","66.0021586004945","97.0002787151082","12.0002786005939","24","61.0001392115936","97.9996521080419"
"Puma_concolor",0.283338880910793,0.0226771692239052,"9","60.9997905624115","182.003206647464","15","19.0002784259969","57.9999303401977","69.9983967785251"
"Tapirus_terrestris",0.0270976850960734,-0.00468720613704658,"8","67.9999305296085","87.0014618011638","12","24.0001392770006","60.0000696014997","112.998261525265"
"Tayassu_pecari",0.0382310803894369,0.0230824814927204,"8","67.9994427225113","89.0025076592636","12","24.0001391973029","59.9987454080782","119.000279463306"
"Pecari_tajacu",-0.0376274327130179,-0.0230503633003946,"8.00013926300057","66.0002786094042","99.9941470511459","12.9995821395975","24","59.9997212866003","102.00473699463"
"Mazama_nana",-0.367050069467916,-0.00250310130250965,"9","50.9998603523959","314.994847306339","16.9998608529994","14.999999748","21.9999995541909","350.999868650094"
"Mazama_bororo",0.36485401341926,-0.00250310130258654,"7.99999975140141","51.9999985323985","234.997631950189","15.0001394230006","17.0001391355997","46.0011099950343","205.978837364405"
"Mazama_americana",-0.00656171575374849,0.0343656771454314,"7.99986080839974","69.9965169893637","76.0015318153849","11.0000001285986","24.0001394030005","58.0002785727917","138.994988175375"
"Mazama_gouazoubira",-0.0874706168177076,-0.00177374103368737,"9","59.0002785072072","202.99944469457","15","20.0001393910006","66.9995824029983","61.0039041162876"
"Ozotoceros_bezoarticus",0.011716499932691,-0.00177374098251297,"9","64.0002783820011","109.9963808206","14.0000000194003","23.0001391950006","71.0004177216025","58.9995806306033"
"Blastocerus_dichotomus",0.142112141740905,-0.00390351811295623,"9","63.0001391521911","132.000420598344","14.9998608284025","22.0004180530017","71.0001392332015","58.9998616368099"
"Leontopithecus_rosalia",0.0700711556507833,-0.0409999682422225,"4.99999900829626","42.9997174385892","179.499364136352","10.0001378775939","20.5001394410006","49.0016670964699","124.990185866764"
"Leontopithecus_chrysomelas",-0.0702714071420623,0.0411068172092581,"6.99916329399668","60.4960256735994","152.991982920581","11.9988148062004","22.000209316206","24.5004890780135","234.508989151391"
"Callithrix_penicillata",-0.00858421322963123,0.00468157656800424,"9.00013941900055","63.9997211814031","130.999724582427","14.9998606084014","21.9998606163997","83.9956776006175","23.9987461918055"
"Callithrix_jacchus",-0.0699536309765352,0.173995610753686,"9","69.0008355340034","111.001674327538","13.0000002394126","25.0002786345891","89.0016716863542","11.9994421891682"
"Callithrix_geoffroyi",0.0631082651042018,-0.175892996499733,"7.99986055299943","60.000000019407","173.993445582237","13.9987450934401","21.999721680815","62.9974895421409","92.0182655360401"
"Callithrix_kuhlii",-0.00510383819816637,0.00169149768101776,"7.49951192349806","61.4980474239934","154.494981460734","12.4993724627926","21.0002788882965","39.9982569281994","165.510321052025"
"Callithrix_aurita",0.0104159872535402,0.00169149768103602,"8.49993041849915","56.0002087250964","212.995260291595","14.9999303019034","18.0002087699059","68.001461029506","88.5034217460657"
"Sapajus_xanthosternos",0.024060002956333,0.00731164882124033,"9","66.9997213928206","148.992470694158","13.0001392070006","22.0002781311805","64.00152661289","45.9981929409928"
"Sapajus_nigritus",0.0153230265655074,-0.00527055597546006,"9","55.9997201596045","247.993316150566","15.9995818057956","17.0002785860011","46.0011099950343","171.99290837964"
"Sapajus_libidinosus",0.0999314075327149,-0.00491893831150799,"9","65.9999999902937","105.996657274711","14","24.0002786002965","82.0002782108962","19.9986073785205"
"Sapajus_flavius",-0.122877778855048,-0.00491893831146572,"6.49937214908524","60.9969306874554","138.99240035278","10.4991629645844","22.5002787999975","43.0004887596221","184.493106654451"
"Sapajus_robustus",0.0321130418669783,0.0208972544862459,"7.99993028620321","60.0002784705933","174.9972791649","13.999093806127","21.499860984111","63.4965144156538","90.5203556232533"
"Brachyteles_hypoxanthus",-0.0682571902022285,-0.00597323963063476,"8.00006958749973","56.5001390367038","192.498886409266","14.4992332617129","19.9999306905003","76.4999287742019","58.5002815756204"
