generation,rank_1,rank_2,swapAccepted
354000,2,4,0
355000,1,3,0
356000,2,4,0
357000,1,3,0
358000,1,4,0
359000,1,4,0
360000,2,4,0
361000,2,3,0
362000,2,4,0
363000,1,3,0
364000,3,4,0
365000,1,3,0
366000,1,2,0
367000,1,3,0
368000,2,3,0
369000,1,3,0
370000,2,3,0
371000,1,3,0
372000,1,3,0
373000,1,4,0
374000,2,4,0
375000,1,2,0
376000,3,4,0
377000,2,3,0
378000,3,4,0
379000,3,4,0
380000,1,2,0
381000,1,4,0
382000,3,4,0
383000,1,2,0
384000,1,3,0
385000,2,4,0
386000,1,2,0
387000,1,4,0
388000,3,4,0
389000,3,4,0
390000,1,2,0
391000,1,2,0
392000,2,4,0
393000,1,4,0
394000,1,3,0
395000,1,2,0
396000,2,3,0
397000,3,4,0
398000,3,4,0
399000,3,4,0
400000,1,4,0
401000,1,3,0
402000,2,3,0
403000,3,4,0
404000,1,4,0
405000,1,3,0
406000,3,4,0
407000,1,2,0
408000,2,3,0
409000,1,3,0
410000,2,4,0
411000,2,4,0
412000,1,4,0
413000,2,3,0
414000,2,3,0
415000,2,3,0
416000,3,4,0
417000,3,4,0
418000,2,4,0
419000,1,3,0
420000,2,4,0
421000,1,2,0
422000,3,4,0
423000,1,2,0
424000,2,4,0
425000,2,4,0
426000,2,3,0
427000,2,3,0
428000,2,3,0
429000,1,4,0
430000,2,3,0
431000,2,3,0
432000,1,3,0
433000,3,4,0
434000,2,4,0
435000,2,4,0
436000,2,3,0
437000,2,4,0
438000,2,4,0
439000,1,2,0
440000,2,4,0
441000,1,3,0
442000,3,4,0
443000,1,3,0
444000,1,2,0
445000,2,3,0
446000,1,2,0
447000,2,4,0
448000,1,2,0
449000,3,4,0
450000,1,4,0
451000,1,2,0
452000,2,4,0
453000,1,2,0
454000,2,4,0
455000,1,2,0
456000,2,3,0
457000,2,4,0
458000,2,3,0
459000,1,3,0
460000,3,4,0
461000,1,3,0
462000,1,2,0
463000,1,2,0
464000,2,4,0
465000,2,4,0
466000,1,2,0
467000,2,4,0
468000,1,2,0
469000,1,2,0
470000,3,4,0
471000,1,4,0
472000,1,3,0
473000,1,4,0
474000,1,2,0
475000,1,3,0
476000,2,3,0
477000,2,4,0
478000,1,2,0
479000,1,3,0
480000,3,4,0
481000,2,4,0
482000,1,2,0
483000,3,4,0
484000,2,3,0
485000,2,3,0
486000,3,4,0
487000,1,3,0
488000,3,4,0
489000,2,3,0
490000,2,4,0
491000,1,2,0
492000,1,2,0
493000,1,3,0
494000,1,3,0
495000,1,4,0
496000,1,2,0
497000,3,4,0
498000,1,2,0
499000,1,3,0
500000,2,3,0
501000,2,3,0
502000,3,4,0
503000,1,2,0
504000,1,2,0
505000,1,2,0
506000,1,3,0
507000,1,3,0
508000,3,4,0
509000,3,4,0
510000,2,3,0
511000,1,4,0
512000,1,2,0
513000,1,3,0
514000,2,4,0
515000,1,4,0
516000,1,3,0
517000,1,4,0
518000,2,4,0
519000,3,4,0
520000,3,4,0
521000,1,2,0
522000,1,3,0
523000,2,4,0
524000,1,3,0
525000,2,3,0
526000,2,4,0
527000,1,4,0
528000,2,3,0
529000,1,4,0
530000,1,3,0
531000,1,3,0
532000,1,3,0
533000,3,4,0
534000,3,4,0
535000,1,4,0
536000,1,3,0
537000,2,4,0
538000,1,3,0
539000,1,2,0
540000,1,4,0
541000,1,2,0
542000,3,4,0
543000,1,2,0
544000,1,4,0
545000,1,4,0
546000,1,2,0
547000,1,3,0
548000,2,3,0
549000,3,4,0
550000,1,4,0
551000,2,3,0
552000,1,3,0
553000,1,4,0
554000,1,3,0
555000,2,4,0
556000,2,3,0
557000,1,2,0
558000,1,2,0
559000,3,4,0
560000,2,3,0
561000,3,4,0
562000,2,3,0
563000,1,4,0
564000,2,3,0
565000,1,3,0
566000,1,4,0
567000,3,4,0
568000,1,3,0
569000,1,2,0
570000,2,4,0
571000,1,4,0
572000,2,3,0
573000,1,4,0
574000,1,4,0
575000,1,4,0
576000,1,4,0
577000,2,3,0
578000,1,2,0
579000,1,2,0
580000,2,4,0
581000,2,4,0
582000,3,4,0
583000,3,4,0
584000,2,4,0
585000,2,3,0
586000,3,4,0
587000,2,3,0
588000,2,4,0
589000,1,3,0
590000,2,4,0
591000,3,4,0
592000,3,4,0
593000,2,4,0
594000,1,3,0
595000,2,3,0
596000,1,2,0
597000,1,3,0
598000,2,4,0
599000,1,4,0
600000,1,3,0
601000,2,3,0
602000,2,4,0
603000,2,3,0
604000,1,4,0
605000,2,4,0
606000,3,4,0
607000,2,3,0
608000,1,2,0
609000,1,3,0
610000,3,4,0
611000,2,3,0
612000,1,2,0
613000,1,4,0
614000,1,3,0
615000,1,4,0
616000,3,4,0
617000,3,4,0
618000,2,4,0
619000,2,4,0
620000,3,4,0
621000,1,2,0
622000,1,4,0
623000,2,4,0
624000,1,3,0
625000,3,4,0
626000,3,4,0
627000,1,2,0
628000,2,4,0
629000,1,4,0
630000,2,4,0
631000,1,3,0
632000,1,3,0
633000,2,3,0
634000,1,4,0
635000,1,3,0
636000,1,2,0
637000,2,3,0
638000,1,2,0
639000,1,2,0
640000,1,4,0
641000,2,4,0
642000,1,3,0
643000,1,3,0
644000,2,4,0
645000,1,3,0
646000,1,4,0
647000,3,4,0
