inertia,OMI,Tol,Rtol,omi,tol,rtol
Leistes.superciliaris,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Islerothraupis.cristata,2.07833322656243,0.395418961729739,0.90305046618478,0.779863798647913,19,43.5,37.5
Tangara.palmarum,2.90004621087409,0.00878473188015202,2.10548049393153,0.785780985062405,0.3,72.6,27.1
Cantorchilus.leucotis,2.18691665852028,1.16690005679496,0.413918473990113,0.606098127735212,53.4,18.9,27.7
Cantorchilus.longirostris,2.33417439213032,0.282978091265558,1.18904492620618,0.862151374658584,12.1,50.9,36.9
Asemospiza.fuliginosa,1.92215769165086,0.0449325469789095,0.619950217964169,1.25727492670778,2.3,32.3,65.4
Tangara.peruviana,2.78959045153084,0.8884028170321,1.47759023277615,0.423597401722599,31.8,53,15.2
Sporophila.plumbea,3.20636777501109,0.0410652450203525,1.47148258146891,1.69381994852183,1.3,45.9,52.8
Microspingus.cabanisi,4.97296158487138,4.10234851285114,0.512381852445421,0.358231219574825,82.5,10.3,7.2
Pheugopedius.genibarbis,2.53110289140769,1.23647398338005,0.439952181726959,0.854676726300687,48.9,17.4,33.8
Agelasticus.cyanopus,2.07993808778524,0.530701454154748,0.93687545403027,0.612361179600225,25.5,45,29.4
Agelasticus.thilius,4.50626480119735,3.55012028380431,0.400983566851411,0.55516095054163,78.8,8.9,12.3
Anthus.hellmayri,3.36918392898132,0.918705296070552,1.28695910240417,1.16351953050659,27.3,38.2,34.5
Basileuterus.hypoleucus,2.26594827800178,1.40680067905654,0.295140006589447,0.56400759235579,62.1,13,24.9
Cacicus.chrysopterus,3.52891798970227,1.34397204268359,1.59844754288818,0.5864984041305,38.1,45.3,16.6
Cissopis.leverianus,2.83062385267415,0.00540215590525335,0.548994940496208,2.27622675627269,0.2,19.4,80.4
Catharus.fuscescens,1.32091724358301,0.558945281208064,0.419100807214897,0.342871155160054,42.3,31.7,26
Conirostrum.bicolor,1.77751601502014,0.222427370573142,0.865285761999097,0.689802882447898,12.5,48.7,38.8
Coryphospingus.cucullatus,3.24816590688716,0.255893708697539,2.43506952380288,0.557202674386736,7.9,75,17.2
Emberizoides.herbicola,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Euphonia.chlorotica,3,2.57275913038908e-33,2.04393066713248,0.956069332867518,0,68.1,31.9
Euphonia.cyanocephala,3.05729557480708,0.030163569769332,1.2802482715403,1.74688373349745,1,41.9,57.1
