inertia,OMI,Tol,Rtol,omi,tol,rtol
Platyrinchus.leucoryphus,3.68726855043221,0.755296379749794,1.66572594957223,1.26624622111019,20.5,45.2,34.3
Poecilotriccus.latirostris,1.99417568381675,1.12254136773673,0.273299844616143,0.598334471463884,56.3,13.7,30
Polioptila.lactea,4.05243644432639,1.57793388489823,1.27383985203774,1.20066270739043,38.9,31.4,29.6
Polystictus.superciliaris,2.55870235311454,1.38073818399406,0.192658747549052,0.985305421571428,54,7.5,38.5
Procnias.nudicollis,3.87221342757474,0.0169716199814151,2.03774970700079,1.81749210059254,0.4,52.6,46.9
Calidris.bairdii,6.4937551068077,4.5462616780847,0.531996884353597,1.4154965443694,70,8.2,21.8
Pseudocolopteryx.dinelliana,1.76756391749565,1.63097544188002,0.0188416694181354,0.117746806197498,92.3,1.1,6.7
Pseudocolopteryx.flaviventris,6.88626551603945,5.4727186667137,0.348196661471399,1.06535018785435,79.5,5.1,15.5
Pseudocolopteryx.sclateri,4.7275314667164,2.56255505133063,0.545339117855956,1.61963729752982,54.2,11.5,34.3
Pseudoseisura.cristata,5.43409135775927,2.69772058668999,0.369764777280444,2.36660599378883,49.6,6.8,43.6
Pyriglena.atra,8.67689859868842,7.55344252346186,0.530638589657122,0.592817485569431,87.1,6.1,6.8
Pyriglena.leucoptera,3.57848765042026,0.0294000182602512,1.90158903095767,1.64749860120234,0.8,53.1,46
Pyroderus.scutatus,3.70462825017524,0.0288934241508453,1.49847502273579,2.17725980328861,0.8,40.4,58.8
Ramphocelus.bresilius,4.67125751943005,1.06141720587879,1.46404594216448,2.14579437138678,22.7,31.3,45.9
Ramphocelus.carbo,2.62742891968914,0.367705008154452,0.925610455475176,1.33411345605952,14,35.2,50.8
Rhopornis.ardesiacus,5.14802533314184,4.50677515862062,0.0341912924901581,0.607058882031066,87.5,0.7,11.8
Satrapa.icterophrys,3.72372734864767,0.0272717804529776,1.55036107954429,2.1460944886504,0.7,41.6,57.6
Saltator.maxillosus,4.32467065666592,1.88843580462894,1.34336526956997,1.09286958246701,43.7,31.1,25.3
Schiffornis.virescens,3.47181674566891,0.144855196871169,1.68277391548837,1.64418763330937,4.2,48.5,47.4
Scytalopus.novacapitalis,1.87153653956618,1.87153653956618,0,0,100,0,0
Calidris.subruficollis,6.9070736206891,5.8422164989817,0.160694402302658,0.904162719404742,84.6,2.3,13.1
