"";"x"
"Microcaecilia_grandis";9,94923524972664
"Microcaecilia_rabei";-9,53814101916119
"Microcaecilia_taylori";-1,31960967788881
"Microcaecilia_albiceps";3,54470630468895
"Microcaecilia_iyob";-3,88495757530203
"Microcaecilia_supernumeraria";-0,122033007413226
"Dermophis_costaricense";9,33162329173009
"Dermophis_parviceps";-10,9953120753431
"Dermophis_glandulosus";10,3760172106502
"Dermophis_occidentalis";-13,8913517828463
"Dermophis_gracilior";-1,84612956788876
"Dermophis_mexicanus";11,5014624045313
"Dermophis_oaxacae";2,24144635733809
"Gymnopis_multiplicata";5,46218922356288
"Gymnopis_syntrema";-5,27161949433121
"Schistometopum_gregorii";0,365402513787294
"Schistometopum_thomense";0,00297620730915723
"Geotrypetes_angeli";-0,539067555970969
"Geotrypetes_pseudoangeli";-0,539067555971466
"Geotrypetes_seraphini";2,40745432597371
"Batrachuperus_karlschmidti";0,82070363862422
"Batrachuperus_tibetanus";-2,10110648306547
"Batrachuperus_londongensis";8,02730953534228
"Batrachuperus_pinchonii";-6,51718881489864
"Batrachuperus_yenyuanensis";0,72579831091955
"Liua_shihi";2,01172604472115
"Liua_tsinpaensis";-2,13975029736625
"Pseudohynobius_flavomaculatus";-0,992034112571099
"Pseudohynobius_jinfo";0,884059322618774
"Pseudohynobius_guizhouensis";0,325645266200766
"Pseudohynobius_shuichengensis";1,06533463443388
"Hynobius_abei";-1,08944209945552
"Hynobius_lichenatus";0,009631496752015
"Hynobius_tokyoensis";-0,818601517100579
"Hynobius_nigrescens";6,00389790510624
"Hynobius_takedai";-4,77303893921733
"Hynobius_stejnegeri";0,819125632306572
"Hynobius_amjiensis";1,64220842976285
"Hynobius_chinensis";2,60050620113957
"Hynobius_maoershanensis";-0,583610178972726
"Hynobius_hidamontanus";-1,54187348885329
"Hynobius_katoi";-4,12881447923517
"Hynobius_naevius";1,79044317356699
"Hynobius_yatsui";-2,26071903412965
"Hynobius_dunni";2,59797156003727
"Hynobius_nebulosus";-1,08020220527509
"Hynobius_tsuensis";0,185600048134824
"Hynobius_okiensis";0,0790246627517689
"Hynobius_leechii";1,73719218636407
"Hynobius_yangi";-3,35224367497793
"Hynobius_quelpaertensis";-3,4330803456795
"Hynobius_arisanensis";0,84315092456222
"Hynobius_sonani";0,758971971791371
"Hynobius_formosanus";-3,24874254547663
"Hynobius_glacialis";0,395745275776428
"Hynobius_fuca";-2,0893979873647
"Hynobius_boulengeri";2,05125699563764
"Hynobius_kimurae";0,996125638915341
"Hynobius_retardatus";1,79278741893651
"Pachyhynobius_shangchengensis";0,397313640130769
"Salamandrella_keyserlingii";-0,654497343672663
"Salamandrella_tridactyla";0,414390121148244
"Paradactylodon_mustersi";-1,35579109739114
"Ranodon_sibiricus";2,538398022315
"Onychodactylus_fischeri";-0,65689449054049
"Onychodactylus_japonicus";0,479798278454868
"Cryptobranchus_alleganiensis";-3,94308791263144
"Andrias_japonicus";24,561029910976
"Andrias_davidianus";-23,2280537771625
"Siren_intermedia";-6,36194180744758
"Siren_lacertina";10,6750609239072
"Pseudobranchus_striatus";-2,54490958337229
"Pseudobranchus_axanthus";-2,59089892643444
"Chioglossa_lusitanica";0,305494724312991
"Mertensiella_caucasica";-1,2329850122325
"Lyciasalamandra_antalyana";-0,999655749963556
"Lyciasalamandra_helverseni";-0,999655749963197
"Lyciasalamandra_billae";-1,00889925394903
"Lyciasalamandra_fazilae";-1,2553526848803
"Lyciasalamandra_flavimembris";0,0915957327172905
"Lyciasalamandra_atifi";1,02995528075117
"Lyciasalamandra_luschani";1,89156684360002
"Salamandra_algira";-2,63038507793413
"Salamandra_infraimmaculata";8,21888696092116
"Salamandra_salamandra";-3,05017877484072
"Salamandra_corsica";7,26990924692339
"Salamandra_lanzai";-9,21524815727769
"Salamandra_atra";-7,4883645079544
"Calotriton_arnoldi";-5,8131287939655
"Calotriton_asper";5,74766959034942
"Triturus_carnifex";-0,185620318570462
"Triturus_cristatus";-0,889396664188446
"Triturus_dobrogicus";0,864273589395933
"Triturus_karelinii";0,781257219757963
"Triturus_marmoratus";4,19802486488195
"Triturus_pygmaeus";-4,26247398368898
"Neurergus_crocatus";-6,32807281383404
"Neurergus_kaiseri";6,18886539598812
"Ommatotriton_vittatus";-2,40330311130692
"Lissotriton_boscai";-0,222979654409604
"Lissotriton_helveticus";-0,441415935834429
"Lissotriton_italicus";-1,32805699495043
"Lissotriton_montandoni";-2,46686614175456
"Lissotriton_vulgaris";2,47817389380559
"Ichthyosaura_alpestris";-1,09204040851852
"Cynops_ensicauda";0,336357917734163
"Cynops_pyrrhogaster";-1,40694478200648
"Laotriton_laoensis";3,82346230322372
"Pachytriton_archospotus";1,88757515587179
"Pachytriton_brevipes";-0,181300948600887
"Paramesotriton_caudopunctatus";-0,611298698225485
"Paramesotriton_longliensis";7,57523889214942
"Paramesotriton_zhijinensis";-7,8892104053504
"Paramesotriton_chinensis";-1,1456915769716
"Paramesotriton_fuzhongensis";7,2182904474995
"Paramesotriton_guanxiensis";-8,34400251715163
"Paramesotriton_yunwuensis";3,29850897255154
"Paramesotriton_hongkongensis";-1,96092290189128
"Euproctus_montanus";-0,568537525774929
"Euproctus_platycephalus";0,587476948042259
"Notophthalmus_meridionalis";-0,785456742702839
"Notophthalmus_perstriatus";-1,46767955157548
"Notophthalmus_viridescens";1,62061722187256
"Taricha_granulosa";1,32494083861775
"Taricha_torosa";-0,419797307512059
"Taricha_rivularis";-0,157457035731754
"Echinotriton_andersoni";2,92948657654269
"Echinotriton_chinhaiensis";-1,93712621420547
"Tylototriton_asperrimus";-0,317608009889313
"Tylototriton_notialis";-0,121540765759921
"Tylototriton_verrucosus";0,344301883068546
"Tylototriton_wenxianensis";-1,20788167255447
"Tylototriton_taliangensis";1,15143733199247
"Tylototriton_hainanensis";-0,711182934755289
"Tylototriton_vietnamensis";-2,32545383260344
"Tylototriton_kweichowensis";3,13823228319027
"Pleurodeles_nebulosus";-2,21212399719314
"Pleurodeles_poireti";-1,83699460315508
"Pleurodeles_waltl";6,30419017030067
"Salamandrina_perspicillata";-1,48279103023552
"Salamandrina_terdigitata";1,33040895344467
"Ambystoma_andersoni";-17,1463946291198
"Ambystoma_mexicanum";25,7217787847677
"Ambystoma_rosaceum";-25,4757698182913
"Ambystoma_dumerilii";19,4133395183381
