"Species","rates_bird_svl","rates_bird_litter","CHELSA_bio2_1981.2010_V.2.1_median","CHELSA_bio3_1981.2010_V.2.1_median","CHELSA_bio4_1981.2010_V.2.1_median","CHELSA_bio7_1981.2010_V.2.1_median","CHELSA_bio11_1981.2010_V.2.1_median","CHELSA_bio15_1981.2010_V.2.1_median","CHELSA_bio17_1981.2010_V.2.1_median"
"1403",0.00101420671494387,0,NA,NA,NA,NA,NA,NA,NA
"Cariama_cristata",0.0151348776160786,-0.000848329907097803,"9","59.9999997788051","179.992053176968","14.9999999805958","21.0000000193992","69.0001390057978","55.9970817537349"
"Donacobius_atricapilla",0.00396501253465778,-0.00610539634967553,"7.99999973799583","67.9999305287987","81.0001396158906","11.0002089551056","24.0002785366028","59.9992341719815","121.992269481673"
"Petrochelidon_pyrrhonota",5.35613820008384e-05,-0.000511271283763614,"8","66.9997212033975","86.0009766026849","12","23.0001392550006","57.0000697329056","123.252296682599"
"Tachycineta_albiventer",0.00511375753029728,-0.00764439672697084,"7.99999998060415","68.0002783831816","82.0019498227252","11.9988843919956","24.0002786145919","60.0004182766433","118.995963393372"
"Tachycineta_leucorrhoa",0.000684743654571404,0.0070892163246889,"9","60.0002783660011","196.996658659209","15","20.0001391630006","62.0006962710028","77.0009776191596"
"Tachycineta_meyeni",-0.00515119954328975,-0.00361665153382067,"10","43.9998606483914","436.996797574987","21.9998608569994","11.0001391150006","57.9991632838225","52.0050183916618"
"Pygochelidon_cyanoleuca",-0.0286787038235291,-0.00304878820024688,"9","62.9999997760006","146.002368206889","14.0001393675994","21","66.5001395838558","67.9987466436944"
"Alopochelidon_fucata",-0.0125721079587879,0.000745262656755911,"9","55.9995816039943","273.996240262174","15.9998608449994","18.0002783534064","59.9987452376025","86.9951255787783"
"Stelgidopteryx_ruficollis",-0.0110283171420012,0.00561312130081643,"9","45.0001391490006","392.000696969827","19.9994426081769","14.0004178570017","24.9985370144578","255.999867959342"
"Progne_tapera",0.00672066298622439,-0.00599480913091398,"8","66.997353480755","92.9997919737011","12","24","58.9983978429069","111.998049868612"
"Progne_subis",0.0373954443398985,0.0046505814925199,"9","54.4986742880861","265.995823956992","15.9998606029994","18.5003481980936","59.9993027360837","80.0000712870223"
"Anthus_hellmayri",-0.00152836855795418,0.000561938645616953,"9","47.9990934806038","345.991229107551","17.9999304304997","13.5000698785949","36.5006257241023","176.505776453698"
"Anthus_furcatus",0.000326158614737629,0.00445177339412679,"10","42.0008350878509","464.999720766551","22","10.0001391070006","49.9980504407772","65.0143444373268"
"Anthus_chacoensis",0.0024162114742351,0.00445177339424595,"9.99986063699944","42.0001388846765","476.497839547683","22.4997910498057","11.5004174619205","45.9993026713004","100.500909511224"
"Anthus_lutescens",-0.0111682752627959,0.00103416489366383,"9","61.9997909285993","153.99895610997","14.4994422491057","21.9998608483978","64.0000698585971","79.9961009150028"
"Anthus_nattereri",-0.00037367767911984,-0.00436436324208618,"9","49.0004871211067","328.496657228776","16.9999999903021","15.999999876","26.5011140081059","252.996038979992"
"Basileuterus_hypoleucus",-0.0154446984929261,-0.00139246217287818,"9","62.0004179895969","151.997632082609","15","21.9998608484003","76.0001398230006","48.998188600393"
"Geothlypis_aequinoctialis",-0.00879472718887936,-0.00542033157428735,"9","62.0001394264025","146.00250850518","14.000139403593","21.9998608483953","60.0002790015425","104.003757332186"
"Ammodramus_humeralis",-0.0284847702331491,0.000615619394889813,"9","62.9998600604064","139.999167054594","14","22.0002785500011","64.0011142000045","71.0016693388051"
"Arremon_flavirostris",-0.00533232209630037,-0.0100872433470349,"9","61.0002785546003","184.999583278998","15","20.9998605849994","69.0008359832072","67.9988872045968"
"Arremon_franciscanus",-0.0082973091577827,0.0106036085737137,"9.49993028020545","66.999999883704","140.00021288399","14.0000000097032","21.0001391364806","92.4999993031855","12.5005590297046"
"Arremon_taciturnus",-0.00854476820161867,-0.0100872433469438,"8","68.9993731679045","79.0032042532523","11.9989539980328","24.9998607949994","64.0005575814143","100.501601096285"
"Arremon_semitorquatus",-0.000906420458786998,-0.000908909807601197,"8.0001394195947","55.9997201596045","215.998607586592","14.9998606038067","18.0001394150006","54.0015309302046","143.982873967181"
"Dolichonyx_oryzivorus",-0.00693887536911889,0.0192882691901856,"9","57.9999998627906","244.995265611413","15.9997214813947","21.0001391830006","55.9998610249994","84.9988884236069"
"Psarocolius_decumanus",0.0623127605569288,-0.0179009357916918,"7.99986070640031","68.4990252260101","76.9970753703776","11","24.0002786125922","58.0002093075988","138.004876012578"
"Cacicus_chrysopterus",-0.0402646224713093,-0.00624082593981245,"9","49.9970712313015","331.995752918636","17.9997213296971","16.0001391410006","38.5006255951972","172.999725290183"
"Cacicus_haemorrhous",0.0145857708191263,-0.00194922197917251,"7.99986072499943","68.0002784140011","77.0009752999773","11","24.0001391955941","55.0025075901261","162.988576462052"
"Cacicus_cela",0.0160870671787883,-0.00194922197913292,"7.99958216578666","70.0013924369846","69.9933139518687","10.998745516995","25","58.9976329880618","145.008769071522"
"Molothrus_rufoaxillaris",2.00805769784721e-05,-0.0019423098392181,"9.00000001940671","51.0003472344233","325.993939887128","17.0000001016965","17.0001391412993","59.9987454080782","67.4997215596305"
"Amblyramphus_holosericeus",0.0107091912309364,-0.000122481116000084,"9","47.0004176610017","363.991224992823","18.9993025625605","16.0000002993964","40.9990239651652","157.007247904417"
"Agelasticus_thilius",-0.0381898039726303,-0.0103922456855945,"9.99986065038636","42.9990932667379","439.507248343909","21.9997214996948","10.0002784646128","45.9990243263844","64.9981184537099"
"Agelasticus_cyanopus",-0.0221950410401713,-0.0103922456855676,"9","59.0003481081009","191.496869554101","15","21.0001391552999","63.0016014665065","81.0011179891453"
"Agelaioides_badius",-0.00667050810548105,0.0127224392436188,"9","45.9999997993925","388.994986194527","19.9998606209994","14.000139111607","50.0001381676103","86.998886869581"
"Chrysomus_ruficapillus",-0.0390408961657447,-0.00107693700667302,"9","58.0004174650017","196.996658659209","15","20.0002788940011","64.998745060995","68.0034799266425"
"Xanthopsar_flavus",-0.083743576101022,-0.0115263176157844,"9","42.0000000193903","427.997490631814","20.9998603563897","12.0002785460011","28.9995809426734","182.007391436117"
