generation,rank_1,rank_2,swapAccepted
354000,3,4,0
355000,1,4,0
356000,3,4,0
357000,3,4,0
358000,1,3,0
359000,3,4,0
360000,2,4,0
361000,1,3,0
362000,3,4,0
363000,1,4,0
364000,1,4,0
365000,1,2,0
366000,2,4,0
367000,2,4,0
368000,1,3,0
369000,1,3,0
370000,1,4,0
371000,1,3,0
372000,2,4,0
373000,2,3,0
374000,1,4,0
375000,1,2,0
376000,1,2,0
377000,1,4,0
378000,1,3,0
379000,1,4,0
380000,1,4,0
381000,1,4,0
382000,2,4,0
383000,3,4,0
384000,1,4,0
385000,2,4,0
386000,1,3,0
387000,3,4,0
388000,2,4,0
389000,2,4,0
390000,1,2,0
391000,1,4,0
392000,2,3,0
393000,1,4,0
394000,1,4,0
395000,1,2,0
396000,1,4,0
397000,1,3,0
398000,1,3,0
399000,2,3,0
400000,2,3,0
401000,1,2,0
402000,2,4,0
403000,1,2,0
404000,2,3,0
405000,2,3,0
406000,3,4,0
407000,1,2,0
408000,3,4,0
409000,1,2,0
410000,1,3,0
411000,2,3,0
412000,2,4,0
413000,1,4,0
414000,2,3,0
415000,1,4,0
416000,3,4,0
417000,1,4,0
418000,1,3,0
419000,1,3,0
420000,2,3,0
421000,2,4,0
422000,1,2,0
423000,1,4,0
424000,1,3,0
425000,2,3,0
426000,1,3,0
427000,1,3,0
428000,3,4,0
429000,1,2,0
430000,2,3,0
431000,1,4,0
432000,1,2,0
433000,3,4,0
434000,3,4,0
435000,2,4,0
436000,2,3,0
437000,2,3,0
438000,2,4,0
439000,2,3,0
440000,2,4,0
441000,1,4,0
442000,1,4,0
443000,1,3,0
444000,3,4,0
445000,2,3,0
446000,1,2,0
447000,1,2,0
448000,2,3,0
449000,1,4,0
450000,3,4,0
451000,2,4,0
452000,3,4,0
453000,1,2,0
454000,1,4,0
455000,2,4,0
456000,1,3,0
457000,1,4,0
458000,2,3,0
459000,1,3,0
460000,1,4,0
461000,1,3,0
462000,2,4,0
463000,1,4,0
464000,2,4,0
465000,2,4,0
466000,3,4,0
467000,1,3,0
468000,2,4,0
469000,1,3,0
470000,1,4,0
471000,2,3,0
472000,2,4,0
473000,1,4,0
474000,1,4,0
475000,3,4,0
476000,1,3,0
477000,1,3,0
478000,1,2,0
479000,2,3,0
480000,1,2,0
481000,1,3,0
482000,2,3,0
483000,1,3,0
484000,3,4,0
485000,1,4,0
486000,1,4,0
487000,2,3,0
488000,1,3,0
489000,1,3,0
490000,1,3,0
491000,1,2,0
492000,1,3,0
493000,2,4,0
494000,2,3,0
495000,2,3,0
496000,2,3,0
497000,1,2,0
498000,3,4,0
499000,1,4,0
500000,2,3,0
501000,1,3,0
502000,1,2,0
503000,1,3,0
504000,1,4,0
505000,1,2,0
506000,1,4,0
507000,2,4,0
508000,2,3,0
509000,1,4,0
510000,3,4,0
511000,1,3,0
512000,1,2,0
513000,1,2,0
514000,2,4,0
515000,1,3,0
516000,1,2,0
517000,1,3,0
518000,1,4,0
519000,2,3,0
520000,1,2,0
521000,2,3,0
522000,2,4,0
523000,1,4,0
524000,1,4,0
525000,1,2,0
526000,2,4,0
527000,2,3,0
528000,1,2,0
529000,2,3,0
530000,1,3,0
531000,1,3,0
532000,2,4,0
533000,2,3,0
534000,3,4,0
535000,2,3,0
536000,1,4,0
537000,3,4,0
538000,3,4,0
539000,1,2,0
540000,3,4,0
541000,2,3,0
542000,3,4,0
543000,1,2,0
544000,2,4,0
545000,3,4,0
546000,3,4,0
547000,1,2,0
548000,3,4,0
549000,3,4,0
550000,1,4,0
551000,3,4,0
552000,1,3,0
553000,1,2,0
554000,1,2,0
555000,3,4,0
556000,1,4,0
557000,3,4,0
558000,2,3,0
559000,1,3,0
560000,3,4,0
561000,1,2,0
562000,1,3,0
563000,1,4,0
564000,2,4,0
565000,1,3,0
566000,1,3,0
567000,1,4,0
568000,2,4,0
569000,1,2,0
570000,1,2,0
571000,1,4,0
572000,1,4,0
573000,2,4,0
574000,2,3,0
575000,1,4,0
576000,1,4,0
577000,2,3,0
578000,2,4,0
579000,2,4,0
580000,3,4,0
581000,1,3,0
582000,1,2,0
583000,1,3,0
584000,1,3,0
585000,2,3,0
586000,1,4,0
587000,1,3,0
588000,3,4,0
589000,3,4,0
590000,2,3,0
591000,1,3,0
592000,3,4,0
593000,1,2,0
594000,2,4,0
595000,2,3,0
596000,1,4,0
597000,1,2,0
598000,1,2,0
599000,1,4,0
600000,3,4,0
601000,2,3,0
602000,1,2,0
603000,1,2,0
604000,2,4,0
605000,1,4,0
606000,2,3,0
607000,2,4,0
608000,1,3,0
609000,1,3,0
610000,3,4,0
611000,1,4,0
612000,1,2,0
613000,2,3,0
614000,2,4,0
615000,2,4,0
616000,1,3,0
617000,1,4,0
618000,1,4,0
619000,2,4,0
620000,3,4,0
621000,3,4,0
622000,1,3,0
623000,1,2,0
624000,2,4,0
625000,2,4,0
626000,1,4,0
627000,1,4,0
628000,2,3,0
629000,3,4,0
630000,2,3,0
631000,3,4,0
632000,3,4,0
633000,2,4,0
634000,1,2,0
635000,3,4,0
636000,3,4,0
637000,2,3,0
638000,1,3,0
639000,3,4,0
640000,1,3,0
641000,2,4,0
642000,1,4,0
643000,1,4,0
644000,3,4,0
645000,2,3,0
646000,1,4,0
647000,2,3,0
648000,1,2,0
649000,1,4,0
650000,1,3,0
651000,1,2,0
652000,2,4,0
653000,1,3,0
654000,2,4,0
655000,2,4,0
656000,2,3,0
657000,1,2,0
658000,2,4,0
659000,2,4,0
660000,1,4,0
661000,1,4,0
662000,3,4,0
663000,1,3,0
664000,1,3,0
665000,1,3,0
666000,1,2,0
667000,1,3,0
668000,2,3,0
669000,3,4,0
670000,2,4,0
671000,1,2,0
672000,1,4,0
673000,1,4,0
674000,1,4,0
675000,1,4,0
676000,2,4,0
677000,2,4,0
678000,1,4,0
679000,1,4,0
680000,2,3,0
681000,2,3,0
682000,2,4,0
683000,2,3,0
684000,2,4,0
685000,1,3,0
686000,2,4,0
687000,1,2,0
688000,3,4,0
689000,1,2,0
690000,2,4,0
691000,2,4,0
692000,1,2,0
693000,2,3,0
694000,1,2,0
695000,1,2,0
696000,2,3,0
697000,2,3,0
698000,3,4,0
699000,1,2,0
700000,2,4,0
701000,2,4,0
702000,2,4,0
703000,2,4,0
704000,2,3,0
705000,2,3,0
706000,1,2,0
707000,1,4,0
708000,1,3,0
709000,2,4,0
710000,3,4,0
711000,1,4,0
712000,3,4,0
713000,2,3,0
714000,2,4,0
715000,1,4,0
716000,2,3,0
717000,1,2,0
718000,2,4,0
719000,3,4,0
720000,1,4,0
721000,2,4,0
722000,1,3,0
723000,2,3,0
724000,3,4,0
725000,1,2,0
726000,1,4,0
727000,1,3,0
728000,2,4,0
729000,1,3,0
730000,1,2,0
731000,1,2,0
732000,2,4,0
733000,3,4,0
734000,1,2,0
735000,1,2,0
736000,3,4,0
737000,1,2,0
738000,2,4,0
739000,2,4,0
740000,2,4,0
741000,1,4,0
742000,3,4,0
743000,3,4,0
744000,1,2,0
745000,1,2,0
746000,1,3,0
747000,2,4,0
748000,3,4,0
749000,3,4,0
750000,1,4,0
751000,1,2,0
752000,2,4,0
753000,1,3,0
754000,1,2,0
755000,1,3,0
756000,3,4,0
757000,3,4,0
758000,1,2,0
759000,2,3,0
760000,1,3,0
761000,1,2,0
762000,1,3,0
763000,2,4,0
764000,1,3,0
765000,3,4,0
766000,1,3,0
767000,2,3,0
768000,2,4,0
769000,1,2,0
770000,3,4,0
771000,1,2,0
772000,1,3,0
773000,3,4,0
774000,3,4,0
775000,1,3,0
776000,2,4,0
777000,2,4,0
778000,2,4,0
779000,1,2,0
780000,1,4,0
781000,1,4,0
782000,1,2,0
783000,1,2,0
784000,3,4,0
785000,1,3,0
786000,2,3,0
787000,1,4,0
788000,2,4,0
789000,3,4,0
790000,3,4,0
791000,1,2,0
792000,2,4,0
793000,3,4,0
794000,1,2,0
795000,2,3,0
796000,1,4,0
797000,1,3,0
798000,1,3,0
799000,1,3,0
800000,3,4,0
801000,2,3,0
802000,1,4,0
803000,2,3,0
804000,2,3,0
805000,2,4,0
806000,3,4,0
807000,1,4,0
808000,2,4,0
809000,1,4,0
810000,2,4,0
811000,3,4,0
812000,1,4,0
813000,1,4,0
814000,3,4,0
815000,2,3,0
816000,1,4,0
817000,1,4,0
